P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
ABI3,0.3836409,0.20918986,0.36106604,0.47470108,0.5497077,0.2902757,0.23918232,0.3743709,0.22375055,0.055200506,0.12257683,0.011464178,0.9741265,0.3645243
ABI3BP,0.28868657,0.15832302,0.033876743,0.044971686,0.0037976354,0.02874017,0.013758276,0.06806744,0.28375068,0.004029234,0.0050472813,0.01514909,0.0012902339,0.013125262
ABL1,0.10387618,0.047687657,0.15137331,0.08911055,0.09921322,0.06179136,0.08643019,0.06517095,0.11750028,0.14344074,0.1687234,0.14186919,0.06322146,0.13244583
ABL2,0.749438,0.2867618,0.71612865,0.49677053,1.0125445,0.36931115,0.3210264,0.46995497,0.7406268,0.37592757,0.3013948,0.31874505,0.18708391,0.8340507
ABLIM1,0.20137958,0.14942133,0.19854346,0.14282674,0.17564063,0.074724436,0.14816605,0.24330488,0.21375051,0.41702574,0.0663357,0.46921238,0.20385695,0.17361142
ABLIM2,0.012108266,0.007630025,0.0072899326,0.0066624717,0.0014241133,0.004311025,0.008113855,0.0072412165,0.02437506,0.004835081,0.0007210401,0.021290613,0.0064511695,0.011932056
ABLIM3,0.042060297,0.024161745,0.082333356,0.032895952,0.018513473,0.007903546,0.019755473,0.01737892,0.055000134,0.014908167,0.003605201,0.12364934,0.012902339,0.07875157
ABO,0.04715851,0.039421797,0.03687848,0.030397525,0.05459101,0.060354356,0.09242739,0.06879156,0.09750024,0.28970194,0.21991725,0.09028039,0.0012902339,0.10380889
ABR,0.2377044,0.12780292,0.20025873,0.26191843,0.28387326,0.16238195,0.14640217,0.20130584,0.15312536,0.1341735,0.07643026,0.1795372,0.11354058,0.2106008
ABRA,0,0,0,0.00083280896,0,0,0,0,0,0,0,0,0,0.0005966028
ABRACL,1.2745544,0.82022774,1.5377469,0.9897934,1.1696717,1.1496067,1.2241337,1.2244897,0.82125205,0.5544226,0.93302596,0.27902988,1.8476149,1.1037153
ABT1,0.29824573,0.3408078,0.3224723,0.27274492,0.3508066,0.3075198,0.29809597,0.20347819,0.29875073,0.29050776,1.1197753,0.1758523,0.37029713,0.25355622
ABTB1,0.26064637,0.20791818,0.1385087,0.17988674,0.14431015,0.17603354,0.20002416,0.1839269,0.17375043,0.19058278,0.26822695,0.07369828,0.29159284,0.15153712
ABTB2,0.014657375,0.00826586,0.05102953,0.011242921,0.022311108,0.004311025,0.01622771,0.011585946,0.033750083,0.031428024,0.006489361,0.06018693,0.010321871,0.030426744
ACAA1,0.41741657,0.29375598,0.5184428,0.6737424,0.65414274,0.38080722,0.41592324,0.71108747,0.5381263,0.39325324,0.63235223,0.7367781,0.5651224,0.6103247
ACAA2,0.34412968,0.20346734,0.33490807,0.5413258,0.43340516,0.33410445,0.291746,0.3968187,0.36812592,0.31025103,0.2761584,0.4460793,0.49544978,0.20642458
ACACA,0.059904054,0.024797583,0.11878302,0.07203797,0.10396027,0.05316931,0.2303629,0.081101626,0.07562518,0.27962884,0.10022458,0.17830889,0.051609356,0.1050021
ACACB,0.046521235,0.025433417,0.026586814,0.03456157,0.027058152,0.0172441,0.013052722,0.04417142,0.047500115,0.01772863,0.031004727,0.01678683,0.011612104,0.022074305
ACAD10,0.04142302,0.0305201,0.04888543,0.033312358,0.036077537,0.025866153,0.05221089,0.029688988,0.038750093,0.06285605,0.08291961,0.07799735,0.04386795,0.026250524
ACAD11,0.018481039,0.0063583544,0.0021440978,0.00083280896,0.014241133,0.0071850424,0.0028222103,0.0014482433,0.0018750046,0.0024175404,0.025957445,0.0018424569,0.0064511695,0.0017898084
ACAD8,0.073924154,0.07375691,0.16809727,0.11034718,0.12247374,0.1027461,0.29915428,0.105721764,0.12375031,0.17648046,0.18170212,0.10174457,0.13418432,0.10440549
ACAD9,0.084120594,0.050231,0.106347255,0.11034718,0.09209266,0.07400593,0.1294689,0.09775643,0.09875024,0.10435717,0.20477541,0.08250113,0.083865196,0.107388504
ACADL,0.027402919,0.0031791772,0.0017152781,0.013741347,0.005696453,0.0021555126,0.010230512,0.03403372,0.009375023,0.0072526215,0,0.00020471745,0,0.0023864112
ACADM,0.2848629,0.2295366,0.2692987,0.25608876,0.25396687,0.24357292,0.20954913,0.5162988,0.22625056,0.2872844,0.4001773,0.08823322,0.3315901,0.2505732
ACADS,0.12936728,0.095375314,0.11149308,0.20278898,0.19510351,0.14010832,0.2187213,0.29544163,0.15562539,0.29977503,0.2891371,0.05506899,0.13934526,0.106791906
ACADSB,0.084120594,0.06485521,0.04073786,0.06745752,0.07310448,0.07256892,0.11500507,0.13251427,0.060625147,0.29050776,0.10455082,0.055273708,0.054189824,0.06622291
ACADVL,0.6130606,0.5334659,0.61449844,0.878197,0.8824755,0.8672345,0.77928287,0.9008074,1.201878,0.63863367,0.8400118,0.6301203,0.68253374,0.6783374
ACAN,0.0012745544,0.0012716708,0.008576391,0.0029148313,0,0,0.0007055526,0,0.0018750046,0.0016116936,0,0,0,0.002983014
ACAP1,1.1757764,1.4853115,0.36106604,0.65750265,0.55113184,0.6983861,0.19085197,0.22085711,0.44125107,0.037874803,0.16367613,0.038896315,1.3882916,0.42836085
ACAP2,0.48241884,0.32173273,0.3023178,0.41557166,0.48372382,0.255069,0.32525975,0.36857793,0.33375084,0.36142233,0.7195981,0.10583892,0.35610452,0.27921012
ACAP3,0.10451346,0.07248524,0.19382644,0.075785615,0.12532197,0.07328743,0.1650993,0.06372271,0.15375037,0.14505243,0.15862882,0.1279484,0.09805777,0.1050021
