P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
OTUD7A,0.012108266,0.011445038,0.0034305563,0.004996854,0.0047470443,0.005748034,0.0024694342,0.0028964865,0.006250015,0.0036263107,0.0014420802,0.0004094349,0.0012902339,0.0005966028
OTUD7B,0.070100494,0.026705088,0.13722226,0.054965388,0.08497209,0.030177178,0.14816605,0.07530865,0.09062522,0.12812965,0.14781323,0.11157101,0.055480056,0.08233119
OTULIN,0.20010504,0.18248476,0.22212853,0.16364697,0.27248034,0.1199902,0.119238384,0.09341169,0.121250294,0.11926533,0.323026,0.22109483,0.13031362,0.14020166
OTX1,0.0019118317,0,0.015437504,0.002498427,0.0037976354,0.0035925212,0.026810998,0.002172365,0.0043750107,0.012490626,0.038936168,0.034392532,0.012902339,0.0035796168
OTX2,0,0,0,0,0.00094940886,0,0,0,0.0006250015,0,0.0007210401,0,0,0
OTX2-AS1,0,0,0,0,0.00047470443,0,0,0,0,0,0,0,0,0
OVAAL,0,0,0.00042881953,0,0,0,0,0,0,0,0,0.0004094349,0,0
OVCA2,0.0006372772,0.0006358354,0,0,0,0,0,0,0,0,0,0,0,0
OVCH1,0.0012745544,0,0,0.0037476402,0.00047470443,0.004311025,0.0007055526,0.021723649,0.002500006,0.0004029234,0,0,0,0.0017898084
OVCH1-AS1,0.0006372772,0.007630025,0,0.002498427,0.00047470443,0.007903546,0,0.00072412164,0.0006250015,0.0036263107,0,0,0,0.0005966028
OVCH2,0,0.0006358354,0,0,0,0.00071850425,0.0003527763,0.00072412164,0,0,0.007931442,0,0,0
OVGP1,0.00446094,0.0069941897,0.005574654,0.0033312358,0.008069975,0.004311025,0.0031749867,0.00868946,0.0043750107,0.015714012,0.005768321,0.004913219,0.0038707014,0.010142248
OVOL1,0.010196435,0.005086683,0.032590285,0.004996854,0.028482266,0.0071850424,0.10618566,0.018103043,0.055000134,0.28486687,0.092293136,0.049336903,0.052899588,0.08770062
OVOL1-AS1,0.0006372772,0,0.0012864587,0,0.00094940886,0.0014370085,0.0010583289,0.00072412164,0.002500006,0.0036263107,0,0.0008188698,0,0.0011932056
OVOL2,0.00446094,0.005722519,0.06603821,0.017072583,0.024209926,0.00862205,0.10618566,0.03041311,0.063750155,0.0584239,0.43695033,0.12139744,0.020643743,0.029830141
OVOL3,0,0,0,0.00083280896,0,0,0.0014111052,0.00072412164,0.0056250137,0.0004029234,0,0,0,0.0011932056
OVOS2,0.0006372772,0.0038150125,0.012864587,0.0020820224,0.00047470443,0.0035925212,0.0021166578,0.0014482433,0.005000012,0.0016116936,0.0014420802,0.0020471744,0.06967263,0.0017898084
OXA1L,0.7838509,0.61803204,0.80060613,0.7178813,0.7158543,0.75658494,0.6247668,0.80160266,0.6343766,0.9738659,0.6049527,0.50319546,0.8257497,0.6878831
OXCT1,0.120445386,0.09855449,0.1886806,0.097855054,0.086870916,0.085502,0.067027494,0.07603277,0.10250025,0.04270988,0.03316785,0.04319538,0.15095736,0.07338215
OXCT2,0.008284603,0.009537531,0.003001737,0.007911685,0.01281702,0.012933076,0.008113855,0.02244777,0.023125056,0.0044321576,0.0028841605,0.0016377396,0.009031637,0.002983014
OXER1,0.018481039,0.007630025,0.0064322934,0.009160899,0.009494089,0.006466538,0.0014111052,0.0036206082,0.00812502,0.012490626,0.022352245,0.004708501,0.0012902339,0.0035796168
OXGR1,0.0006372772,0,0,0,0,0,0.0003527763,0,0.0006250015,0,0,0,0.0038707014,0.0005966028
OXLD1,0.21093874,0.17930558,0.53645325,0.23110448,0.3446354,0.20405519,0.7087276,0.244029,0.3618759,0.4573181,0.33312055,0.6002315,0.2825612,0.21418042
OXNAD1,0.18226129,0.24161747,0.09819968,0.13699707,0.1177267,0.15950793,0.060324747,0.083998114,0.06625016,0.04109819,0.0915721,0.06673788,0.22321047,0.11633755
OXR1,0.26319548,0.16531721,0.2388525,0.18280156,0.24732101,0.13507879,0.36512345,0.23678778,0.2512506,0.31750366,0.51842785,0.34249228,0.19740577,0.18554349
OXSM,0.049070343,0.042600974,0.045883693,0.041224044,0.03655224,0.033769697,0.040216494,0.060102098,0.035000086,0.033442643,0.11104018,0.07799735,0.051609356,0.022074305
OXSR1,0.17206484,0.11063536,0.16809727,0.1582337,0.29051912,0.12142721,0.1488716,0.25199434,0.15562539,0.13095011,0.2963475,0.26142418,0.21159835,0.19449252
OXT,0.014657375,0.0069941897,0.021012159,0.009577303,0.009494089,0.006466538,0.010936066,0.0072412165,0.009375023,0.03626311,0.05912529,0.009007568,0.010321871,0.014318467
OXTR,0.0057354947,0.0031791772,0.013722225,0.0012492135,0.0023735221,0.00071850425,0.0021166578,0.009413581,0.01250003,0.0008058468,0.018026004,0.01514909,0.030965611,0.00835244
P2RX1,0.015294653,0.05976853,0.011149308,0.028315503,0.007595271,0.04957679,0.017991591,0.05648149,0.07000017,0.0032233873,0.0021631205,0.00020471745,0.020643743,0.025057318
P2RX2,0.0019118317,0.017167557,0,0.0012492135,0,0.00071850425,0.0003527763,0.002172365,0.001250003,0,0.0007210401,0,0.023224209,0
P2RX3,0,0,0,0,0,0,0,0.00072412164,0,0,0,0.00020471745,0,0
P2RX4,0.28613746,0.17930558,0.36535424,0.36143908,0.49938905,0.42535448,0.46778136,0.4619896,0.33250082,0.2699587,0.41964537,0.20348914,0.19740577,0.22790228
P2RX5,0.03823663,0.07947943,0.00943403,0.027482694,0.013291724,0.2026182,0.016933262,0.010861824,0.02937507,0.004029234,0.008652482,0.030707618,0.13676478,0.019687893
P2RX5-TAX1BP3,0.00446094,0.010809203,0.0017152781,0.0037476402,0.0014241133,0.00862205,0.0014111052,0.002172365,0.0031250075,0.0012087702,0.004326241,0.005117936,0.0038707014,0.0005966028
P2RX6,0,0,0.0012864587,0,0,0,0.0003527763,0.0014482433,0.0006250015,0.0004029234,0,0.0004094349,0,0.0011932056
P2RX7,0.12809272,0.06867023,0.052744802,0.12325572,0.16709594,0.06322837,0.047272023,0.087618716,0.068125166,0.016116936,0.024515366,0.07062752,0.086445674,0.059660282
P2RY1,0.019118315,0.0069941897,0.015866324,0.05121775,0.0322799,0.02874017,0.010936066,0.03982669,0.023125056,0.006849698,0.026678486,0.0014330222,0.0038707014,0.01670488
P2RY10,0.20201688,0.5169342,0.055317722,0.15198763,0.11725199,0.14873037,0.027516551,0.07748102,0.0837502,0.004029234,0.009373521,0.0012283047,0.15353782,0.10440549
P2RY11,0.050982177,0.038150124,0.075043425,0.080782466,0.11725199,0.05316931,0.028222103,0.047792032,0.02437506,0.0584239,0.03316785,0.055887863,0.049028885,0.043552004
P2RY12,0.003186386,0.0038150125,0,0.00041640448,0.00047470443,0.002874017,0,0.0014482433,0,0.0008058468,0.0014420802,0,0.0012902339,0.0005966028
P2RY13,0.17525123,0.060404368,0.056175362,0.08952696,0.090668544,0.041673243,0.026105445,0.1303419,0.023125056,0.02135494,0.026678486,0.0016377396,0.085155435,0.0638365
P2RY14,0.0586295,0.020346733,0.008147571,0.04830292,0.028007561,0.0172441,0.0049388683,0.0499644,0.00812502,0.004835081,0.003605201,0.00020471745,0.010321871,0.012528659
P2RY2,0.00446094,0.0012716708,0.031303827,0.009160899,0.054116305,0.005748034,0.031044316,0.03041311,0.023125056,0.04230696,0.051193852,0.11279931,0.020643743,0.029233538
P2RY4,0,0.0006358354,0,0,0,0,0,0,0,0,0,0,0,0
P2RY6,0.07583598,0.02352591,0.13722226,0.04913573,0.27342975,0.03233269,0.042685933,0.037654325,0.061250146,0.038277727,0.029562645,0.0038896315,0.01677304,0.16585559
P2RY8,0.14402464,0.18884312,0.011149308,0.0924418,0.09399147,0.13076776,0.023283236,0.07892926,0.13500033,0.0064467746,0.021631204,0.0004094349,0.34836313,0.026847126
P3H1,0.15039742,0.092196144,0.108491346,0.07953326,0.07452859,0.060354356,0.08113855,0.057929732,0.19250047,0.057618048,0.14781323,0.030912334,0.083865196,0.09605306
P3H2,0.07838509,0.017167557,0.04888543,0.049968533,0.018513473,0.0172441,0.0342193,0.06082622,0.040000096,0.12812965,0.087966904,0.00061415235,0.009031637,0.12230358
P3H2-AS1,0.0038236633,0,0.0025729174,0.0016656179,0.00047470443,0,0,0.00072412164,0.0006250015,0.0008058468,0.0028841605,0,0,0.0011932056
P3H3,0.117259,0.048959326,0.082333356,0.029981121,0.0028482266,0.02227363,0.042333152,0.02244777,0.21687552,0.0036263107,0.04975177,0.0010235872,0.028385146,0.034602962
P3H4,0.11917084,0.03878596,0.2517171,0.045388088,0.056489825,0.022992136,0.19755472,0.019551285,0.21437553,0.089448996,0.12257683,0.16377395,0.12515268,0.09545645
P4HA1,0.27020553,0.20410319,0.5060071,0.26316762,0.4614127,0.15304141,0.28504324,0.34613013,0.39312595,0.30702767,0.25957447,0.3811839,0.3264292,0.26966447
P4HA2,0.18799677,0.054681845,0.3614949,0.11242921,0.23260516,0.050295293,0.122060604,0.062998585,0.23750058,0.13981442,0.09301418,0.14473523,0.029675378,0.8656707
P4HA2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4HA3,0.052894007,0.0063583544,0.020154519,0.008744494,0.0037976354,0.007903546,0.020813802,0.0072412165,0.106250264,0.0060438514,0.007210402,0.0063462406,0.007741403,0.006562631
P4HB,1.8984487,1.637912,3.6205235,2.0108173,4.087205,2.15192,4.7250857,2.072436,3.7862594,4.924933,2.1277895,4.7510824,2.202429,4.201874
P4HTM,0.23324345,0.1398838,0.33233514,0.15656808,0.1504813,0.16238195,0.2307157,0.19623698,0.3006257,0.26472068,0.35835695,0.83627075,0.21417882,0.24460717
PA2G4,1.1343534,0.84057444,1.095634,0.9556483,1.2081227,0.91537434,0.90134346,0.9667024,0.7562518,1.178148,1.3029195,1.2676103,1.2166905,1.3978404
PAAF1,0.07965965,0.07312107,0.13765107,0.06620831,0.09446618,0.071131915,0.10548011,0.07530865,0.073125176,0.11604194,0.14060283,0.09662664,0.041287486,0.085910805
PABPC1,8.923793,6.816156,4.638541,6.406383,7.865378,7.37329,6.8269267,7.6800346,7.320018,5.7154684,4.3291254,14.822975,9.746427,8.488465
PABPC1L,0.0446094,0.02352591,0.080618076,0.044138875,0.052217487,0.03089568,0.15416324,0.047792032,0.064375155,0.09750746,0.14997634,0.12631066,0.047738653,0.025653921
PABPC1L2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PABPC1L2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PABPC3,0.028040197,0.012080872,0.003859376,0.0029148313,0.018038768,0.00502953,0.0063499734,0.006517095,0.00812502,0.008058468,0,0.011464178,0.042577717,0.015511673
PABPC4,1.082734,0.87999624,0.53345156,0.71163523,0.95083296,1.02315,0.6332334,0.785672,0.66375166,0.6479009,0.7332979,0.5302182,0.7547868,0.6371718
PABPC4L,0.010833712,0.0012716708,0.0034305563,0.0020820224,0.00094940886,0,0.0007055526,0.0014482433,0.0075000185,0.010476009,0.0007210401,0,0,0.006562631
PABPC5,0.016569206,0.0069941897,0.0021440978,0.0029148313,0,0.00071850425,0.0007055526,0.0050688516,0.014375036,0,0,0,0,0.002983014
PABPC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PABPN1,0.4072201,0.31346688,0.59563035,0.39475143,0.40207466,0.4210435,0.5492727,0.47574794,0.58875144,0.526218,0.49751773,0.3932622,0.35997525,0.45401475
PABPN1L,0,0.0006358354,0,0,0,0.00071850425,0.0021166578,0,0.0006250015,0,0,0,0,0
PACERR,0.003186386,0.0025433416,0.01886806,0.0045804493,0.0014241133,0.0021555126,0.0119943945,0.0028964865,0.002500006,0.0004029234,0.004326241,0.0014330222,0.0025804678,0.0035796168
PACRG,0.014657375,0.005086683,0.00943403,0.009993708,0,0.0035925212,0.0038805394,0.023171892,0.018750045,0.0028204639,0.006489361,0.015353809,0.010321871,0.015511673
PACRG-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACRG-AS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACRGL,0.043972127,0.027976759,0.0703264,0.05121775,0.030381083,0.025147647,0.062441405,0.050688516,0.039375097,0.06487067,0.15213947,0.13449936,0.059350755,0.043552004
PACS1,0.2096642,0.12716709,0.17967539,0.1578173,0.20981936,0.12789375,0.1605132,0.06444683,0.13812533,0.11563902,0.25020093,0.20000894,0.15611829,0.19270273
PACS2,0.12872998,0.052138507,0.22470145,0.13366583,0.16567184,0.079753965,0.24306285,0.14265198,0.2075005,0.18534479,0.12618203,0.12344462,0.073543325,0.16704878
PACSIN1,0.0025491088,0.010809203,0.0017152781,0.00041640448,0.0014241133,0.005748034,0.0024694342,0.0014482433,0.002500006,0.0004029234,0.0007210401,0.00020471745,0.0025804678,0.0047728224
PACSIN2,0.15804476,0.10936369,0.23370665,0.19695932,0.2582392,0.18106306,0.3707679,0.26285616,0.22125053,0.26431778,0.17737588,0.24177131,0.19611554,0.17182161
PACSIN3,0.049707618,0.031155936,0.23585075,0.03539438,0.11582788,0.041673243,0.27128497,0.10137703,0.092500225,0.25384176,0.5818794,0.4178283,0.12773314,0.12111037
PADI1,0.010833712,0,0.12864587,0,0.041299287,0,0.0067027495,0,0.026250064,0.0004029234,0,0.004503784,0.0025804678,0.022074305
PADI2,0.026765643,0.012716709,0.073328145,0.016239775,0.049843967,0.011496068,0.008466631,0.052860882,0.02937507,0.009267239,0.008652482,0.014944374,0.025804678,0.010738851
PADI3,0,0,0.013722225,0.00041640448,0.0014241133,0,0,0,0.005000012,0,0,0.00020471745,0,0.002983014
PADI4,0.007010049,0.00826586,0.00042881953,0.013741347,0.00427234,0.013651581,0.0007055526,0.007965338,0.0018750046,0.0008058468,0.0007210401,0.00020471745,0.03999725,0.017301481
PADI6,0.0012745544,0,0,0.00083280896,0.00094940886,0.0014370085,0,0.0014482433,0,0.0004029234,0.0007210401,0,0,0.0005966028
PAEP,0,0,0.020154519,0,0,0,0.0056444206,0.002172365,0.0031250075,0.0004029234,0.0007210401,0,0,0.87342656
PAF1,0.1873595,0.18566394,0.4099515,0.18321796,0.24921983,0.13436028,0.1650993,0.30195874,0.26375064,0.26230314,0.50112295,0.09048511,0.18450344,0.19747552
PAFAH1B1,0.5557057,0.40375552,0.29845843,0.4197357,0.4813503,0.3894293,0.31926253,0.4619896,0.54875135,0.35497552,0.87245864,0.27759683,0.44513068,0.34722283
PAFAH1B2,0.38937637,0.33317778,0.63293767,0.4205685,0.4315063,0.3369785,0.61347795,0.4018875,0.41625103,0.44643915,1.1255437,0.6055542,0.53544706,0.53813577
PAFAH1B3,0.25172448,0.17549059,1.2122729,0.2798238,0.6009758,0.22848433,1.4509689,0.25633907,0.2775007,0.44643915,3.5734751,1.2180688,0.44125998,0.43194047
PAFAH2,0.056080393,0.031155936,0.052315988,0.08994337,0.09873852,0.04813978,0.111830086,0.080377504,0.04562511,0.088643156,0.16800235,0.116279505,0.19740577,0.085910805
PAG1,0.49771348,0.4705182,0.2409966,0.37726244,0.68879616,0.2759056,0.17885756,0.29109693,0.4856262,0.9597636,0.15574467,0.2604006,0.34191197,0.24878338
PAGE1,0,0,0,0,0,0,0,0,0,0,0.0007210401,0,0,0
PAGE2,0,0,0,0,0,0,0,0,0,0,0.009373521,0.0004094349,0,0
PAGE2B,0.003186386,0.0012716708,0.0017152781,0,0.00094940886,0,0.0003527763,0.00072412164,0.0006250015,0,0.03244681,0.00061415235,0,0.0005966028
PAGE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGE4,0.0006372772,0,0.00042881953,0,0,0,0,0,0.0006250015,0,0.016583925,0,0,0
PAGE5,0.00446094,0.004450848,0.00943403,0.014574157,0.0061711576,0.0172441,0.0003527763,0.00434473,0.0018750046,0,0,0.0004094349,0.0025804678,0.0047728224
PAGR1,0.038873907,0.029884266,0.0098628495,0.013324943,0.010918202,0.050295293,0.043744262,0.045619663,0.019375047,0.023772482,0.025236407,0.033778377,0.0761238,0.026250524
PAH,0,0,0,0,0,0,0.0003527763,0.0014482433,0,0,0,0.0010235872,0,0
PAICS,0.13828915,0.11508621,0.32118583,0.15365325,0.26061273,0.19543315,0.2945682,0.17378919,0.34625086,0.3356352,0.3266312,0.6258212,0.27998075,0.24341395
PAIP1,0.41486746,0.26450753,0.7971755,0.35102898,0.4186893,0.33626,1.1429951,0.42361116,0.5118762,0.45892978,2.5387824,0.7249045,0.41932598,0.54529494
PAIP2,1.0929304,1.0077991,1.3807989,1.0793203,0.997354,1.0741638,1.0636206,1.5083455,1.3637532,1.0218138,0.85947984,0.73063654,1.4476424,1.1156472
PAIP2B,0.046521235,0.17549059,0.0613212,0.031230336,0.028007561,0.109212644,0.10830232,0.04272318,0.12937531,0.09106069,0.092293136,0.052612383,0.073543325,0.04653502
PAK1,0.41168106,0.19774482,0.35420495,0.29314876,0.60002637,0.171004,0.3884067,0.20782292,0.1637504,0.20871434,0.43190306,0.29806858,0.26449794,0.2774203
PAK1IP1,0.12681817,0.10745619,0.18310595,0.15323685,0.20554702,0.14801186,0.21201855,0.14265198,0.14062534,0.1257121,0.26966903,0.09048511,0.1483769,0.11574095
PAK2,0.88135433,0.5970495,0.6745331,0.78825366,0.8274098,0.5281006,0.66956943,0.5409189,0.46187612,0.3162949,1.1190543,0.29540727,0.5251252,0.6001824
PAK3,0.030589307,0.022890076,0.003859376,0.0083280895,0.0028482266,0.007903546,0.007761079,0.011585946,0.03625009,0.010073086,0.0007210401,0.01044059,0.0025804678,0.00417622
PAK4,0.07583598,0.06549105,0.4056633,0.07620202,0.15522835,0.06179136,0.1368772,0.106445886,0.14187534,0.21234064,1.183227,0.1396173,0.09934801,0.13960506
PAK6,0.02039287,0.0031791772,0.084477454,0.029981121,0.06313569,0.0093405545,0.092780165,0.027516624,0.026250064,0.11563902,0.16944443,0.11587007,0.025804678,0.07218894
PAK5,0,0,0,0.00083280896,0,0,0.0031749867,0.002172365,0.0006250015,0.0036263107,0,0,0,0.0005966028
PALB2,0.025491089,0.020982571,0.03687848,0.016656179,0.018038768,0.012214572,0.035983182,0.016654799,0.010625026,0.024578327,0.016583925,0.02722742,0.019353509,0.019687893
PALD1,0.070100494,0.032427605,0.024871534,0.03081393,0.030855788,0.028021663,0.011288841,0.03041311,0.028750071,0.010878933,0.010094563,0.0042990665,0.0012902339,0.020284496
PALLD,0.7768409,0.29184845,0.42796195,0.15198763,0.43435454,0.088376015,0.06914415,0.09775643,0.43750107,0.088643156,0.025957445,0.27554968,0.092896834,0.54529494
PALM,0.07073777,0.035606783,0.06217884,0.034145165,0.0018988177,0.0093405545,0.12170782,0.015930677,0.1231253,0.061244357,0.2891371,0.002251892,0.041287486,0.021477701
PALM3,0.03568752,0.004450848,0.00042881953,0.0012492135,0.060762167,0.0035925212,0.008819407,0.18682338,0.01562504,0.15633428,0.0050472813,0.11873612,0.007741403,0.01670488
PALMD,0.12426905,0.029884266,0.0767587,0.1215901,0.003322931,0.055324823,0.01516938,0.07096393,0.13312532,0.011684779,0.009373521,0.0073698275,0.0012902339,0.025653921
PAM,0.30270666,0.108092025,0.7504342,0.17280784,0.3764406,0.10849413,0.27163774,0.13903137,0.34500083,0.468197,0.197565,0.43522927,0.2167593,2.0618594
PAM16,0.008284603,0.010173366,0.037307303,0.012908539,0.010918202,0.01005906,0.015522158,0.012310069,0.0075000185,0.009670162,0.035330966,0.013306634,0.0064511695,0.013721865
PAMR1,0.035050247,0.040693466,0.008147571,0.0187382,0.00047470443,0.0014370085,0.0049388683,0.010137703,0.07062517,0.0060438514,0.0007210401,0.0028660444,0.0012902339,0.010142248
PAN2,0.054805838,0.03497095,0.04759897,0.051634155,0.04936926,0.035206705,0.047977578,0.05575737,0.043750107,0.066482365,0.09589834,0.042990666,0.054189824,0.036989376
PAN3,0.19373226,0.13606879,0.101201415,0.10743235,0.09304206,0.12645674,0.10442178,0.13251427,0.12875031,0.14948459,0.18098108,0.14596353,0.2903026,0.1264798
PAN3-AS1,0.010196435,0.005722519,0.005574654,0.0033312358,0.003322931,0.005748034,0.0031749867,0.0050688516,0.0031250075,0.004835081,0.005768321,0.0030707617,0.0038707014,0.0017898084
PANDAR,0,0,0.00042881953,0,0,0,0,0,0,0,0,0,0,0
PANK1,0.010833712,0.005722519,0.016723963,0.0083280895,0.0052217483,0.013651581,0.02469434,0.015930677,0.018750045,0.013699396,0.0627305,0.01924344,0.032255847,0.010142248
PANK2,0.24471445,0.16086636,0.26200876,0.23235369,0.18798295,0.18393709,0.3527763,0.2136159,0.23312557,0.17728631,0.2653428,0.34208286,0.4038432,0.17062841
PANK3,0.13255365,0.07439274,0.15866324,0.14157753,0.112030245,0.119271696,0.12629391,0.11151474,0.1243753,0.14021735,0.1579078,0.116893664,0.105799176,0.26071545
PANK4,0.030589307,0.019710898,0.034734383,0.034977976,0.036077537,0.046702772,0.017638814,0.041999057,0.050625123,0.04230696,0.024515366,0.010645307,0.077414036,0.036989376
PANO1,0.014657375,0.00826586,0.0072899326,0.0062460667,0.009968793,0.006466538,0.0070555257,0.0028964865,0.01250003,0.0064467746,0.007931442,0.016991546,0.0064511695,0.0077558365
PANX1,0.07073777,0.034335114,0.10934898,0.031230336,0.064085096,0.042391747,0.094191276,0.057929732,0.07937519,0.06728821,0.0951773,0.074107714,0.07225309,0.07218894
PANX2,0.014657375,0.005086683,0.008147571,0.0029148313,0.024209926,0.0035925212,0.10830232,0.012310069,0.0068750167,0.03545726,0.020910166,0.07103695,0,0.010142248
PANX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAOX,0.06755138,0.07757192,0.056175362,0.06079505,0.04652103,0.07544294,0.04092205,0.05213676,0.063125156,0.033845566,0.086524814,0.037463292,0.0761238,0.047728226
TENT2,0.23642984,0.17739809,0.22212853,0.20820224,0.17326711,0.19327763,0.13617165,0.2107194,0.15250038,0.17970383,0.14420803,0.1795372,0.27740026,0.26668146
TENT4B,0.1924577,0.13416128,0.1183542,0.15740088,0.150956,0.12214571,0.10653844,0.15930676,0.17500043,0.12329457,0.16295508,0.29458842,0.13934526,0.08889382
TENT4A,0.057992224,0.054046012,0.11663892,0.07911685,0.076427415,0.047421277,0.11288841,0.070239805,0.12062529,0.10032793,0.23650116,0.12938142,0.08128473,0.21656682
PAPLN,0.10451346,0.049595166,0.039451398,0.020403821,0.038925763,0.012214572,0.018697143,0.015930677,0.063750155,0.060841434,0.03821513,0.0008188698,0.007741403,0.038779184
PAPOLA,1.1018523,1.0523076,1.2435766,1.0814024,1.1582788,1.1194296,1.4093413,1.0724242,1.2656281,0.9492876,1.1565484,0.8542859,1.1250839,1.0882035
PAPOLB,0,0.0006358354,0.0017152781,0,0.00094940886,0,0.0010583289,0,0.0006250015,0,0,0,0,0.0005966028
PAPOLG,0.08220875,0.053410176,0.044168413,0.047886513,0.057439234,0.038080722,0.03986372,0.07168805,0.035625085,0.066079445,0.07282505,0.043604814,0.083865196,0.040568992
PAPPA,0.028040197,0.027976759,0.033876743,0.03456157,0.018038768,0.0071850424,0.02575267,0.03403372,0.21937554,0.016519861,0.014420804,0.063052975,0.0025804678,0.03579617
PAPPA-AS1,0,0,0.00042881953,0,0.00094940886,0.00071850425,0,0,0.001250003,0.0004029234,0,0.00020471745,0,0
PAPPA-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPPA2,0.0025491088,0.0006358354,0,0.002498427,0.00047470443,0.00071850425,0.0003527763,0.00072412164,0.010625026,0,0,0.00020471745,0,0.0005966028
PAPSS1,0.26064637,0.21681988,0.3138959,0.3468649,0.14715837,0.46774626,0.24623784,0.3548196,0.31375074,0.16157229,0.55736405,0.13838899,0.20256671,0.26847127
PAPSS2,0.15677018,0.1309821,0.16209379,0.20320538,0.21599051,0.12645674,0.15627989,0.36568144,0.20000048,0.5246063,1.0072931,0.0073698275,0.032255847,0.15511674
PAQR3,0.045883957,0.04005763,0.033876743,0.028731909,0.04841985,0.020836622,0.06773305,0.029688988,0.043125104,0.043918654,0.043262407,0.067556754,0.049028885,0.026250524
PAQR4,0.038873907,0.031155936,0.22684555,0.056631006,0.07215507,0.052450806,0.104774565,0.041274935,0.04562511,0.089851916,0.10671394,0.34208286,0.08128473,0.09128024
PAQR5,0.017206484,0.010809203,0.0102916695,0.07203797,0.030381083,0.043110255,0.010583288,0.12961778,0.020625051,0.05882682,0.023073284,0.0038896315,0.009031637,0.032216553
PAQR6,0.009559157,0.038150124,0.015437504,0.0083280895,0.014241133,0.027303161,0.010230512,0.009413581,0.01562504,0.020549094,0.026678486,0.010031154,0.010321871,0.01670488
PAQR7,0.049070343,0.024161745,0.04459723,0.011659325,0.06835744,0.0093405545,0.05891364,0.035481963,0.13312532,0.037068956,0.25380614,0.15742771,0.17031087,0.03340976
PAQR8,0.06882594,0.047687657,0.07590106,0.04580449,0.046995737,0.046702772,0.058560863,0.04417142,0.034375083,0.023772482,0.116808504,0.052407667,0.10192847,0.03161995
PAQR9,0,0,0,0,0,0,0,0.00072412164,0,0,0,0,0,0
PAQR9-AS1,0,0,0.00042881953,0,0.00047470443,0,0.0003527763,0,0.0006250015,0.0004029234,0,0,0,0
PARD3,0.059904054,0.01526005,0.14579865,0.027482694,0.14668366,0.016525596,0.27728215,0.06155034,0.10437526,0.28083763,0.5761111,0.23071656,0.025804678,0.17062841
PARD3-AS1,0,0,0.0025729174,0.00041640448,0.003322931,0,0.005291644,0.0072412165,0.0043750107,0.004835081,0.013699763,0.0040943488,0,0.0023864112
PARD3B,0.08730697,0.026705088,0.03859376,0.017905394,0.015190542,0.011496068,0.027516551,0.018103043,0.0843752,0.033039723,0.20910165,0.06960393,0.018063273,0.024460716
PARD6A,0.056717668,0.06867023,0.07075523,0.06704112,0.05506571,0.05748034,0.0938385,0.041274935,0.073125176,0.07534668,0.1543026,0.19284384,0.11225034,0.04414861
PARD6B,0.03823663,0.02924843,0.13036114,0.052883368,0.1276955,0.059635848,0.37288454,0.37364677,0.27187568,0.5673162,0.5458274,0.58283055,0.07096286,0.069205925
PARD6G,0.036962077,0.019075062,0.031303827,0.0187382,0.047470443,0.004311025,0.014463828,0.010137703,0.07750019,0.0032233873,0.124739945,0.0030707617,0.0012902339,0.022074305
PARD6G-AS1,0.009559157,0.0006358354,0.0021440978,0.016239775,0.009494089,0.005748034,0.005291644,0.025344258,0.018750045,0.0032233873,0.0028841605,0.0657143,0.014192573,0.013721865
PARG,0.061815884,0.029884266,0.054460082,0.04747011,0.05459101,0.041673243,0.09172184,0.037654325,0.046875115,0.063258976,0.065614656,0.068785064,0.0761238,0.06085349
PRKN,0.00892188,0.0038150125,0.0025729174,0.004996854,0.00094940886,0.00502953,0.0017638814,0.00434473,0.0068750167,0.0064467746,0.0014420802,0.0018424569,0,0.0011932056
PARK7,2.8530898,2.206349,3.9104054,3.0609891,3.5579097,2.5787117,2.996482,3.005105,2.963757,3.1484437,3.1985343,4.0272017,2.421769,2.938269
PARL,0.439084,0.37514293,0.4189567,0.4555465,0.47565383,0.3779332,0.43250373,0.44533482,0.3762509,0.30823642,1.1442907,0.21781936,0.42577717,0.420605
PARM1,0.09049336,0.11826539,0.19125353,0.11034718,0.1504813,0.1365158,0.4818924,0.24764961,0.15875039,0.28647855,0.27183214,0.27984872,0.045158185,0.31023347
PARN,0.10769984,0.08138693,0.21355213,0.15906651,0.18798295,0.11208665,0.10830232,0.1267213,0.07625019,0.16398983,0.13627659,0.14637297,0.12257222,0.12290018
PARP1,0.57737315,0.59832114,0.9794239,0.64459413,0.7405389,0.67826796,0.79127717,0.38885334,0.46437612,0.5008338,1.0382979,0.64997786,0.59092706,0.5333629
