GeneID,T_cell
AMIGO2,0.09030312
AMIGO3,0.00014129856
AMMECR1,0.13930151
AMMECR1L,0.053875368
AMN,0.006336099
AMN1,0.06504383
AMOT,0.005222353
AMOTL1,0.0025706252
AMOTL2,0.0050187465
AMPD1,0.0017045484
AMPD2,0.10580583
AMPD3,0.04843886
AMPH,0.00026621466
AMT,0.018270649
AMTN,0.0
AMY1A,0.0
AMY1B,0.0
AMY1C,0.0
AMY2A,0.0
AMY2B,0.01303991
AMZ1,0.0077875853
AMZ2,0.42879632
ANAPC1,0.11407323
ANAPC10,0.22157729
ANAPC11,1.4032273
ANAPC13,0.3486124
ANAPC15,0.44147468
ANAPC16,3.0970855
ANAPC2,0.10092846
ANAPC4,0.11056851
ANAPC5,0.7397147
ANAPC7,0.11417458
ANG,0.022106936
ANGEL1,0.024126897
ANGEL2,0.13227643
ANGPT1,0.0009328556
ANGPT2,0.050675265
ANGPT4,0.0
ANGPTL1,0.0010613655
ANGPTL2,0.0016258167
ANGPTL3,0.0
ANGPTL4,0.007860675
ANGPTL5,0.0
ANGPTL6,0.020550778
ANGPTL7,0.0
ANGPTL8,0.0002046594
ANHX,0.0
ANK1,0.013394043
ANK2,0.0013964681
ANK3,0.07951708
ANKAR,0.036011893
ANKDD1A,0.021045543
ANKDD1B,0.008009399
ANKEF1,0.010262073
ANKFN1,0.0
ANKFY1,0.10809537
ANKH,0.29633692
ANKHD1,0.21938723
ANKHD1-EIF4EBP3,0.0037884328
ANKIB1,0.16524644
ANKK1,0.00087460823
ANKLE1,0.0031877887
ANKLE2,0.2562408
ANKMY1,0.057725884
ANKMY2,0.049722172
ANKRA2,0.16228424
ANKRD1,0.0012748134
ANKRD10,0.36072904
ANKRD11,1.0792749
ANKRD12,3.0136902
ANKRD13A,0.1722466
ANKRD13B,0.003567317
ANKRD13C,0.116242245
ANKRD13D,0.3034544
ANKRD16,0.009741949
ANKRD17,0.22903351
ANKRD18A,0.008807689
ANKRD18B,0.00313614
ANKRD2,0.0
ANKRD20A1,0.0
ANKRD20A2,0.00027988708
ANKRD20A3,0.0
ANKRD20A4,0.0090966895
ANKRD22,0.011049086
ANKRD23,0.004978626
ANKRD24,0.00042305197
ANKRD26,0.1108128
ANKRD27,0.05656668
ANKRD28,0.45382914
ANKRD29,0.004397426
ANKRD30A,0.0
ANKRD30B,0.0
ANKRD30BL,0.0
ANKRD31,0.0034067025
ANKRD33,0.0
ANKRD33B,0.008794305
ANKRD33B-AS1,0.0
ANKRD34A,0.005499295
ANKRD34B,0.00011790743
ANKRD34C,0.0
ANKRD35,0.115087494
ANKRD36,0.17131272
ANKRD36B,0.16027474
ANKRD36C,0.23665687
ANKRD37,0.24641442
ANKRD39,0.3240746
ANKRD40,0.12348128
ANKRD42,0.04317768
ANKRD44,0.8662234
ANKRD45,0.0007531652
ANKRD46,0.06625879
ANKRD49,0.22196157
ANKRD50,0.0018785195
ANKRD52,0.05248987
ANKRD53,0.0004886285
ANKRD54,0.13719873
ANKRD55,0.049222253
ANKRD6,0.006186735
ANKRD60,0.0
ANKRD61,0.0
ANKRD62,0.0011027458
ANKRD63,0.0
ANKRD65,0.0055263788
ANKRD66,0.00038565934
ANKRD7,0.0005520868
ANKRD9,0.030404763
ANKS1A,0.024514306
ANKS1B,0.0683714
ANKS3,0.087858945
ANKS4B,0.0
ANKS6,0.013186862
ANKUB1,0.0011926594
ANKZF1,0.24424393
ANLN,0.0075392076
ANO1,0.0016128623
ANO1-AS1,0.0
LINC02584,0.0
ANO10,0.025484314
ANO2,0.00021399019
ANO3,0.0
ANO4,0.0
ANO5,0.00036984187
ANO6,0.07598311
ANO7,0.0019065202
ANO8,0.0052935155
ANO9,0.106097415
ANOS1,0.0025368787
ANP32A,0.82239425
ANP32B,2.7893407
ANP32D,0.000762943
ANP32E,0.8316949
ANPEP,0.009902611
ANTXR1,0.0069923894
ANTXR2,0.22367471
ANTXRL,0.0
ANXA1,6.785701
ANXA10,0.0
ANXA11,1.5051088
ANXA13,0.0
ANXA2,2.108704
ANXA2R,0.45900568
ANXA3,0.012642694
ANXA4,0.2649371
ANXA5,1.4445096
ANXA6,1.778449
ANXA7,1.0242465
ANXA8L1,0.0
ANXA9,0.002648862
AOAH,0.1274372
AOC1,0.0007417375
AOC2,0.0017681561
AOC3,0.0050716912
AOX1,0.00076609093
AP1AR,0.039328102
AP1B1,0.11913366
AP1G1,0.1475292
AP1G2,0.19026223
AP1M1,0.2831963
AP1M2,0.009216853
AP1S1,0.33408794
AP1S2,0.60168105
AP1S3,0.033856478
AP2A1,0.19620377
AP2A2,0.17947538
AP2B1,0.4037762
AP2M1,1.4932253
AP2S1,1.2597041
AP3B1,0.18617134
AP3B2,0.0004915341
AP3D1,0.3018935
AP3M1,0.12284044
AP3M2,0.3322397
AP3S1,0.8324202
AP3S2,0.032486223
AP4B1,0.080486946
AP4B1-AS1,0.0039883438
AP4E1,0.03091473
