GeneID,Bcells,Malignant,Fibroblasts
C8orf87,0.0,0.0,0.0026743705
C8orf88,0.005014561,0.00052689435,0.046355754
C8orf89,0.0022286938,0.002897919,0.010697482
C9,0.0,0.0023710248,0.004457284
C9orf106,0.0,0.012908912,0.024960792
SPOUT1,0.065746464,0.11723399,0.12747833
C9orf116,0.011700642,0.1541166,0.035658274
C9orf129,0.0,0.0,0.00089145685
C9orf131,0.0,0.0,0.0
C9orf135,0.0,0.07745347,0.00089145685
C9orf135-DT,0.0,0.00026344717,0.0
C9orf139,0.0044573876,0.0007903416,0.0
PAXX,0.33653277,0.58669686,0.6124308
C9orf147,0.0,0.002897919,0.0026743705
C9orf152,0.0016715204,0.12408362,0.00089145685
C9orf153,0.0,0.0015806832,0.0026743705
C9orf16,0.90373534,3.5096433,2.0565908
C9orf163,0.00055717345,0.002634472,0.00089145685
C9orf170,0.0,0.00026344717,0.0035658274
AJM1,0.0044573876,0.028979192,0.008914568
STPG3,0.0,0.0023710248,0.00089145685
STPG3-AS1,0.0,0.002634472,0.0
C9orf24,0.0078004287,0.09457754,0.008914568
AOPEP,0.01782955,0.59433687,1.2560626
C9orf40,0.017272377,0.050318412,0.02852662
CARNMT1-AS1,0.0011143469,0.00026344717,0.00089145685
C9orf43,0.0039002143,0.0050054966,0.00089145685
C9orf47,0.00055717345,0.0007903416,0.026743704
C9orf50,0.0,0.001317236,0.006240198
C9orf57,0.0,0.0,0.0
C9orf64,0.008914775,0.09352375,0.08201403
DOCK8-AS1,0.011143469,0.013435806,0.006240198
TMEM250,0.02061542,0.17492893,0.13995872
C9orf72,0.06407495,0.042415,0.043681383
C9orf78,0.36160555,0.513722,0.6365002
SHOC1,0.0,0.004215155,0.0035658274
C9orf85,0.04513105,0.105905764,0.13728435
SPACA9,0.01448651,0.076399684,0.075773835
TMEM268,0.026187154,0.05690459,0.03387536
C9orf92,0.0,0.0,0.0017829137
CA1,0.0,0.00026344717,0.0
CA10,0.0022286938,0.024237141,0.0
CA11,0.026744327,0.09563133,0.12836978
CA12,0.00055717345,0.12197605,0.08825423
CA13,0.0039002143,0.07719003,0.012480396
CA14,0.0,0.0015806832,0.0
CA2,0.01448651,0.065598354,0.01426331
CA3,0.0044573876,0.010537888,0.27813452
CA3-AS1,0.00055717345,0.001317236,0.0017829137
CA4,0.00055717345,0.0018441302,0.00089145685
CA5A,0.00055717345,0.0063227327,0.0026743705
CA5B,0.02395846,0.017914409,0.065967806
CA6,0.0,0.00052689435,0.0
CA7,0.00055717345,0.0015806832,0.00089145685
CA8,0.0033430408,0.029769532,0.0035658274
CA9,0.0016715204,0.13541186,0.022286423
CAAP1,0.04234518,0.13330427,0.108757734
CAB39,0.101962745,0.40202042,0.20949236
CAB39L,0.013372163,0.031086767,0.12926124
CABIN1,0.061846253,0.22313976,0.216624
CABLES1,0.015043683,0.070340395,0.0784482
CABLES2,0.0055717346,0.04926462,0.016046222
CABP1,0.00055717345,0.0015806832,0.013371852
CABP4,0.0044573876,0.018441303,0.0017829137
CABP5,0.0,0.0,0.0
CABP7,0.00055717345,0.003951708,0.00089145685
CABYR,0.0011143469,0.010801334,0.012480396
CACFD1,0.016715204,0.26502785,0.09360296
CACHD1,0.0016715204,0.07139419,0.08557986
CACNA1A,0.0078004287,0.028979192,0.032092445
CACNA1B,0.0,0.0007903416,0.0
CACNA1C,0.0022286938,0.00052689435,0.29596367
CACNA1C-AS1,0.0011143469,0.0,0.0
CACNA1C-AS2,0.006128908,0.00026344717,0.0026743705
CACNA1D,0.0016715204,0.04531292,0.091820054
CACNA1E,0.0,0.00026344717,0.00089145685
CACNA1F,0.0011143469,0.0050054966,0.0
CACNA1G,0.0011143469,0.0015806832,0.018720593
CACNA1G-AS1,0.0,0.00026344717,0.0
CACNA1H,0.0,0.0036882604,0.016046222
CACNA1I,0.00055717345,0.0010537887,0.0
CACNA1S,0.0,0.0,0.0
CACNA2D1,0.00055717345,0.0018441302,0.13282707
CACNA2D2,0.0027858673,0.0843031,0.006240198
CACNA2D3,0.0022286938,0.007376521,0.0392241
CACNA2D3-AS1,0.0,0.0,0.0
CACNA2D4,0.0078004287,0.007639969,0.024069333
CACNB1,0.0066860816,0.09721202,0.03387536
CACNB2,0.0,0.0007903416,0.032983903
CACNB3,0.0044573876,0.25449,0.11232356
CACNB4,0.0027858673,0.031086767,0.051704496
CACNG1,0.0,0.0,0.0
CACNG2,0.0,0.0,0.0
CACNG3,0.0,0.0,0.00089145685
CACNG4,0.00055717345,0.08087829,0.0026743705
CACNG6,0.00055717345,0.0007903416,0.0
CACNG7,0.0,0.0,0.0
CACNG8,0.0,0.00026344717,0.0026743705
CACTIN,0.009471949,0.069813505,0.0392241
CACTIN-AS1,0.0,0.0,0.0017829137
CACUL1,0.11700643,0.42467687,0.34142798
CACYBP,0.36216277,0.97528154,0.75328106
CAD,0.01448651,0.080087945,0.0909286
CADM1,0.21896917,0.2634472,0.22464712
CADM2,0.0,0.012645465,0.0035658274
CADM2-AS1,0.0,0.0,0.0
CADM3,0.0027858673,0.009220651,0.18542302
CADM3-AS1,0.0,0.00026344717,0.00089145685
CADM4,0.0066860816,0.07323831,0.008023111
CADPS,0.0066860816,0.007113074,0.007131655
CADPS2,0.02061542,0.23446798,0.16313662
CAGE1,0.0039002143,0.0036882604,0.00089145685
CAHM,0.0039002143,0.017650962,0.010697482
CALB1,0.0,0.0,0.0
CALB2,0.0027858673,0.017124068,0.2727858
CALCA,0.0,0.0,0.0035658274
CALCB,0.0016715204,0.0007903416,0.0
CALCOCO1,0.12034947,0.13936357,0.2522823
CALCOCO2,0.1342788,0.36566472,0.67572427
CALCR,0.00055717345,0.010537888,0.0
CALCRL,0.0044573876,0.005532391,0.035658274
CALD1,0.019501071,0.42309618,12.768336
CALHM1,0.00055717345,0.00026344717,0.0
CALHM2,0.020058244,0.014753042,0.41541886
CALHM3,0.00055717345,0.0007903416,0.0
CALM1,1.7110797,3.5072722,5.6634254
CALM2,1.9707226,8.15369,7.206537
CALM3,0.6658223,0.9852925,1.4254396
CALML3,0.0,0.0,0.0
CALML3-AS1,0.0,0.0018441302,0.0
CALML4,0.0022286938,0.01027444,0.0035658274
CALML5,0.00055717345,0.0047420496,0.00089145685
CALML6,0.00055717345,0.0021075774,0.0
CALN1,0.00055717345,0.00026344717,0.0
CALR,2.28664,3.5586448,4.3975563
CALR3,0.0,0.0,0.0
CALU,0.24849936,0.93260306,1.8408583
CALY,0.0011143469,0.004215155,0.0026743705
CAMK1,0.034544755,0.09615822,0.382435
CAMK1D,0.12536404,0.7632065,0.0846884
CAMK1G,0.0,0.00052689435,0.057944693
CAMK2A,0.0,0.0,0.010697482
CAMK2B,0.018386725,0.030559875,0.0017829137
CAMK2D,0.0735469,0.44259125,0.33429632
CAMK2G,0.056831695,0.41519278,0.17829138
CAMK2N1,0.005014561,0.3177173,1.075097
CAMK2N2,0.0,0.0050054966,0.00089145685
CAMK4,0.0440167,0.0036882604,0.024069333
CAMKK1,0.01448651,0.020021986,0.009806025
CAMKK2,0.031758886,0.13804632,0.19790341
CAMKMT,0.035101928,0.058221824,0.049921583
CAMKV,0.0,0.00026344717,0.0
CAMLG,0.3777636,0.91547894,1.7089227
CAMP,0.026187154,0.011064782,0.0035658274
CAMSAP1,0.016715204,0.11354574,0.060619064
CAMSAP2,0.0055717346,0.19205299,0.20949236
CAMSAP3,0.0066860816,0.13672909,0.0017829137
CAMTA1,0.35603386,1.5148213,0.8771935
CAMTA2,0.02117259,0.06480801,0.14619891
CAND1,0.19668223,0.39200944,0.5134791
CAND2,0.0016715204,0.008957204,0.027635163
CANT1,0.059060384,0.46076912,0.13371852
CANX,0.54212976,1.7542948,1.516368
