GeneID,Bcells,Malignant,Fibroblasts
ADAM20,0.0,0.00033971688,0.0
ADAM20P1,0.0,0.001189009,0.0025324093
ADAM21,0.0,0.0005095753,0.0
ADAM22,0.0,0.0057751867,0.032921318
ADAM23,0.0035471956,0.00016985844,0.0075972276
ADAM28,0.6739671,0.10531223,0.027856499
ADAM29,0.0,0.00033971688,0.0
ADAM30,0.0,0.0005095753,0.0
ADAM32,0.0,0.0042464607,0.0075972276
ADAM33,0.0017735978,0.00033971688,0.083569504
ADAM8,0.078038305,0.28094584,0.032921318
ADAM9,0.019509576,0.43076098,0.43304196
ADAMDEC1,0.026603967,0.0016985843,0.010129637
ADAMTS1,0.0017735978,0.09800831,0.89394045
ADAMTS10,0.0,0.007813488,0.0810371
ADAMTS12,0.0,0.0037368855,0.27096778
ADAMTS13,0.0,0.01087094,0.022791682
ADAMTS14,0.0017735978,0.020383012,0.020259274
ADAMTS15,0.0,0.0018684427,0.045583364
ADAMTS16,0.0,0.0013588675,0.0810371
ADAMTS17,0.0,0.004416319,0.022791682
ADAMTS18,0.0,0.0,0.0050648185
ADAMTS19,0.0,0.0,0.0075972276
ADAMTS2,0.0,0.00016985844,0.31908354
ADAMTS20,0.0,0.0,0.0
ADAMTS3,0.0,0.001189009,0.027856499
ADAMTS4,0.0,0.00084929215,0.22791682
ADAMTS5,0.0,0.0057751867,0.07850468
ADAMTS6,0.01596238,0.004756036,0.035453726
ADAMTS7,0.0035471956,0.0076436293,0.03038891
ADAMTS8,0.0,0.00016985844,0.37226415
ADAMTS9,0.0,0.04195503,0.09623155
ADAMTS9-AS1,0.0,0.0,0.0075972276
ADAMTS9-AS2,0.0,0.033122394,0.0810371
ADAMTSL1,0.0,0.00033971688,0.017726863
ADAMTSL2,0.0,0.0045861774,0.6331023
ADAMTSL3,0.0,0.0013588675,0.101296365
ADAMTSL4,0.010641587,0.021232303,0.12915286
ADAMTSL5,0.0035471956,0.019873437,0.015194455
ADAP1,0.007094391,0.122637786,0.012662046
ADAP2,0.028377565,0.058261443,0.048115775
ADAR,0.37245554,1.155377,0.5925838
ADARB1,0.021283174,0.024119897,0.30135667
ADARB2,0.0017735978,0.00033971688,0.0
ADARB2-AS1,0.0,0.0,0.0025324093
ADAT1,0.035471957,0.13384844,0.08610191
ADAT2,0.010641587,0.03448126,0.045583364
ADAT3,0.0035471956,0.0035670272,0.0050648185
ADCK1,0.010641587,0.032952536,0.048115775
ADCK2,0.042566348,0.13911405,0.101296365
COQ8A,0.09577428,0.17631306,0.17473623
COQ8B,0.03015116,0.10650124,0.14941214
ADCK5,0.019509576,0.10344378,0.035453726
ADCY1,0.0035471956,0.025308907,0.025324091
ADCY10,0.0,0.001189009,0.0
ADCY2,0.0,0.00033971688,0.010129637
ADCY3,0.0053207935,0.07320899,0.16967142
ADCY4,0.010641587,0.011550373,0.0025324093
ADCY5,0.0,0.0035670272,0.022791682
ADCY6,0.0035471956,0.1037835,0.083569504
ADCY7,0.03015116,0.055034135,0.075972274
ADCY8,0.0,0.0010191506,0.0
ADCY9,0.0035471956,0.10514237,0.048115775
ADCYAP1,0.0,0.0015287258,0.0075972276
ADCYAP1R1,0.0,0.0,0.0050648185
ADD1,0.11173666,0.3730091,0.65842634
ADD2,0.0017735978,0.00033971688,0.032921318
ADD3,0.13124624,0.490721,1.0357554
ADGB,0.0,0.0016985843,0.0025324093
ADGRA1,0.0,0.00016985844,0.0
ADGRA1-AS1,0.0,0.0,0.0
ADGRA2,0.0035471956,0.00645462,0.34947246
ADGRA3,0.0,0.08526893,0.08863433
ADGRB1,0.0,0.010531222,0.0075972276
ADGRB2,0.0017735978,0.009851789,0.020259274
ADGRB3,0.0,0.0005095753,0.048115775
ADGRD1,0.0017735978,0.0845895,0.08610191
ADGRD2,0.0,0.00016985844,0.0
ADGRE1,0.0,0.0016985843,0.010129637
ADGRE2,0.0017735978,0.09019483,0.0810371
ADGRE3,0.0,0.00033971688,0.0
ADGRE5,0.3866443,0.45097414,0.24057886
ADGRF1,0.0,0.83910066,0.0
ADGRF2,0.0,0.0018684427,0.0
ADGRF3,0.0,0.0,0.0
ADGRF4,0.0,0.027686924,0.0025324093
ADGRF5,0.0035471956,1.3960665,0.07090745
ADGRG1,0.008867989,0.23355535,0.0075972276
ADGRG2,0.0,0.0049258946,0.037986137
ADGRG3,0.0,0.00067943375,0.0
ADGRG4,0.0,0.0,0.0050648185
ADGRG5,0.09577428,0.00016985844,0.0050648185
ADGRG6,0.0017735978,0.119580336,0.037986137
ADGRG7,0.0,0.0,0.0
ADGRL1,0.0053207935,0.15949707,0.0810371
ADGRL2,0.0017735978,0.012399665,0.09876396
ADGRL3,0.0,0.00866278,0.017726863
