CID3586,CID3838,CID3921,CID3941,CID3946,CID3948,CID3963,CID4040,CID4066,CID4067,CID4290A,CID4398,CID44041,CID4461,CID4463,CID4465,CID4471,CID4495,CID44971,CID44991,CID4513,CID4515,CID45171,CID4523,CID4530N,CID4535
AURKAIP1,0.9835844,1.062174,2.281927,1.1400411,1.1390829,1.6510682,1.4867293,1.0889139,1.8622559,1.7629825,1.8291149,0.112961486,1.0164502,4.4148083,2.9261463,2.791137,1.3391105,1.9908195,1.85567,3.5682635,2.1427982,1.4811765,3.124564,2.9455664,2.2679563,2.2865052
CCNL2,0.40846527,0.41802648,0.5383393,0.33764285,0.5463894,0.35535678,0.34895483,0.5074382,0.35240483,0.56126744,0.27908266,0.07668946,0.19909848,0.96573925,0.32048768,0.84160244,0.39636213,0.20912983,0.29372627,0.44423646,0.31806374,0.27456227,0.46232828,0.21944273,0.3987922,0.3080849
MRPL20,0.8158413,0.91688126,1.5984768,0.9890949,0.94460535,1.7784601,1.2007122,1.0837183,1.5920198,2.3004258,1.1393905,0.63631517,1.2653233,1.8969878,1.7245786,1.6086324,1.1962146,1.476724,1.5269989,2.3518186,1.6056372,0.9936272,2.4724016,1.9718384,1.990981,1.9023969
RP4-758J18.13,0.0032677222,0.0039670365,0.0063908994,0.0039722687,0,0.006704845,0.0062937737,0.005195613,0.0070835142,0.010510626,0.0032520224,0,0.0013098584,0.022993792,0.0062636025,0.010653196,0.0033154506,0.0026001933,0.0030222638,0.009212702,0.0030234193,0.002994544,0.007981006,0.0027528657,0.0016763802,0.0029030377
ANKRD65,0.038668044,0.06471228,0.058269966,0.039722685,0.055565026,0.006704845,0.009790315,0.080964975,0.18417136,0.025225503,0.03340714,0.00518172,0.06942249,0.022993792,0.0010439337,0.07989896,0.1586443,0.023216011,0.033433795,0.03334998,0.025799846,0.016657151,0.059857547,0.15376721,0.05885957,0.01397087
RP4-758J18.7,0.0005446203,0,0.0011278058,0,0,0.0016762113,0.0006993082,0,0.00070835144,0,0.0032520224,0.001036344,0,0,0.0010439337,0,0.0011604078,0.00037145618,0.00056667445,0.0005527621,0.0012093678,0,0,0,0,0
RP4-758J18.10,0.012526268,0.00024793978,0.04624004,0.047667228,0,0.030171802,0.01608409,0.0025978065,0.03293834,0.14784947,0.044050124,0,0.0013098584,0.011496896,0.008351469,0,0.033817597,0.0035288339,0.0069889855,0.014740323,0.0018140516,0.00056147703,0.0022802874,0.00078653306,0.0018626447,0.00018143986
VWA1,0.08005919,0.3654632,0.4187919,0.2542252,1.4446906,0.17767839,0.14265889,1.114459,0.42784426,0.6915992,0.3062814,0.040417414,0.06680278,0.54035413,0.10021764,1.3582824,0.4751041,0.098435886,0.09010124,0.28669927,0.058049653,0.103873245,0.09235164,0.20292553,0.92331296,0.10142489
ATAD3C,0.022329435,0.014132567,0.03007482,0.023833614,0.009260837,0.02681938,0.018182015,0.021215418,0.018771313,0.029429754,0.085735135,0.0072544077,0.060253486,0.09197517,0.012527205,0.037286185,0.06498283,0.016715528,0.03758941,0.04311544,0.0124968,0.02245908,0.037054673,0.037753586,0.044144683,0.016692467
ATAD3B,0.12253959,0.085291274,0.23608734,0.043694958,0.12039088,0.08213436,0.095105916,0.10261336,0.12148226,0.10230343,0.06178843,0.02072688,0.031436604,0.045987584,0.05010882,0.09055216,0.09366148,0.18535663,0.075745486,0.0982074,0.15741937,0.10780359,0.14479825,0.3032085,0.08270143,0.03628797
