,T.cell
EFCAB14,0.6471725
CYP4B1,0.0012072357
CYP4A11,0.0
CYP4X1,0.0002030864
CYP4Z1,0.0
CYP4A22-AS1,0.0003497599
CYP4A22,0.0
LINC00853,0.00041745536
PDZK1IP1,0.0032719532
TAL1,0.00062054174
AL135960.1,3.3847737e-05
STIL,0.054348044
CMPK1,0.85833645
LINC01389,0.0015457142
FOXE3,7.897804e-05
FOXD2-AS1,0.013516473
FOXD2,0.013144165
LINC01738,0.0
TRABD2B,0.00018052124
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,9.026062e-05
AL109659.2,5.6412893e-05
SPATA6,0.0147687895
AGBL4,0.00036104248
BEND5,0.012331863
AC099788.1,0.0
AL590432.1,0.0
ELAVL4,0.0014216049
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,1.1282579e-05
DMRTA2,0.0001466735
FAF1,0.33565778
AL049637.1,0.0003497599
CDKN2C,0.24231276
C1orf185,0.0
LINC01562,0.0014328876
RNF11,0.19118655
AL162430.2,0.00095901906
TTC39A,0.002380631
TTC39A-AS1,0.002008303
EPS15,0.8787508
AC104170.2,0.0060249288
AC104170.1,0.00450177
OSBPL9,0.2846045
NRDC,0.968483
AL050343.1,0.0072998693
AL050343.2,0.0012636486
RAB3B,0.0045581833
TXNDC12,0.59992266
KTI12,0.10490726
AL445685.1,7.897804e-05
TXNDC12-AS1,0.00021436896
BTF3L4,0.56381804
ZFYVE9,0.01801801
CC2D1B,0.15267685
AL513218.1,0.00031591216
ORC1,0.026829388
PRPF38A,0.6498478
TUT4,1.2296785
AL591167.1,0.000293347
GPX7,0.18775776
SHISAL2A,0.22449516
COA7,0.048423927
ZYG11B,0.13013995
ZYG11A,0.0011846706
AC099677.4,0.0
ECHDC2,0.3595462
SCP2,1.0473465
PODN,0.0022903688
AL445183.1,1.1282579e-05
SLC1A7,0.007785022
AL445183.2,0.0
CPT2,0.11664939
AL606760.2,0.0046145967
C1orf123,0.33425757
AL606760.3,0.017036468
MAGOH,1.0631061
AL606760.1,0.0024821747
LRP8,0.116435416
AL355483.4,0.0003497599
AL355483.2,0.0005415637
AL355483.3,1.1282579e-05
LINC01771,0.013493907
AC119428.1,0.0
AC119428.2,0.014633395
DMRTB1,0.0
GLIS1,0.0008461933
NDC1,0.057654493
