,Mast.cell
DHDDS,0.17541468
AL513365.2,0.0
HMGN2,4.2083488
RPS6KA1,0.3131233
AL512408.1,0.0016393913
ARID1A,0.6606737
PIGV,0.06065749
ZDHHC18,0.11475729
SFN,0.0016393913
AL034380.1,0.0
GPN2,0.118036084
GPATCH3,0.04590296
NUDC,1.2787234
NR0B2,0.0
KDF1,0.006557565
TRNP1,0.004918174
TENT5B,0.0016393913
SLC9A1,0.2557447
AL590640.1,0.0
WDTC1,0.12295424
TMEM222,0.15082385
SYTL1,0.09836342
MAP3K6,0.02131209
FCN3,0.0
CD164L2,0.0
GPR3,0.0
WASF2,1.2049507
FO393419.2,0.0
BX293535.1,0.0
AHDC1,0.0737726
FGR,0.11311794
LINC02574,0.0016393913
IFI6,4.3591557
AL445490.1,0.0
FAM76A,0.16885711
STX12,0.24262956
PPP1R8,0.15410264
THEMIS2,0.18033288
RPA2,0.57378596
SMPDL3B,0.004918174
AL512288.1,0.0
XKR8,0.013115132
EYA3,0.16885713
PTAFR,0.5885406
DNAJC8,1.4000378
ATP5IF1,2.239409
AL353622.1,0.013115132
AL353622.2,0.0
SESN2,0.039345395
MED18,0.059018094
PHACTR4,0.5049317
RCC1,0.07213321
TRNAU1AP,0.29836878
SNHG12,0.30164754
TAF12,0.4524713
RAB42,0.01311513
LINC01715,0.0032787826
AL360012.1,0.29509008
GMEB1,0.3557474
YTHDF2,0.79346406
OPRD1,0.0
AL009181.1,0.0016393913
EPB41,0.32623845
TMEM200B,0.0
AL357500.1,0.0
SRSF4,0.99510884
MECR,0.11147853
AL590729.1,0.0
PTPRU,0.0032787826
LINC01756,0.0
AC092265.1,0.0
AL645944.2,0.0
LINC01648,0.0
AL137076.1,0.0
MATN1,0.0
MATN1-AS1,0.024590872
LAPTM5,5.8641467
AL137027.1,0.0
LINC01778,0.0
AL445235.1,0.0
SDC3,0.08033015
PUM1,0.47214398
NKAIN1,0.0
SNRNP40,0.47378328
ZCCHC17,0.46886516
AL451070.1,0.0
FABP3,0.006557565
SERINC2,0.062296882
AC114488.1,0.0
TINAGL1,0.009836349
HCRTR1,0.0016393913
PEF1,0.58854055
AC114488.2,0.0
AC114488.3,0.006557565
COL16A1,0.006557565
ADGRB2,0.01147574
AL354919.2,0.0
