,Fibroblast
RHBDL2,0.07749597
AKIRIN1,0.479885
NDUFS5,3.908965
MACF1,1.6341152
AL442071.1,9.788694e-05
BMP8A,0.0022921928
PABPC4,0.7197834
AL365277.1,4.0786224e-05
HEYL,0.0697571
AL035404.2,3.262898e-05
NT5C1A,3.262898e-05
HPCAL4,0.0016722393
PPIE,0.31691396
BMP8B,0.011248903
OXCT2,0.008238856
AL033527.3,0.0002284028
AL033527.5,0.0006525794
AL033527.4,8.157245e-06
TRIT1,0.09523531
MYCL,0.007635201
AL033527.2,0.0011420163
MFSD2A,0.09417865
CAP1,1.2434624
PPT1,0.36982322
RLF,0.30224997
TMCO2,0.0002610318
AL050341.2,0.042472478
ZMPSTE24,0.37421232
COL9A2,0.0643722
SMAP2,0.21294677
AL031985.4,0.00012235866
ZFP69B,0.023655973
ZFP69,0.015776323
AL603839.3,0.0047148657
EXO5,0.03587406
AL603839.1,8.97297e-05
AL603839.2,0.00015498763
ZNF684,0.03655104
RIMS3,0.0061668716
AL031289.1,0.0
NFYC-AS1,0.011909699
NFYC,0.20188624
KCNQ4,0.002071946
CITED4,0.17263508
AC119677.1,2.4471736e-05
CTPS1,0.09467294
SLFNL1-AS1,0.0039154664
SLFNL1,0.0014601501
SCMH1,0.12688148
AC093151.3,0.0010359716
FOXO6,0.013092517
AC093151.2,0.0014846219
EDN2,0.0062402864
HIVEP3,0.19445074
AL445933.2,0.0
GUCA2B,0.0
GUCA2A,8.1572456e-05
FOXJ3,0.19271858
RIMKLA,0.011338663
ZMYND12,0.009258534
PPCS,0.64206314
CCDC30,0.0554819
PPIH,0.2169516
AC098484.2,0.0011175444
YBX1,6.2832417
CLDN19,0.00029366073
P3H1,0.87350005
C1orf50,0.041118596
AC098484.3,0.00027734626
AC098484.1,0.0001468304
TMEM269,0.00082388235
SVBP,0.2635965
ERMAP,0.061346017
AL512353.1,0.0038175809
ZNF691,0.038622722
SLC2A1,0.38125315
SLC2A1-AS1,0.010735024
AC099795.1,8.157245e-06
FAM183A,0.00543271
EBNA1BP2,0.5137595
CFAP57,0.008271488
TMEM125,0.012586747
C1orf210,0.0032792112
TIE1,0.0062729158
MPL,8.1572456e-05
AL139289.2,0.0024308665
CDC20,0.06918004
ELOVL1,0.3843343
MED8,0.58714676
AL139289.1,0.00039154766
SZT2,0.15156235
SZT2-AS1,0.0004894346
HYI,0.32821187
PTPRF,0.48596326
AL451062.3,0.0026918973
KDM4A,0.10962301
KDM4A-AS1,0.012986483
ST3GAL3,0.08265838
AL451062.1,0.00026918904
ARTN,0.014707674
AL357079.1,0.0016314528
IPO13,0.07666356
DPH2,0.0700081
ATP6V0B,1.7195295
B4GALT2,0.41309223
CCDC24,0.039177436
SLC6A9,0.04120033
AL139220.2,0.14098562
KLF17,0.008883289
DMAP1,0.26275638
ERI3,0.48830926
RNF220,0.1853211
TMEM53,0.05712924
ARMH1,0.0054408605
KIF2C,0.030899458
AL592166.1,0.0009625561
RPS8,30.949581
BEST4,0.0053674453
PLK3,0.45238313
TCTEX1D4,0.004021513
BTBD19,0.11105853
PTCH2,0.026045812
EIF2B3,0.18032953
HECTD3,0.09379156
UROD,0.41079387
ZSWIM5,0.005824258
LINC01144,0.0012317463
HPDL,0.006313703
MUTYH,0.047977984
TOE1,0.07623136
TESK2,0.030784598
CCDC163,0.012113632
MMACHC,0.028451867
PRDX1,3.6527507
AKR1A1,1.120072
NASP,0.8718952
CCDC17,0.0044375244
GPBP1L1,0.28610763
TMEM69,0.09569201
IPP,0.13973588
MAST2,0.09548819
PIK3R3,0.05601231
AL358075.4,0.0
AL358075.1,0.00038339043
AL358075.2,0.0005954787
TSPAN1,0.017929805
POMGNT1,0.24139524
LURAP1,0.025996827
RAD54L,0.00793702
LRRC41,0.48929617
UQCRH,3.0305004
NSUN4,0.09083906
FAAH,0.011232627
DMBX1,0.00075862405
AL136373.1,0.00013051591
MKNK1-AS1,0.00044864832
KNCN,3.262898e-05
MKNK1,0.15261452
MOB3C,0.07654115
ATPAF1,0.1915935
TEX38,0.0006281077
EFCAB14-AS1,0.00043233385
EFCAB14,0.4291765
CYP4B1,0.010775775
CYP4A11,0.00023656005
CYP4X1,0.009552191
CYP4Z1,0.00035076146
CYP4A22-AS1,0.0021290472
CYP4A22,5.7100715e-05
LINC00853,0.0038012676
PDZK1IP1,0.5078038
TAL1,0.004372273
AL135960.1,1.631449e-05
STIL,0.02112752
CMPK1,0.7645694
LINC01389,0.00021208831
FOXE3,0.00023656007
FOXD2-AS1,0.0011012298
FOXD2,0.0012970044
LINC01738,8.157245e-06
TRABD2B,0.013867461
AL691459.1,8.157245e-06
AC096541.1,1.631449e-05
AL356289.1,8.157245e-06
AL356289.2,2.4471736e-05
AL109659.1,1.631449e-05
SLC5A9,0.0001876166
AL109659.2,0.0017782841
SPATA6,0.19106328
AGBL4,0.002381923
BEND5,0.18403448
AC099788.1,4.894347e-05
AL590432.1,0.0
ELAVL4,3.262898e-05
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,8.157245e-06
DMRTA2,0.0002284028
FAF1,0.1742205
AL049637.1,0.00011420142
CDKN2C,0.152772
C1orf185,9.788694e-05
LINC01562,0.0012806901
RNF11,0.38707417
AL162430.2,0.0003426042
TTC39A,0.009699028
TTC39A-AS1,0.00082388235
EPS15,0.32741904
AC104170.2,0.0011175444
AC104170.1,0.0002039311
OSBPL9,0.47167087
NRDC,0.67598325
AL050343.1,0.0049677356
AL050343.2,0.00079941045
RAB3B,0.05686063
TXNDC12,0.6598105
KTI12,0.09008053
AL445685.1,0.00019577386
TXNDC12-AS1,0.00010604419
BTF3L4,0.7380742
ZFYVE9,0.13611437
CC2D1B,0.07054633
AL513218.1,0.0006525794
ORC1,0.0065502706
PRPF38A,0.32070658
TUT4,0.6094372
AL591167.1,0.00029366073
GPX7,0.59423494
SHISAL2A,0.0017293402
COA7,0.104476675
ZYG11B,0.31060115
ZYG11A,0.0010767579
AC099677.4,0.0
ECHDC2,0.4152383
SCP2,1.4610517
PODN,0.62013716
AL445183.1,0.00071783765
SLC1A7,0.003230268
AL445183.2,0.0032302672
CPT2,0.120674975
AL606760.2,0.002381923
C1orf123,0.5635584
AL606760.3,0.002846883
MAGOH,0.6178305
AL606760.1,0.006158715
LRP8,0.019365579
AL355483.4,8.157245e-06
AL355483.2,8.157245e-06
AL355483.3,0.0
LINC01771,0.0001876166
AC119428.1,0.0
AC119428.2,8.1572456e-05
DMRTB1,0.0
GLIS1,0.022522258
NDC1,0.05020482
YIPF1,0.14014354
DIO1,0.00015498765
HSPB11,0.52684957
LRRC42,0.24847563
LDLRAD1,0.0019332705
TMEM59,3.1628819
TCEANC2,0.05793682
AL357673.1,0.00025287457
CDCP2,3.262898e-05
AL357673.2,0.00016314487
