,Cancer.cell.3
LDLRAD1,0.08571057
TMEM59,3.2938752
TCEANC2,0.084469795
AL357673.1,0.00079406763
CDCP2,0.00014888766
AL357673.2,0.002183686
CYB5RL,0.055137776
MRPL37,0.5561829
SSBP3,0.69035274
SSBP3-AS1,0.001687393
AL161644.1,0.0
AL035415.1,0.0
AC099796.1,0.00019851686
ACOT11,0.21013495
FAM151A,0.00029777532
MROH7,0.015633203
MROH7-TTC4,0.00039703373
TTC4,0.08700097
PARS2,0.062086124
TTC22,0.10551321
AC096536.2,4.9629216e-05
LEXM,0.003077013
DHCR24,1.1743488
AC096536.3,0.0006451799
AC096536.1,0.010620637
TMEM61,0.033053156
AL590440.1,4.9629216e-05
BSND,0.002183686
PCSK9,0.001836281
USP24,0.188943
MIR4422HG,4.9629216e-05
AL603840.1,0.00014888766
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.0065014213
AC119674.2,0.00878436
LINC01767,0.0028288662
PLPP3,0.22720547
PRKAA2,0.12084882
FYB2,0.04268114
AL360295.1,0.0
C8A,0.0009429553
C8B,0.00014888766
AL161740.1,9.925843e-05
DAB1,0.0024318323
AL390243.1,0.0
DAB1-AS1,0.0
AL445193.2,0.0
OMA1,0.18149842
TACSTD2,2.5710917
MYSM1,0.2686507
AL136985.3,0.0017866516
JUN,9.957484
LINC01135,0.0014392473
AL136985.2,0.0009429553
AL136985.1,0.0002481461
AC105277.1,0.009379909
LINC01358,0.010124346
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0016377639
FGGY,0.15807214
AL035416.1,0.0
HOOK1,0.3637931
CYP2J2,0.07573475
C1orf87,0.0011911013
AC097066.1,0.0
LINC01748,0.011861367
AC099792.1,4.9629216e-05
NFIA,0.9497018
NFIA-AS2,9.925843e-05
