,Dendritic.cell
KIF2C,0.006877652
AL592166.1,0.01243268
RPS8,49.88079
BEST4,0.0021162003
PLK3,0.1481343
TCTEX1D4,0.00026452506
BTBD19,0.044704754
PTCH2,0.0915256
EIF2B3,0.20870954
HECTD3,0.09258366
UROD,0.25473624
ZSWIM5,0.0
LINC01144,0.0018516753
HPDL,0.0013226253
MUTYH,0.07353779
TOE1,0.1073972
TESK2,0.03518187
CCDC163,0.017723186
MMACHC,0.019310338
PRDX1,1.5022368
AKR1A1,1.1165445
NASP,1.0430075
CCDC17,0.008729325
GPBP1L1,0.5655479
TMEM69,0.12908839
IPP,0.05290497
MAST2,0.0063486015
PIK3R3,0.036239967
AL358075.4,0.0
AL358075.1,0.0
AL358075.2,0.00026452506
TSPAN1,0.07168615
POMGNT1,0.2674332
LURAP1,0.0015871504
RAD54L,0.0013226253
LRRC41,0.2814528
UQCRH,2.1979682
NSUN4,0.1917805
FAAH,0.20500661
DMBX1,0.0
AL136373.1,0.0
MKNK1-AS1,0.0010581003
KNCN,0.0
MKNK1,0.21585171
MOB3C,0.06322137
ATPAF1,0.099196844
TEX38,0.0015871504
EFCAB14-AS1,0.0013226253
EFCAB14,0.80917126
CYP4B1,0.00026452506
CYP4A11,0.0
CYP4X1,0.0
CYP4Z1,0.0
CYP4A22-AS1,0.0005290501
CYP4A22,0.0
LINC00853,0.0
PDZK1IP1,0.00026452506
TAL1,0.0013226253
AL135960.1,0.0
STIL,0.028833255
CMPK1,0.9424898
LINC01389,0.00026452506
FOXE3,0.0
FOXD2-AS1,0.00079357525
FOXD2,0.0018516753
LINC01738,0.0
TRABD2B,0.0
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,0.0013226253
AL109659.2,0.00079357525
SPATA6,0.055550214
AGBL4,0.008200276
BEND5,0.096287094
AC099788.1,0.00026452506
AL590432.1,0.0
ELAVL4,0.0055550267
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.0005290501
FAF1,0.18358025
AL049637.1,0.00026452506
CDKN2C,0.12221064
C1orf185,0.0
LINC01562,0.0026452506
RNF11,0.637234
AL162430.2,0.0023807255
TTC39A,0.37033245
TTC39A-AS1,0.06877638
EPS15,0.5875035
AC104170.2,0.00079357525
AC104170.1,0.0
OSBPL9,0.4401653
NRDC,1.4728732
AL050343.1,0.005819551
