,Plasma.cell
NR0B2,8.657129e-05
KDF1,0.0019045675
TRNP1,0.00075028423
TENT5B,0.00023085675
SLC9A1,0.018584065
AL590640.1,0.0
WDTC1,0.05407763
TMEM222,0.05886777
SYTL1,0.31600082
MAP3K6,0.014861454
FCN3,0.000115428375
CD164L2,0.00043285635
GPR3,0.00014428547
WASF2,0.4183229
FO393419.2,0.00020199966
BX293535.1,0.00043285635
AHDC1,0.017631773
FGR,0.020055762
LINC02574,0.0014428542
IFI6,2.6107929
AL445490.1,0.00017314257
FAM76A,0.04608469
STX12,0.118166134
PPP1R8,0.058838878
THEMIS2,0.23609959
RPA2,0.16877942
SMPDL3B,0.17319466
AL512288.1,0.000115428375
XKR8,0.039419036
EYA3,0.05984883
PTAFR,0.03180072
DNAJC8,0.45075634
ATP5IF1,1.1594241
AL353622.1,0.03445567
AL353622.2,0.0007214272
SESN2,0.034138188
MED18,0.029088188
PHACTR4,0.1540051
RCC1,0.027789542
TRNAU1AP,0.11432872
SNHG12,0.09606282
TAF12,0.167048
RAB42,0.006637131
LINC01715,0.0047614295
AL360012.1,0.14875485
GMEB1,0.06192654
YTHDF2,0.2642629
OPRD1,0.00028857094
AL009181.1,0.00060599885
EPB41,0.21439993
TMEM200B,0.0005482847
AL357500.1,2.8857094e-05
SRSF4,0.4456791
MECR,0.032522216
AL590729.1,2.8857094e-05
PTPRU,0.0017602821
LINC01756,0.0
AC092265.1,2.8857094e-05
AL645944.2,0.0
LINC01648,0.0
AL137076.1,0.0
MATN1,0.0014717113
MATN1-AS1,0.012033426
LAPTM5,0.6652974
AL137027.1,2.8857094e-05
LINC01778,0.0
AL445235.1,0.0
SDC3,0.019651758
PUM1,0.20135687
NKAIN1,5.7714187e-05
SNRNP40,0.106162794
ZCCHC17,0.1506868
AL451070.1,8.657129e-05
FABP3,0.0019622815
SERINC2,0.0049922853
AC114488.1,0.0
TINAGL1,0.0025105667
HCRTR1,0.0
PEF1,0.088848986
AC114488.2,0.00014428547
AC114488.3,8.657129e-05
COL16A1,0.0016737109
ADGRB2,0.0014428542
AL354919.2,5.7714187e-05
SPOCD1,5.7714187e-05
AL354919.1,0.000115428375
AL136115.2,0.0019334246
PTP4A2,0.7923528
AL136115.1,0.00023085675
AL136115.3,0.0
KHDRBS1,0.364941
AL445248.1,0.0019334246
TMEM39B,0.038437944
KPNA6,0.1384518
TXLNA,0.17590687
CCDC28B,0.014774869
AL049795.1,0.0012408546
IQCC,0.0035494268
DCDC2B,0.00031742803
TMEM234,0.02348984
EIF3I,0.42181605
FAM167B,0.0017602821
LCK,0.10968466
HDAC1,0.13305631
MARCKSL1,0.14814858
AL109945.1,0.0
TSSK3,0.0009522838
FAM229A,0.008195405
BSDC1,0.1373839
AL033529.1,0.0
ZBTB8B,0.0009811409
ZBTB8A,0.020604083
ZBTB8OS,0.45026544
RBBP4,0.39766255
SYNC,0.0827315
AC114489.1,0.000115428375
KIAA1522,0.007156558
YARS,0.15377471
S100PBP,0.118945494
FNDC5,0.0008657125
HPCA,0.00017314257
TMEM54,0.004011141
RNF19B,0.021844944
AL020995.1,0.0003751422
AK2,0.13167104
AZIN2,0.002943425
TRIM62,0.0060888487
AL662907.3,0.00075028423
ZNF362,0.017487489
AL513327.3,0.00023085675
A3GALT2,0.0
AL513327.1,0.0004905705
PHC2,0.039101657
AL513327.2,5.7714187e-05
ZSCAN20,0.0030011395
CSMD2,0.00031742803
HMGB4,0.0
CSMD2-AS1,0.0
C1orf94,0.0
SMIM12,0.10962511
GJB5,2.8857094e-05
GJB4,0.0
AL121988.1,0.0
GJB3,0.0005482847
GJA4,0.0006637131
AL122010.1,0.0
DLGAP3,0.0034051405
AC114490.3,0.0055982815
AC114490.2,0.0024528524
TMEM35B,0.00034628515
ZMYM6,0.042535465
ZMYM1,0.021816108
AL590434.1,0.00020199966
SFPQ,0.6760913
ZMYM4,0.08628076
ZMYM4-AS1,0.00017314257
KIAA0319L,0.11906072
NCDN,0.020257793
AC004865.2,0.02043094
TFAP2E,0.0030299968
PSMB2,0.5696754
C1orf216,0.013938021
CLSPN,0.07061288
AL354864.1,2.8857094e-05
AGO4,0.026346717
AGO1,0.0503842
AL139286.2,0.0005482847
AGO3,0.12136952
AL138787.2,0.0005194276
TEKT2,0.00023085675
ADPRHL2,0.05580912
COL8A2,0.0033762825
TRAPPC3,0.32249355
MAP7D1,0.122119844
THRAP3,0.5623437
SH3D21,0.013389728
EVA1B,0.08610746
AL591845.1,0.001356283
STK40,0.07938426
LSM10,0.41344538
