,Endothelial.cell
AL590640.1,0.0
WDTC1,0.17333348
TMEM222,0.28561905
SYTL1,0.01355386
MAP3K6,0.2773088
FCN3,0.7817696
CD164L2,0.000692533
GPR3,0.02710772
WASF2,2.7392235
FO393419.2,0.0
BX293535.1,9.893328e-05
AHDC1,0.30332682
FGR,0.0802357
LINC02574,0.0046498645
IFI6,3.2382689
AL445490.1,0.00029679984
FAM76A,0.16215383
STX12,0.8444022
PPP1R8,0.21389684
THEMIS2,0.06440604
RPA2,0.3458642
SMPDL3B,0.02047919
AL512288.1,0.0
XKR8,0.08864521
EYA3,0.22240518
PTAFR,0.11990819
DNAJC8,1.5507208
ATP5IF1,1.9647512
AL353622.1,0.02107279
AL353622.2,9.893328e-05
SESN2,0.092800446
MED18,0.066879526
PHACTR4,1.1171306
RCC1,0.14919338
TRNAU1AP,0.331916
SNHG12,0.1823365
TAF12,0.32083628
RAB42,0.009893329
LINC01715,0.0032647983
AL360012.1,0.032944847
GMEB1,0.18767908
YTHDF2,0.9269108
OPRD1,0.0005935997
AL009181.1,0.00019786655
EPB41,0.13385835
TMEM200B,0.005837064
AL357500.1,9.893328e-05
SRSF4,1.5271703
MECR,0.1707612
AL590729.1,0.0
PTPRU,0.020281322
LINC01756,0.0
AC092265.1,0.0
AL645944.2,0.000692533
LINC01648,0.0014839992
AL137076.1,0.0
MATN1,0.0009893328
MATN1-AS1,0.009497595
LAPTM5,0.84073395
AL137027.1,0.00019786655
LINC01778,0.0012861326
AL445235.1,0.0
SDC3,0.2744407
PUM1,1.1079319
NKAIN1,0.00029679984
SNRNP40,0.43222675
ZCCHC17,0.53353894
AL451070.1,0.0003957331
FABP3,0.004550931
SERINC2,0.14830281
AC114488.1,0.0
TINAGL1,1.4061965
HCRTR1,0.00019786655
PEF1,0.6256489
AC114488.2,0.0008903995
AC114488.3,0.0014839992
COL16A1,0.022655722
ADGRB2,0.0028690654
AL354919.2,0.0
SPOCD1,0.003957331
AL354919.1,0.0003957331
AL136115.2,0.0043530646
PTP4A2,1.3877912
AL136115.1,0.000692533
AL136115.3,9.893328e-05
KHDRBS1,1.5817779
AL445248.1,0.008903996
TMEM39B,0.26167902
KPNA6,0.5684632
TXLNA,0.55955833
CCDC28B,0.26425117
AL049795.1,0.0054413304
IQCC,0.0141474595
DCDC2B,0.0011871994
TMEM234,0.112686396
EIF3I,1.6042311
FAM167B,2.7225125
LCK,0.03155976
HDAC1,0.96212316
MARCKSL1,6.1900225
AL109945.1,0.0
TSSK3,0.0051445304
FAM229A,0.057579637
BSDC1,0.4568595
AL033529.1,0.0
ZBTB8B,0.001780799
ZBTB8A,0.19796824
ZBTB8OS,0.4460761
RBBP4,0.8569681
SYNC,0.23942077
AC114489.1,0.0007914662
KIAA1522,0.14117959
YARS,0.27671567
S100PBP,0.24308097
FNDC5,0.005540264
HPCA,0.0015829324
TMEM54,0.12069983
RNF19B,0.10872885
AL020995.1,0.000692533
AK2,0.5783562
AZIN2,0.023150388
TRIM62,0.022161055
AL662907.3,0.0016818658
ZNF362,0.20756496
AL513327.3,0.0018797325
A3GALT2,0.0
AL513327.1,0.0011871994
PHC2,0.7041059
AL513327.2,9.893328e-05
ZSCAN20,0.02225999
CSMD2,0.025821587
HMGB4,0.0
CSMD2-AS1,0.0
C1orf94,0.0
SMIM12,0.53215235
GJB5,9.893328e-05
GJB4,0.0
AL121988.1,0.0
GJB3,0.0019786656
GJA4,1.5889524
AL122010.1,9.893328e-05
DLGAP3,0.005935997
AC114490.3,0.044817038
AC114490.2,0.0038583982
TMEM35B,0.0021765323
ZMYM6,0.100814186
ZMYM1,0.1485008
AL590434.1,0.00029679984
SFPQ,2.8288684
ZMYM4,0.4659621
ZMYM4-AS1,0.0005935997
KIAA0319L,0.4354908
NCDN,0.09487811
AC004865.2,0.0028690654
TFAP2E,0.001385066
PSMB2,1.2911536
C1orf216,0.108036414
CLSPN,0.08775423
AL354864.1,9.893328e-05
AGO4,0.2146883
AGO1,0.26266828
AL139286.2,0.0007914662
AGO3,0.5649992
AL138787.2,0.0
TEKT2,0.0028690654
ADPRHL2,0.20825757
COL8A2,0.008013597
TRAPPC3,0.5968583
MAP7D1,0.6062569
THRAP3,1.6069167
SH3D21,0.011773061
EVA1B,1.653604
AL591845.1,0.011674128
STK40,0.17293775
LSM10,0.41313535
OSCP1,0.03264804
MRPS15,0.7226085
CSF3R,0.005837064
AL596257.1,9.893328e-05
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.002077599
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.040562846
ZC3H12A,0.05540304
MEAF6,0.56648517
SNIP1,0.18471104
DNALI1,0.05955832
GNL2,0.2771112
RSPO1,0.0036605317
C1orf109,0.1195129
CDCA8,0.032054417
EPHA10,9.893328e-05
MANEAL,0.012762394
AL929472.3,0.0
YRDC,0.32598108
C1orf122,0.90138704
MTF1,0.1563167
AL929472.2,0.0014839992
INPP5B,0.10477158
SF3A3,0.51414615
FHL3,0.48377544
UTP11,0.53868407
POU3F1,0.004254131
AL139158.2,9.893328e-05
AL139158.3,0.0
LINC01685,0.0
AL354702.2,0.00019786655
RRAGC,0.2281434
AL139260.1,0.00751893
MYCBP,0.16561659
AL139260.3,0.000692533
GJA9,9.893328e-05
RHBDL2,0.024238655
