,Myeloid.cell
C1orf94,0.0
SMIM12,0.41039014
GJB5,2.796473e-05
GJB4,3.7286307e-05
AL121988.1,0.0
GJB3,0.00026100405
GJA4,0.0004194711
AL122010.1,2.3303943e-05
DLGAP3,0.02133168
AC114490.3,0.019206438
AC114490.2,0.0064410954
TMEM35B,0.0017850853
ZMYM6,0.15242042
ZMYM1,0.094092704
AL590434.1,0.0002143962
SFPQ,2.1672635
ZMYM4,0.33099005
ZMYM4-AS1,0.00037752406
KIAA0319L,0.301249
NCDN,0.037228912
AC004865.2,0.032246742
TFAP2E,0.008296009
PSMB2,1.2338431
C1orf216,0.06665584
CLSPN,0.19785018
AL354864.1,7.457261e-05
AGO4,0.3125538
AGO1,0.32862535
AL139286.2,0.0011046086
AGO3,0.4037036
AL138787.2,0.00018643144
TEKT2,0.0003402376
ADPRHL2,0.37678212
COL8A2,0.14361463
TRAPPC3,0.5872392
MAP7D1,0.5571073
THRAP3,1.3850188
SH3D21,0.048866455
EVA1B,0.45839164
AL591845.1,0.01699269
STK40,0.2927203
LSM10,0.6700008
OSCP1,0.011222855
MRPS15,0.6393841
CSF3R,1.0195525
AL596257.1,2.796473e-05
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.00015846673
AL031430.1,0.0
AL353604.1,4.6607884e-06
LINC01137,0.0372056
ZC3H12A,0.1252149
MEAF6,0.51477945
SNIP1,0.14853854
DNALI1,0.002274469
GNL2,0.31699613
RSPO1,0.0004847224
C1orf109,0.05970225
CDCA8,0.05793165
EPHA10,0.00013982359
MANEAL,0.01231344
AL929472.3,3.262552e-05
YRDC,0.15227604
C1orf122,0.64999986
MTF1,0.25085738
AL929472.2,0.0015846709
INPP5B,0.11058182
SF3A3,0.45909786
FHL3,0.30395305
UTP11,0.30916458
POU3F1,0.0061381813
AL139158.2,3.7286307e-05
AL139158.3,0.0
LINC01685,4.1947096e-05
AL354702.2,0.0
RRAGC,0.4941306
AL139260.1,0.01661515
MYCBP,0.15809768
AL139260.3,0.00054997357
GJA9,1.3982365e-05
RHBDL2,0.0014495074
AKIRIN1,0.4930178
NDUFS5,2.1842647
MACF1,1.7196373
AL442071.1,7.923338e-05
BMP8A,0.000111858884
PABPC4,1.4020083
AL365277.1,0.00014914515
HEYL,0.0014774726
AL035404.2,4.6607884e-06
NT5C1A,4.6607884e-06
HPCAL4,0.0002889689
PPIE,0.2908903
BMP8B,0.0054064486
OXCT2,0.009041735
AL033527.3,0.0007224232
AL033527.5,0.0032066288
AL033527.4,0.0003029513
TRIT1,0.08250649
MYCL,0.07835396
AL033527.2,0.00037752406
MFSD2A,0.07902508
CAP1,3.742706
PPT1,2.8220632
RLF,0.39317235
TMCO2,0.0006385288
AL050341.2,0.019378874
ZMPSTE24,0.31783468
COL9A2,0.031999752
SMAP2,1.7798388
AL031985.4,0.00012584124
ZFP69B,0.015519912
ZFP69,0.020930847
AL603839.3,0.0031600208
EXO5,0.039866794
AL603839.1,1.8643153e-05
AL603839.2,0.0001071981
ZNF684,0.046377633
RIMS3,0.024612723
AL031289.1,0.0
NFYC-AS1,0.018339565
NFYC,0.36312965
KCNQ4,0.0005313304
CITED4,0.053881228
AC119677.1,0.0
CTPS1,0.09710819
SLFNL1-AS1,0.0033744175
SLFNL1,0.0005825992
SCMH1,0.037853427
AC093151.3,0.0006245464
FOXO6,0.00064318953
AC093151.2,7.923338e-05
EDN2,0.00023770014
HIVEP3,0.32939348
AL445933.2,4.6607884e-06
GUCA2B,5.1268675e-05
GUCA2A,2.796473e-05
FOXJ3,0.18145034
RIMKLA,0.0056581236
ZMYND12,0.009792055
PPCS,0.79062897
CCDC30,0.036245555
PPIH,0.25117585
AC098484.2,0.0008669079
YBX1,9.95149
CLDN19,0.00034023766
P3H1,0.11778778
C1orf50,0.045063347
AC098484.3,0.00029829048
AC098484.1,9.321575e-05
TMEM269,0.00092283747
SVBP,0.5196743
ERMAP,0.10737068
AL512353.1,0.01387473
ZNF691,0.052720673
SLC2A1,0.2832623
SLC2A1-AS1,0.0040735207
AC099795.1,0.0
FAM183A,0.00029362962
EBNA1BP2,0.34078345
CFAP57,0.0005732775
TMEM125,0.0015287412
C1orf210,0.00070844055
TIE1,0.002246504
MPL,4.6607884e-06
AL139289.2,0.0044510276
CDC20,0.12766725
ELOVL1,0.48333067
MED8,0.40665698
AL139289.1,0.000633868
SZT2,0.13611194
SZT2-AS1,6.525103e-05
HYI,0.10358163
PTPRF,0.013776944
AL451062.3,0.001235111
KDM4A,0.0797008
KDM4A-AS1,0.005858522
ST3GAL3,0.046890303
AL451062.1,8.389417e-05
ARTN,0.0011418951
AL357079.1,0.0020321077
IPO13,0.08238064
DPH2,0.07026313
ATP6V0B,4.737539
B4GALT2,0.034605037
CCDC24,0.019998731
SLC6A9,0.00058259914
AL139220.2,0.0027265665
KLF17,0.00014448438
DMAP1,0.19507621
ERI3,0.2157633
RNF220,0.23916645
TMEM53,0.053144805
ARMH1,0.081061736
KIF2C,0.070878856
AL592166.1,0.0010346967
RPS8,17.941643
BEST4,0.0011092693
PLK3,0.62420666
TCTEX1D4,0.005010297
BTBD19,0.07475593
PTCH2,0.0902431
EIF2B3,0.16815189
HECTD3,0.10980352
UROD,0.27299517
ZSWIM5,0.00034489846
LINC01144,0.0008156391
HPDL,0.0025075087
MUTYH,0.059352692
TOE1,0.08459909
TESK2,0.074434444
CCDC163,0.0059610577
MMACHC,0.017146457
PRDX1,7.4153867
AKR1A1,1.9237676
NASP,1.1857206
CCDC17,0.0106775705
GPBP1L1,0.4569845
TMEM69,0.14572385
IPP,0.022002792
MAST2,0.072085425
PIK3R3,0.032908566
AL358075.4,0.0
AL358075.1,0.00048938324
AL358075.2,0.00049404404
TSPAN1,0.0013190049
POMGNT1,0.11710198
LURAP1,0.018703088
RAD54L,0.018018087
LRRC41,0.2765385
UQCRH,2.7332253
NSUN4,0.1481078
FAAH,0.013147679
DMBX1,0.0006292072
AL136373.1,4.1947096e-05
MKNK1-AS1,0.0009508023
KNCN,4.1947096e-05
MKNK1,0.5788195
MOB3C,0.11474839
ATPAF1,0.17398311
TEX38,0.00039150644
EFCAB14-AS1,0.00034489846
EFCAB14,0.71383524
CYP4B1,0.001398238
CYP4A11,9.321577e-06
CYP4X1,0.0006431895
CYP4Z1,5.1268675e-05
CYP4A22-AS1,0.0005825992
CYP4A22,4.6607884e-06
LINC00853,0.0014961158
PDZK1IP1,0.0045023155
TAL1,0.00078301335
AL135960.1,1.3982365e-05
STIL,0.043534823
CMPK1,0.74150395
LINC01389,0.0002889689
FOXE3,2.796473e-05
FOXD2-AS1,0.008309993
FOXD2,0.0044743298
LINC01738,0.0
TRABD2B,3.7286307e-05
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,0.0023490419
AL109659.2,0.0010813046
SPATA6,0.12243466
AGBL4,0.00037286326
BEND5,0.013301533
AC099788.1,0.0
AL590432.1,4.6607884e-06
ELAVL4,0.03337467
AL592182.2,1.8643153e-05
AL592182.1,0.0
AL596275.2,2.796473e-05
DMRTA2,8.855496e-05
FAF1,0.20842713
AL049637.1,0.00010253731
CDKN2C,0.1548257
C1orf185,4.6607884e-06
LINC01562,0.00033557686
RNF11,0.2699577
AL162430.2,0.00031693367
TTC39A,0.003369757
TTC39A-AS1,0.001118591
EPS15,0.68590796
AC104170.2,0.00096012384
AC104170.1,0.00031227287
OSBPL9,0.32282865
NRDC,0.7763536
AL050343.1,0.005639475
AL050343.2,0.000955463
RAB3B,0.0034909376
TXNDC12,0.81240636
KTI12,0.060182285
AL445685.1,6.059025e-05
TXNDC12-AS1,1.8643153e-05
BTF3L4,0.9418081
ZFYVE9,0.0042179977
CC2D1B,0.11598346
AL513218.1,6.991182e-05
ORC1,0.022701925
PRPF38A,0.366784
TUT4,0.5011496
AL591167.1,5.592946e-05
GPX7,0.06542082
SHISAL2A,0.054286696
COA7,0.10281732
ZYG11B,0.35570237
ZYG11A,0.00022837851
AC099677.4,9.321577e-06
ECHDC2,0.14246875
SCP2,1.3411375
PODN,0.0006618327
AL445183.1,0.0
SLC1A7,0.00041481043
AL445183.2,1.8643153e-05
CPT2,0.2207644
AL606760.2,0.0019109268
C1orf123,0.34134886
AL606760.3,0.0015986534
MAGOH,0.71532893
AL606760.1,0.0034256866
LRP8,0.044429593
AL355483.4,3.262552e-05
AL355483.2,9.321575e-05
AL355483.3,0.0
LINC01771,0.0011325735
AC119428.1,4.6607884e-06
AC119428.2,0.016792268
DMRTB1,0.0
GLIS1,0.00014448438
NDC1,0.0915901
YIPF1,0.22117513
DIO1,0.0022185396
HSPB11,0.5306616
LRRC42,0.08703656
LDLRAD1,0.00034955927
TMEM59,2.3178947
TCEANC2,0.09888378
AL357673.1,0.0005779384
CDCP2,4.1947096e-05
AL357673.2,3.262552e-05
CYB5RL,0.032521725
MRPL37,0.28458244
SSBP3,0.20183448
SSBP3-AS1,0.00031693367
AL161644.1,3.7286307e-05
AL035415.1,0.0
AC099796.1,3.7286307e-05
ACOT11,0.13012055
FAM151A,0.0002889689
MROH7,0.008948494
MROH7-TTC4,0.00013982359
TTC4,0.058620982
PARS2,0.013180299
TTC22,0.0022138788
AC096536.2,0.0
LEXM,7.923338e-05
DHCR24,0.03740612
AC096536.3,1.3982365e-05
AC096536.1,0.0002796473
TMEM61,0.00022371774
AL590440.1,0.0
BSND,3.262552e-05
PCSK9,2.3303943e-05
USP24,0.24583535
MIR4422HG,0.0004427752
AL603840.1,2.3303943e-05
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.00089487253
AC119674.2,0.002852408
LINC01767,0.0
PLPP3,0.10207671
PRKAA2,0.0009880884
FYB2,0.00020041382
AL360295.1,0.0
C8A,4.6607884e-06
C8B,4.1947096e-05
AL161740.1,0.0
DAB1,0.0006152247
AL390243.1,0.0
DAB1-AS1,2.3303943e-05
AL445193.2,0.0
OMA1,0.14643241
TACSTD2,0.13435505
MYSM1,0.27494255
AL136985.3,0.0020134642
JUN,5.5501847
