P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
PRKCZ,0.18077144,0.11916845,0.12295535,0.10105061,0.1529245,0.10252511,0.0749359,0.04573875,0.18347149,0.051045008,0.16755481,0.06700083,0.14303918,0.116583295,0.121642016,0.0999429,0.09077786,0.026962528,0.16076855,0.080169685
RP5-892K4.1,0.0074289637,0.0098104775,0.0074163545,0.0063365065,0.009503782,0.009094969,0.012489317,0.02744325,0.039315317,0.0030803022,0.015610697,0.012117172,0.0040795486,0.0055671795,0.0059131538,0.0068854187,0.026224714,0.007437939,0.0046806037,0.0062232176
RP11-181G12.2,0.0049526426,0.0011541739,0.0015613378,0.0013340013,0.0034559206,0.0011024205,0,0,0.0043683685,0.0008800864,0.0020814263,0.0014255495,0.0017848026,0.0013099246,0.0008447362,0.0014605434,0.0060518575,0.002789227,0.001628036,0.00073214323
C1orf86,0.69832253,0.82783115,0.7463195,0.9574795,1.0592396,0.98914677,0.7098095,0.73182,0.6465186,1.1269506,0.78261626,0.9487032,0.68612915,0.79250443,0.84262437,0.9852408,0.6112376,0.75588053,0.65976167,0.75410753
AL590822.2,0.004127202,0.002596891,0.0046840133,0.0020010022,0.004607894,0.0030316561,0,0,0.008736737,0.0013201296,0.0041628527,0.0021383243,0.0030596615,0.006222142,0.003801313,0.003755683,0.0040345713,0.00092974235,0.002442054,0.0021964295
AL590822.1,0.005778083,0.009233391,0.0066356855,0.0036685038,0.012383715,0.0055121025,0.0104077635,0.02744325,0.056788795,0.0030803022,0.007284992,0.0042766486,0.0045894925,0.002292368,0.005068417,0.0025037886,0.020172857,0.002789227,0.0036630812,0.0047589308
RP11-181G12.4,0.0008254404,0.0008656304,0,0,0.0031679273,0,0.0020815528,0,0,0.0004400432,0,0,0.0005099436,0,0,0.00020864906,0,0,0.0002035045,0
SKI,0.36484468,0.14773425,0.14403342,0.11405712,0.24450639,0.13862938,0.17485043,0.22869375,0.38004807,0.076567516,0.37986028,0.09622459,0.20168269,0.105776414,0.2517314,0.09117964,0.33486944,0.17944026,0.20513254,0.0940804
MORN1,0.021461451,0.028854348,0.015613377,0.017342018,0.02303947,0.018189939,0.0062446585,0.00914775,0.039315317,0.0101209935,0.018732836,0.01496827,0.026517065,0.024561087,0.029988136,0.023994641,0.014121,0.009297423,0.030932685,0.020133939
RER1,0.85928345,1.2352546,1.2904457,1.4040364,1.1879728,1.3289679,0.79307157,0.90562725,0.82125336,1.4596233,1.0781788,1.1375885,1.1685357,1.293223,0.9330112,1.2203883,0.875502,1.0431709,1.0134525,1.2717328
PEX10,0.15931,0.1760115,0.15262076,0.14840765,0.1560924,0.16756791,0.0707728,0.08232975,0.109209225,0.173377,0.09886775,0.098362915,0.14303918,0.14212681,0.129667,0.1683798,0.074639566,0.103201404,0.1082644,0.12336613
PLCH2,0.28890413,0.08050362,0.1631598,0.046356548,0.15839636,0.04960892,0.029141739,0.04573875,0.30141744,0.011441123,0.33510962,0.02708544,0.17924517,0.056326758,0.12333148,0.030045465,0.14524457,0.01208665,0.14387769,0.037339304
PANK4,0.074289635,0.047032587,0.058159832,0.04568955,0.07718223,0.058703892,0.04579416,0.15551175,0.0698939,0.028162764,0.11343773,0.053458106,0.06093826,0.06484127,0.07433678,0.06259472,0.054466713,0.063222475,0.038462352,0.060401816
HES5,0.014857927,0.002596891,0.0019516721,0.0023345025,0.0017279603,0,0,0,0.013105107,0.0008800864,0.061402075,0.00071277475,0.0066292663,0.003929774,0.0016894724,0.0020864906,0.018155571,0.002789227,0.0026455587,0.0021964295
RP3-395M20.12,0.048700985,0.03000852,0.029665418,0.02968153,0.038591117,0.06972809,0.10407764,0.13721626,0.021841845,0.17469715,0.017692123,0.09693737,0.02269249,0.06222142,0.02449735,0.050910372,0.08270871,0.3384262,0.019129425,0.077973254
TNFRSF14,0.15683368,0.22679517,0.14520441,0.16675018,0.23701856,0.35249895,0.46418628,0.5580127,0.17910312,0.57909685,0.17171766,0.740573,0.27587947,0.37103614,0.19893537,0.36743098,0.409509,0.7530913,0.18824166,0.61133957
FAM213B,0.085845806,0.09781624,0.090947926,0.106053114,0.10914949,0.11823459,0.09783298,0.0914775,0.0698939,0.13025278,0.05411708,0.072703026,0.08363075,0.08088785,0.07898284,0.10202939,0.102881566,0.1450398,0.052911174,0.09737505
MMEL1,0,0.0014427174,0.0007806689,0.0016675016,0.0011519735,0.002204841,0,0.00914775,0,0.007040691,0,0.007840523,0.0005099436,0.0016374058,0.0004223681,0.007302717,0.0040345713,0.007437939,0.0071226577,0.012446435
TTC34,0,0.0017312608,0.0011710033,0.0013340013,0.0031679273,0.004134077,0.0041631055,0.0182955,0,0.0004400432,0,0.0021383243,0,0.001964887,0,0.0016691925,0.0020172857,0,0.000407009,0.00036607162
ARHGEF16,0.07263876,0.18264802,0.047620803,0.0970486,0.124701135,0.09866663,0.0041631055,0.00914775,0.096104115,0.012321209,0.067646354,0.045617584,0.047424756,0.044209957,0.06715653,0.07135797,0.008069143,0.005578454,0.03968338,0.0787054
RP11-168F9.2,0,0.0014427174,0.0011710033,0.00066700066,0.00028799337,0.0008268154,0,0,0,0,0,0,0,0,0.0004223681,0.00020864906,0,0,0.0002035045,0.00073214323
MEGF6,0.19562939,0.054823257,0.03669144,0.056028057,0.1658842,0.03610427,0.05412037,0.00914775,0.3276277,0.018481815,0.1977355,0.024234343,0.13233036,0.028163379,0.092498615,0.022325449,0.110950716,0.0130163925,0.10053123,0.00915179
TPRG1L,0.3202709,0.23198894,0.13895907,0.0973821,0.22204289,0.14827555,0.041631054,0,0.28394398,0.11397118,0.26017827,0.10263957,0.1998979,0.14048941,0.122486755,0.09451802,0.11498529,0.066011705,0.115590565,0.12812507
WRAP73,0.09905285,0.08396615,0.12646836,0.14107065,0.14313272,0.11823459,0.10407764,0.17380723,0.109209225,0.09328915,0.11343773,0.12901223,0.14329414,0.15948331,0.1153065,0.15544353,0.106916144,0.11342857,0.1035838,0.16839294
TP73,0.15353191,0.14571445,0.03239776,0.100717105,0.19641149,0.0807523,0.03746795,0.08232975,0.5853614,0.01804177,0.049954228,0.04205371,0.093829624,0.08121533,0.069690734,0.09201423,0.155331,0.010227165,0.06369691,0.046491094
TP73-AS1,0.031366736,0.026834542,0.02888475,0.028014028,0.047806904,0.039135925,0.0353864,0.0182955,0.04368369,0.023762332,0.03330282,0.026372667,0.028556842,0.030455746,0.032522343,0.025246536,0.03227657,0.013946135,0.02930465,0.028919658
SMIM1,0.014857927,0.017024064,0.016003711,0.01867602,0.02822335,0.019292358,0.018733975,0.0548865,0.017473474,0.018921858,0.015610697,0.015681045,0.009433957,0.018666426,0.013938148,0.022325449,0.008069143,0.022313816,0.015262838,0.012446435
LRRC47,0.38713154,0.35692826,0.37003705,0.30281833,0.38850307,0.3491917,0.116566956,0.1646595,0.49362567,0.18085775,0.33927247,0.2230985,0.3082609,0.30979717,0.32649055,0.31714654,0.19971128,0.16735363,0.2621138,0.2643037
CEP104,0.20140746,0.15985309,0.15184009,0.16274816,0.16847612,0.15268524,0.09366987,0.146364,0.23152356,0.12365214,0.21022405,0.114043966,0.109892845,0.15195125,0.17612751,0.14167272,0.19164214,0.08181732,0.12006766,0.15265186
DFFB,0.014032487,0.0118302815,0.014442375,0.01967652,0.017567595,0.014055861,0.020815527,0.00914775,0.013105107,0.014081382,0.008325705,0.026372667,0.008924013,0.013754209,0.0097144665,0.021699503,0.020172857,0.018594846,0.010582235,0.021232154
C1orf174,0.15188102,0.17803131,0.20375459,0.21410722,0.22607481,0.2428081,0.17901354,0.35676226,0.18783985,0.14037378,0.16963623,0.13400166,0.16012229,0.22366963,0.23821561,0.2599767,0.12103715,0.15898594,0.16137908,0.22366975
LINC01134,0.0008254404,0.0017312608,0.0011710033,0.0026680026,0.0014399668,0.0011024205,0,0,0,0.0008800864,0,0.00071277475,0.0002549718,0.0016374058,0.0012671043,0.003338385,0,0.00092974235,0.0006105135,0.0014642865
AJAP1,0.0049526426,0.004328152,0.012100368,0.012339513,0.007487828,0.0063389177,0.0041631055,0.00914775,0.013105107,0.0026402592,0.0010407132,0.0021383243,0.0012748591,0.0072045857,0.008869731,0.003964332,0.0040345713,0.002789227,0.0018315406,0.009883934
NPHP4,0.07511508,0.038087737,0.03591077,0.026680026,0.055582725,0.023702042,0.016652422,0,0.10047248,0.03168311,0.049954228,0.012117172,0.049209557,0.02587101,0.044348653,0.021282203,0.044380285,0.015805619,0.028083622,0.014276793
KCNAB2,0.15270647,0.07761819,0.05386615,0.032016035,0.14975657,0.10390313,0.2601941,0.39335325,0.06115716,0.27546704,0.046832092,0.16750208,0.044620063,0.04879469,0.081939414,0.1007775,0.22997057,0.29100934,0.060644343,0.18633045
RPL22,18.236454,17.11582,12.011762,9.458404,16.255787,14.316032,12.853588,9.06542,12.091645,7.291516,13.548003,11.788582,13.232017,10.802621,14.492717,12.693583,12.571724,10.765487,14.549556,10.420228
