GeneID,Macrophage
ANTXR1,3.5500472
ANTXR2,8.074216
ANXA1,844.00024
ANXA10,0.0018037135
ANXA11,57.30428
ANXA13,0.0
ANXA2,674.391
ANXA2P1,0.24480022
ANXA2P2,0.5012082
ANXA2P3,0.28033158
ANXA2R,4.470123
ANXA3,2.1721876
ANXA4,83.21129
ANXA5,808.03284
ANXA6,8.694114
ANXA7,162.40572
ANXA8,0.12579575
ANXA8L1,0.0
ANXA8L2,0.0
ANXA9,4.0715346
AOAH,259.5356
AOAH-IT1,1.5117006
AOC2,0.18132575
AOC3,0.39454904
AOC4,0.16660483
AOX1,0.2189655
AOX2P,0.043501318
AP1AR,24.951704
AP1B1,225.90909
AP1B1P1,0.26794317
AP1G1,20.166466
AP1G2,42.5788
AP1M1,52.761242
AP1M2,0.0
AP1S1,5.9428163
AP1S2,182.7887
AP1S3,7.85275
AP2A1,13.709405
AP2A2,12.239265
AP2B1,32.91181
AP2M1,208.70119
AP2S1,135.6415
AP3B1,46.776295
AP3B2,0.0030106101
AP3D1,15.202491
AP3M1,28.713356
AP3M2,7.7847514
AP3S1,88.18766
AP3S2,13.251478
AP4B1,23.850422
AP4B1-AS1,5.3515987
AP4E1,5.748787
AP4M1,12.825529
AP4S1,8.714145
AP5B1,8.753681
AP5M1,36.901047
AP5S1,9.644782
AP5Z1,14.2737055
APAF1,22.435192
APBA1,8.510858
APBA2,2.533089
APBA3,8.001885
APBB1,10.649393
APBB1IP,118.64732
APBB2,0.48814315
APBB3,35.965706
APC,8.551314
APC2,0.096856706
APCDD1,0.72933483
APCDD1L,0.4104628
APCDD1L-AS1,0.002413793
APCS,0.0
APEH,45.353806
APEX1,205.88185
APEX2,25.979427
APH1A,43.69025
APH1B,23.451712
API5,67.19249
APIP,65.81224
APITD1,3.4758296
APITD1-CORT,0.32092234
APLF,2.1074407
APLN,0.064920425
APLNR,0.40769365
APLP1,0.79344845
APLP2,334.1374
APMAP,386.2749
APOA1,0.083448276
APOA1BP,42.71446
APOA2,3.3323467
APOA4,0.0
APOA5,0.0
APOB,0.0
APOBEC1,0.0
APOBEC2,3.1281862
APOBEC3A,30.340033
APOBEC3A_B,0.108396575
APOBEC3B,5.613252
APOBEC3C,98.32987
APOBEC3D,4.7234855
APOBEC3F,7.5502286
APOBEC3G,50.184784
APOBEC3H,4.129126
APOBEC4,0.0
APOBR,9.58653
APOC1,962.80286
APOC1P1,12.110922
APOC2,619.0674
APOC3,0.0
APOC4,4.503428
APOC4-APOC2,3.042501
APOD,1.8363293
APOE,1556.9076
APOF,0.33908483
APOH,0.0
APOL1,11.872447
APOL2,20.974327
APOL3,19.854414
APOL4,13.558085
APOL5,0.007506631
APOL6,11.961774
APOLD1,1.7375304
APOM,2.5801377
APOO,16.914194
APOOL,19.720997
APOPT1,25.88217
APP,20.831354
APPBP2,7.9852204
APPL1,25.86012
APPL2,63.00283
APRT,133.54216
APTX,21.12871
AQP1,0.48323646
AQP10,0.0
AQP11,2.0983427
AQP12A,0.0
AQP12B,0.0
AQP2,0.041684348
AQP3,1.2979558
AQP4,0.32122016
AQP4-AS1,2.1477032
AQP5,0.0
AQP6,4.514165
AQP7,0.0
AQP7P1,0.0931565
AQP7P3,0.36661804
