,0,1,2,3,4,5
ATPBD4-AS1,1.5589504223690875,2.9993840669538763,2.2109587198034357,8.861936474955599e-11,10.765556668666079,11.420188707414765
PPL,2.92460183530108e-06,3.6906699742603966,1.466747005864978,0.6159962235130767,5.614354530101549e-11,10.149616301609083
PLA2G7,11.156577685604061,6.009292750410873e-09,7.86346411819736e-11,14.921719188569222,8.512341052499941e-11,3.2998003518606547
TESPA1,3.881236443702392e-11,0.667241631382165,0.3358921960766808,13.87004727325385,0.7852012487979135,6.881087915488728e-11
EVA1A,0.03210313657468565,9.828594145907655e-11,0.30564312596504334,9.322529720461577e-11,27.22820145034911,2.990705347375352
CPNE7,2.2748404052474896e-11,0.8794779354989309,3.3460884975143745,0.9195439711341846,3.4444485096666794e-08,4.129204774351992e-11
MPZ,3.599728361813467,1.2310552000841082,1.0750264822453424,1.690685290506563,2.8852042819914008,0.00974281386360569
C16orf89,1.8772474947232753,4.869773123104863,0.7709101260639114,3.440241396842538,0.8331605423260505,2.6241540108124663e-05
LLGL2,5.9570471062215986e-09,1.305548432419577,1.0813690788344932,8.96707743116869,6.362415326076865e-11,14.963929305606127
SIRPG,1.651131839361993,2.1776686602249713,8.274238770399962e-11,6.128739778243449,0.8469946135567112,2.263926074871392e-06
BCL11B,14.94103807815091,1.512648778854028,1.0037443007917655,3.4246469675119484,1.807719515878471e-07,0.716967014356699
NLRP2,1.2299629167775,0.4198418816328554,3.0702183832756758,9.836756274416165e-11,3.4931954776832474e-11,2.695054364420731e-11
SNORD56B,0.0013637809318787413,5.1763582990134105e-11,3.6153176000873457,0.6237572015141118,2.4758221866692627,2.8305607877987562e-11
CD226,1.2162539785877653e-08,0.5024957917374393,0.6389593355398944,18.969030643541327,1.2978098886692515,7.304202207089051e-11
BATF2,3.915254322800118e-11,8.252481624698316,7.503982617425645e-11,5.130083178819984,8.279282343519125,5.7098534840084005e-11
TMEM74,0.001901818490980608,2.5249303877061196,3.827161640046295,8.516920715803997e-11,1.3594198578288537,2.5817737147978126
FGF18,1.02510625451198e-10,7.097062742519429e-11,6.655298878565064e-11,6.292696670447765e-11,27.94786766319577,1.0810805435826925e-08
C9orf24,4.591142527425424,1.1727761838100463,1.9538004001672868,0.002066283734914688,2.847672234445667,6.521480363211441
GABRA2,7.13849222922504,5.852753603220469e-11,3.7936906685290617,6.296057241867802e-11,1.09149173724307,3.654477370248141
CLDN7,5.117347372088933e-11,7.299967562768574e-11,2.4340262573489247e-07,18.935252777796467,1.410723143857754e-06,3.6079938063097385e-11
RGL3,7.132491981485699e-11,4.852266370571093,8.922668814190807e-11,12.21658733055293,5.164603769630926e-11,6.179728606868513e-11
CES1,5.4304834315382036e-11,4.9519086217079596e-11,0.7509835064697,16.857466265661518,1.739389364952084e-11,3.991905865165097e-11
SNORA26,13.478265548267897,0.3845829119952385,2.356960536866145,6.21469447372597e-10,1.3339980584537392,0.07887099041061156
OR2L13,5.161497738503113e-11,0.661929660371166,0.4256084705264284,0.0002794209290288994,2.8298793959305758e-11,27.15989406486298
C19orf59,7.814475363452752,8.799613915048257e-11,0.3442804932322711,11.053328726871445,6.208767793755482e-11,2.012648530548814
CAMK2A,8.144020500607299e-11,5.7482957566384325,1.9014381404214622,4.539894476169786,8.467484203424104e-11,7.743457011877612e-09
LOC284757,2.389244764529733,3.4036160268931495,0.0012009753210247636,9.250158378549829,2.8795861682995647,3.4019654873851803e-09
VGF,4.6529018733447513e-05,0.3461813025814873,4.469606806896208,1.1413359090972637,1.7910606211721034,5.181885881031438e-11
