,0,1,2,3
RASGEF1C,18.5524872998543,5.140982034188297e-09,1.187716686666576,0.0002652117508276449
PLCL1,3.084425443241168,2.8978434058081663e-19,3.444062409142671,20.578825191614524
RIPPLY2,5.5194021342617206e-21,5.516629013512206e-17,7.062812333993115,0.013538739932828623
GALNT3,7.9265602253813645,2.1780138619447804,3.15470121316503,1.7376245042473773e-06
HOXB3,3.121856112207533,2.806825340456446,1.4226387336664308,11.364466206866762
LOC643923,6.168797106247527e-16,5.821183979533734,2.5687047381878565,3.734158397150937e-17
TEAD2,4.0366279948728e-09,2.431426433457443,3.9777779936917614,4.219634043925056
KAL1,11.816548736271162,2.8793763315011844,2.0663280579886276,7.3963402642821245
NPTX1,2.511405286024868,5.394326716433483,0.0018311938665718024,5.909169043419079
HPCAL4,1.9511837039691826e-17,2.250208059824699e-06,5.849748965598277,2.5854062961253055e-21
FXYD3,1.039418126861929e-11,4.421496047308849,1.3721658704407724,2.520835338799229
CRTAM,17.23534067780326,1.791695304275576,1.3099463742650224,0.03640372032815695
PLIN5,2.9473367655202996,5.3704189639722575,1.9654950559678568,5.258817100217292
CEBPB,12.972932313484801,4.483341010955081,0.8329508368744186,0.13077477009237704
TGFBR3,1.7130936009411222,8.323512476058728,0.024121602065691677,4.017139245419693
PDE3B,7.284261971572798,3.4381929105490774,3.4346719206140137,0.4426315703567292
MLK7-AS1,5.972732761517749,2.235976285078449e-08,3.384334457815294,5.41117220757722
CDH3,4.278277965486333e-16,0.4294520455172925,4.375944722891656,5.471805104157716e-05
LOXL1-AS1,0.002786948775571814,4.246072140135793,1.9656640558423604,8.230225489693625
PRH2,0.0007013309993535826,3.677268417613176,3.7827217786997753,3.475881999084083
TSPYL5,5.428900949353201,0.06348057979244058,3.153310873242818,3.912399370425109e-08
ALX3,3.3507888014725724,2.33053589590758,4.428016199417237,2.4979551320649187
CYP7B1,0.04879845680018474,0.059866636738913376,4.009932507233124,18.179077001188304
SNORD27,3.616720002165516,2.317550811813566e-12,5.882779199331058,4.711677899571897
MIMT1,3.3125411777202016,1.2353707406097746e-08,4.231813574467512,2.4439658135469664e-20
PHOSPHO2-KLHL23,1.7754518392759437,2.781148658844393,2.880685918351339,18.401139447791117
TEAD4,3.0506202418074497e-10,3.8081418885728615,3.5126955722370634,2.2717404174704763e-07
ST3GAL6-AS1,0.0005094642003523396,0.9075980001803382,5.927599470651531,2.420108203392506
PPP5D1,7.381139219618614e-11,6.958745659844789,2.5208448181649343,0.0008818495493890486
LINC00612,6.591592346601907,8.549026633964383e-09,5.718863559428925,0.0008951688015837855
MIR3652,0.3296851490762206,0.018178763154548666,3.3286508913249993,15.097965555934211
SLCO5A1,2.3907922243186843,3.966495628779145e-24,4.9952906861147195,0.012186187863292407
LOC100133985,0.8342326417488047,3.1589075495759626,4.209650426598642,4.436385171135628
EFCAB3,1.48043279229456,4.401952262208593,3.427558217526158,3.0535069206462655
LIMS2,2.8228916839179887,1.6211681112448248e-21,4.356503986009399,2.141860518725526
NFKBIE,13.26535302032022,3.5124269002725717,1.896530837959064,2.3245073484177074e-13
STK32C,0.0930433698910117,0.753573857526661,5.121340405423238,8.89972690292843
SCML4,7.021919057777876,0.19678947582005393,4.647260574580183,3.5582510565178183
SNORA62,1.3454629811360173,1.0541489015498762,5.577514491983478,0.001690294453115294
NDUFC2-KCTD14,4.639318699308398e-13,5.172165515792442,3.0258178347497378,0.7580493990646375
BAI1,3.884599604987211e-14,1.3459037597428605,6.114325536177357,1.7917087581582086e-09
SNORD77,2.14576931751459,0.005061313537515838,3.0738121684059148,21.850509554413307
VASH2,0.0028489926632548246,2.8487793804747736e-13,5.869163595806764,2.7764743525070514
LOC100240734,1.5580077755248134,3.592067858706228e-14,6.426360388694423,0.013030525823277014
NCR3LG1,3.2437182574585104,1.1026991894138933,6.106324137233453,0.0063936909160252214
ITIH4,14.508439352297748,3.1114643975719583,0.7655786283383951,0.14132054066184224
MDFIC,6.249583350274412,5.804828545282203,1.224524229238701,2.187397074808646
CLEC4E,12.797792355393138,0.9778813280987771,2.7093572892627273,6.445163815679565
ZC2HC1C,7.808958441739813e-05,3.523275927010217,3.330459137037453,5.072768793326957
DGKE,1.2321805572382654,2.304673880524172,4.42404379571866,0.18587657404214855
