,0,1,2
CCBP2,1.4986874409610091,3.500292479857805,18.07393135222431
SLC29A2,2.7957416794530707,4.908629600140103,6.94092010183385
PRIMA1,2.9623662022738166,6.956395547669017,4.709433525363497e-25
B3GALT1,3.7169851864548296,1.687424621327141e-24,1.1856841897722245e-10
JDP2,1.5445482298525537,3.749606199952311,15.468640505561767
HOXA1,1.7587198609873689,6.5647445184667905,5.480445146046454
TRAF1,2.5892882991244264,3.4143333720117854,10.344835300116829
SNAI1,3.0460568255076534,2.9560917714260877,7.110856409216388
RAB11FIP4,2.876786873134067,11.775798706694012,3.888471327570355
ADCY2,3.218758683001969,2.748429812662377e-07,2.34753095400803e-12
SNORA1,1.2933179938771147,5.285020841643147,11.84804137799483
FAM20A,1.7766226965082432,0.01564739497398952,15.352150466401213
IGSF11-AS1,2.4374828490910647,13.697419181114379,2.679275205120337e-05
PIF1,3.794628145054934,4.265844877920239,6.43226257330064e-14
MYO7A,2.2702063814114464,2.8238729305314365,13.15520296011537
OSGIN1,2.759845668152266,7.8355614908100595,4.054312070533262
FAM154B,3.735384324788456,3.653913588927429,0.1385642892888185
LOC100506801,3.3242309406702057,0.002294558164097297,6.41281777865741e-16
DBP,4.291530083551483,4.171571231451386e-21,4.132131298243553
KIAA1217,3.968142947910404,4.324480735071007,1.7464154318929745
CD101,3.6137651421892167,5.572653049945075e-10,4.739521301905839
SPTSSB,3.5404648918147497,9.984650288472705e-12,1.505571968409418
ICOSLG,0.24698076142493042,15.774709713121498,10.82943961893676
FLJ34208,3.1685858369019098,7.0676498857083905,6.72696306549092
FKBP1A-SDCBP2,4.387634722180968,4.532473379761361e-31,0.005558540194382498
S100A2,3.688805364802897,2.768029548989824e-32,2.024246922830654
EFNB3,3.776260615991586,1.5259109239101942,0.00019035052557639173
SNORA15,3.073344903416271,5.546247119670239,4.008355612070481
IDH1-AS1,3.4697020365036546,1.064478118139469e-10,0.010993664084783491
PIH1D2,4.485861193571653,3.038175962820225,0.001867810117626965
F2RL2,3.4362270015253715,2.8394114990687732e-11,3.5719275149631677
ADAMTS7,3.236927826583871,5.106975297736164,2.994411743589397e-11
RHEBL1,3.628432617287312,6.945728658041767e-08,4.744687281980444
MMP11,3.4435853303319464,2.286950303924842,5.534710555705886e-42
LOC100144595,2.6339277644537042,4.902505369922885,4.446879413217088
C1orf145,2.4045382387172793,10.105812512989711,2.3863614928631933
EPB49,3.299241700420552,1.4131449352084255,3.727585405465086e-06
LOC399715,2.395322346430701,4.444421839635227,13.833954172763084
MYH7,2.2950741105102996,5.652622913530938,3.9857442672255545
RNLS,3.7820279743296252,5.661367571726658,2.9718006186922667
FLJ12825,4.538592503635584,2.3222191886660637,1.25776090663228e-06
LOC389705,2.773282260152174,6.346272921112799,2.183867714378521
CHADL,1.579963589536433,14.472658436497042,4.483474951182323
TMED7-TICAM2,4.03796004239791,2.5821175494792254,5.267868676115911
ANKRD7,2.1158607126355804,13.90348918414341,3.2386239521154483
DLK2,1.95256145335058,12.379176555499674,1.4827940449649652e-19
ACACB,3.541718403192814,3.6618777112833314,6.403628296298264
SNORA24,2.0307041658230323,5.789755265390011e-09,12.273450935573802
ZNF396,3.9753958486873597,7.757034886765192,6.595194892963828e-31
HDAC10,2.868338787978592,2.3293179855628865,2.2218337836409994
SNORA72,4.408559143657828,0.0005551059186133842,2.1383923827065777e-08
CPEB3,2.8343619242439537,6.5694250749146,11.29263840243783
CDON,3.9422508155491935,9.957910390988467e-10,1.0652673241642038e-10
SNTB1,3.521038150919403,6.203774218908097,1.3857816777447285
PLS1,3.326803635182878,5.622892714178715,5.67761033133852e-13
TM6SF2,3.9176272900372844,2.8648954505749618e-30,0.016977468575322965
RIMS3,2.2211098665848477,8.541828649699937,2.250069282991194
PITPNM1,3.796350326067225,0.0013961276665728525,9.991300434798855
SH3D21,3.714864526052001,1.7436166199553414e-19,3.77010784138382
DOCK6,4.94856777531447,6.709818702709321e-15,1.4743897172258966
HFM1,4.033937145208205,5.109314211920444,2.071087117901495
TMEM44,3.507585095057251,9.354037959030569,3.0736300451334997
E2F2,3.5903530508665122,9.291681520916221,5.783075749288502e-09
RGS22,3.742403538383225,0.5859999143256571,2.912379892189817e-29
EPHB4,3.373474573739866,5.052464777825584e-23,3.1060388882838628
HAS2-AS1,4.522733614978481,2.7781982918551998e-05,0.05291504482258716
MIR4647,2.7574917834593657,5.292281881009012,3.771838598997073
FLJ41200,2.448774552429301,5.9383166795385405,11.999340878229642
TEKT2,4.677529509351092,0.16952956823953835,1.0939267802932087e-10
RAP1GAP2,3.099604744029808,1.925862126622814e-10,8.547983801592778
STRA6,2.601860875795279,1.2389063199649775e-103,7.983478772590967e-29
CCK,2.270589276501198,5.372796564178729e-15,1.3716191597253985e-40
APOBEC3H,1.426384092958229,4.443432998471993e-80,10.662938324989488
VIP,1.6276027927579342,2.863960266540067,2.3950384134559375
FASLG,0.769335426500634,6.070215882185883e-110,15.910916018214493
PRSS56,2.19398491524222,1.0952300384974873e-117,1.6486503308710502e-27
GPR124,2.5189806578133496,9.112518232379447e-70,5.3473568395678724e-52
LOC100130075,2.736429838082598e-38,36.937993696468965,1.4739970260473122e-79
PRDM16,3.653216057894413,9.416713000493745e-35,1.214847573210306e-41
PXDNL,3.5411255451922097,1.8987611247166582e-28,8.005026432955313e-55
XCL2,1.583013040906966,7.732516504950795e-66,6.662834437145394
CLECL1,1.7278607819853466e-32,2.2658895341806035e-45,34.57643036148086
MTTP,3.64359666565827,1.7060674520652785e-78,2.3045922832953506e-45
ACPP,2.1013723858612407e-11,6.32069626262081e-16,37.10476192974962
FABP6,3.1588149520050206,5.060329933027194,3.343435395229454e-07
TMEM52B,7.009310489927675e-17,1.1895779899671166e-14,38.612334152156514
LOC100507250,0.06719901514409853,15.871674025935564,9.359504153218035
HMGA2,3.535061651178866,1.9153607839526445e-13,1.598568844175276e-39
ZNF257,3.772674838459884,0.3205878236441498,2.346806910306144e-20
TP53TG3,1.965933791056733,8.85355689224433e-06,6.470001275190284e-88
TP53TG3B,1.965933791056733,8.85355689224433e-06,6.470001275190284e-88
PALMD,3.7960380791792865,4.4652806546885776e-07,1.1279309055546553e-41
SHISA3,2.741190670887781,2.433653203589514e-44,2.137409402944722e-45
COL2A1,2.9652097734465994,2.3730375748730687e-26,2.2432020835800524e-38
CMTM8,3.2071012831796897,1.4463953040948288e-21,4.715814012023039e-61
KCNN4,2.083098338237669,3.1977864929826037e-49,22.29197506519134
VNN2,5.2121892438554395e-15,1.0634725618728642,36.493389130981406
CCR2,6.508827413124527e-16,1.3200235265744276e-44,29.402957485311195
GPBAR1,7.654202862583233e-38,1.083433366013464e-52,30.168555505522484
CHAD,2.891311560261309,4.6686191340753485e-09,2.504310861695037e-97
SPNS3,5.677399482807144e-29,3.8302811934924033e-44,32.89320224930516
MRC1,0.37618383883004575,6.735944609343084,24.587117835484232
SLA2,4.101802133617836,2.6914892495849413e-06,7.130597300528992
GPR132,1.1803612386343218e-06,3.3488250839625206e-14,36.11704576684155
CARD11,0.06016198186151636,6.331004114670539e-22,34.275497637503285
TAAR3,4.106923822336583,4.06343542095987,1.2337421121196053e-52
ADCYAP1,0.5827725441467616,14.147531745904482,8.259775568832467
KCNK9,2.727693240254687,1.7261328776918481e-28,1.2670851839328628e-78
PIK3R6,6.0901062886874174e-33,3.663064950540219e-43,33.43883683617671
IL4I1,0.20288943807867865,2.6041411505899585,37.40442960338244
KCNS3,2.6003135970125473,10.555668875279308,4.3207906105807075
AQP3,3.2288397903451034,0.01930994544569524,17.174960054678415
