,0,1,2,3,4
WBSCR27,3.4590515819476138,1.8380067908495905,9.695738794948221,0.5964806134337255,1.8551754972001844
RIMS2,7.154016153499982e-26,0.0061057763582149874,0.678938264382151,5.164176584414298,0.001176228609333257
RIMS1,1.3342793825552509e-37,2.64187466591769,4.2502547783200996e-16,6.804050006605424,0.002654270411347594
BIK,1.0973929441884023,1.977312406186594,14.304189734095521,0.3332711372189983,5.764092935590156e-22
MECOM,4.8332076326657045,2.043219959253146e-31,1.9404610318154241e-62,2.0236994276755644,0.016604620079729775
PDE3A,3.76297691459412,4.337207693337279,3.051765871257965e-18,1.8125614876487406,1.4521119395197297e-15
SLCO2A1,2.261653861391824,2.167855118846754e-31,0.9049119491220903,2.424728847941926,1.1851079816967193e-15
MIR4712,1.26792445021498,6.7316361692465384e-21,3.8921410155361866,2.2708092392890795,26.970633725146516
HOXB4,2.231056414337812,2.6800106198725912e-20,3.0590466741163818,0.3198324106638693,12.686550428260299
BCO2,1.6369955262960791,1.8028330790976101,17.55581201329043,0.8717703269704543,8.589056989010233
CADPS2,5.260314832069208,8.1490345405356e-17,6.865420491331495e-19,0.6855572688360204,4.839278320221516
PLB1,0.5508090372410616,0.00042638046603445134,18.683889543917285,0.0071858480324660185,2.7825133065050634e-20
C12orf61,2.756585331121606,6.002127545760665e-18,2.723395198788173,2.0201790085842184,7.724704468635763
IQCA1,0.8984263549204992,5.475143768381202e-40,2.5585996675102485,3.7629368686973272,10.452161446100597
LOC100505912,3.122016270196941,1.7244544453629234,0.004470813404485511,2.073818690520133,11.917249478838615
HIST4H4,2.1787312696924817,2.057991700681707e-08,9.441245009106268,2.6924908884912995,3.711133727841016
AMER3,2.98127144242302e-39,7.684393175661251e-67,6.023707613553199,3.2590163357588047,9.855057374569084e-11
RAB27B,0.17525624425573882,2.539559090755281e-50,1.9615178357558969,5.17615762214504,5.819344652906158
ZNF732,0.7324867931019562,1.4359854038419744,1.761393440934693e-49,4.030483444061839,1.920856785293006e-42
FLT1,1.7283973390476657,0.0010753169250212614,10.441080272599052,3.4261490495631812,2.5731141723856354
BCL3,3.0254639454054986,24.090356462533595,3.233434345650818,0.7447292700304772,1.795577015920959e-07
TMEM151A,2.4749887916248964e-07,1.7184560357533144e-31,0.0005603175358160763,2.3300844316791247,27.092798043015357
SLCO3A1,0.3836581793603746,9.060699810784534,1.4812381927674099,2.2779974592350802,29.380641236270872
LOC100130370,8.952419272880347e-19,1.5712611140645994e-22,2.665899422986294,2.804882124111814,24.424411104413945
OSR1,1.1899604403530032e-11,1.4771263542349303e-48,1.0503797694014838,4.81983518244043,2.3153130570415734
PSD4,1.048198901481054,1.0348025793260929,16.368464449314565,9.942974028161594e-09,0.0031778435557687774
DMRTA2,8.87042233213292,2.8438039100589084e-29,2.0780382830724045e-16,0.00019104992306991325,5.1975453474053275
