,0,1,2,3,4,5,6,7
IL21R,1.3366436712402676,3.4667205080542782,0.0015633447189988842,0.7367430288217939,1.7010743581695285e-10,6.503669341504865e-11,3.4023987659919585e-06,20.497056162308546
PPARG,1.130571315437369e-10,1.7777669917067035e-06,3.077988500503139,7.429313258513595e-11,1.670399838218752e-11,3.848878656696738e-11,19.27964651922232,19.488024113573957
FANK1,0.00019573790476657037,2.2513317464914925e-12,16.544129457182876,3.522492190088558e-11,16.625461987052105,0.025258070756397064,14.266338451757255,6.089749851157783e-11
PGM5,1.169848241399404,20.63115577419932,0.000180091389200767,1.0451840330128717e-10,0.009898658297635251,4.437861110362131e-07,1.1892930970072065e-11,7.1014927981885565
MT1H,0.6642012483079168,6.973556897516741,2.2292192374138766,9.482765217036134e-11,0.03286531931490008,1.76224798658732e-11,16.928282517149782,3.7939915704923655
TP53TG3D,1.9868895533689913e-15,7.551099143115115e-11,4.479596499552097e-05,3.93233172275851,1.0114391141842837e-16,4.4723558270013834e-12,5.558367182331287e-16,3.761155454042704e-14
LINC00189,4.691814795776274e-06,3.873137530049351e-11,3.273000653601474e-11,3.298602993721143,12.658576120730503,4.597495867535018e-11,10.696489991220963,0.3544979408671182
RGPD2,0.5287345218669617,28.85899593903238,1.983020394227514e-10,3.1061317192721195e-10,1.5506133062140147e-07,4.180547062494609e-08,4.6869237453138215,1.3406826384851205
CYP4X1,2.908476858419841e-08,11.007552864799155,5.426026798716461e-05,0.9701577394233313,5.933385301414257e-12,3.0772810850542564e-13,1.214692428378365e-09,1.3799513437396764e-10
ATPBD4-AS1,2.051920331950407e-07,3.320695662466162e-11,17.938912388742683,8.073478314184243e-10,19.292720761859012,10.582071476116889,3.644070438783163e-11,1.674588219054063e-10
PPL,1.1832770103637744,1.580917115696015e-11,12.5852579899818,3.475215713021123e-10,1.4709942593874059e-10,10.118262589446006,2.6365527403054215e-05,0.3891982245902932
PLA2G7,3.540966641592694e-10,14.864482148721565,8.783524519604705e-11,9.41560712244321e-11,3.865331557224852e-11,1.8785445226059778,17.033799563890938,13.660911118571969
TESPA1,2.098831233805068,3.911525947227716e-12,4.0012920636329435e-11,2.311379786292971e-10,2.927982758213098e-10,1.6650740831871298e-11,3.062607982141647e-13,15.774525802804686
EVA1A,1.7534079862445756e-10,1.2317425614526226e-09,0.1127127947729298,0.2459983909367684,43.25716972044495,3.4110117029502165,2.89462052828874e-10,8.72783377966596e-11
CPNE7,1.838093573785568,5.636451483656386e-13,9.386777081789119e-11,3.2626990951417896,4.997609800705252e-11,3.392799819335962e-12,1.7531225322254335e-13,1.4702783536575028
MPZ,9.135708702564147e-11,1.6115241387406,3.024109787119897,1.2180978792483377,2.9438153526660353,0.004207776425540097,13.291871984605761,0.0021203305534460834
C16orf89,3.423631320162796e-06,7.317193621292654e-12,17.76102762467256,1.306365659352199e-11,0.37873979250917317,1.2666588012161665e-11,9.666006492484211,2.041506935838601
LLGL2,7.662781624267458e-11,1.4644338671023893e-11,11.792985390132529,3.377648779404201e-11,1.6663190742035765e-10,15.617508796624314,2.4964783203263866e-11,9.59055875940803
SIRPG,3.2053065350758443,3.143600674185756,1.8046064861827e-11,2.0114985365101626e-11,1.1720912265535555e-10,3.474737227457075e-11,4.1023534637561436e-13,7.316789474362557
BCL11B,2.4702052069248026,19.852581344726165,0.00825597688542941,1.0372990168071665,7.745084814755275e-11,7.423810367402495e-05,9.778840672000019e-11,4.626715458870033
NLRP2,0.395341031038051,0.009319420743630085,2.96754496714362,2.7954360747525104,6.351707038684285e-13,6.670505134068531e-13,3.675051592896328e-11,2.1514733167835786e-09
SNORD56B,9.113651546565138e-12,7.271959121171332e-07,5.0623585795831116e-12,4.59395491431605,2.7891093191505038e-05,1.0305282154121312e-12,4.2704874538784825,4.349501455974002e-11
CD226,1.2257432405915818,6.898770883430993e-11,2.981262425586846,7.670745897778677e-09,7.631371224935907e-05,1.5631232475218195e-11,5.38198561291593e-11,20.755342080320226
BATF2,8.726581881424327,4.659329938657339e-12,4.7246837137427136e-11,5.39255264405001e-11,9.713627491224265,1.2065285758622745e-11,8.770865266615347,4.708222767990605
TMEM74,2.2827746930228923,1.4988526107141527e-09,5.534210995028586,2.8973224995209454,3.5290632152969743,1.8586249987566403,1.1269428044346656e-11,1.4384833537733908e-09
FGF18,5.978168992783471e-11,1.6723464058282656e-10,2.8851505966213423e-11,3.976769415292628e-11,44.15631636368229,4.9884433417704525e-09,3.860771326274388e-12,3.340335457755876e-11
C9orf24,1.7065906293604825e-11,0.0015118779449900745,15.838157027049348,8.681980205175834e-11,5.497278780426114,4.815922319750747,9.630339530523426e-12,0.9839333126569341
GABRA2,4.36173136972975e-11,9.784200058932164,1.5041315003670422e-10,4.651500256091955,0.7684990814741898,3.882555660978773,3.2227810775220937e-11,3.691128059703177e-11
CLDN7,1.9765785570654762e-10,8.194038576437755e-12,1.659511421497649e-08,4.102589247314909e-10,0.7761577673769668,1.8935512980534393e-12,3.4302002649479983,19.994845534050167
RGL3,6.17687097127641,5.391857508958694e-11,7.061535522385456e-11,4.8561699003395295e-11,3.2284988860376077e-12,1.117149618372717e-11,2.0308757081850028e-11,14.159271365664102
CES1,8.399399610969306e-11,9.141999450295615e-12,0.08559126481938298,0.6558693117275584,1.2659051111187913e-11,4.361217111988295e-12,1.7902572758864405e-12,19.2895750894302
SNORA26,1.5520629160823036,20.944816125148566,5.6842334988431606e-11,2.190315120147034,2.7140883141793275e-05,4.280941876802713e-09,6.9190541569727485e-12,2.393592516151373e-07
OR2L13,7.191255985672573e-11,4.769533459945733e-12,5.022776615479407,7.235244969853277e-11,6.979079673646867e-11,35.45226916808498,9.368998134309318e-11,1.7689241299576702e-10
C19orf59,2.7135058317962602e-11,7.073198623060007,1.0907808610265905e-10,0.8322070347049065,2.42585963782401e-12,3.035259004512327,14.903254479158225,10.05010227495394
CAMK2A,3.0229556776549993,2.6786895926666303e-11,0.8195825578362377,1.9287310922363197,3.568510463173317e-11,1.9700963801314675e-10,35.49576004189971,4.989858733117317e-10
LOC284757,1.7910114736066836e-07,0.021612667272682514,0.00018822726317648664,0.4485666944360366,4.260271019165116,6.16825495666677e-07,39.752262889461974,4.770722446764357
VGF,3.755069493304222e-10,5.0489363100005314e-11,0.00583067898819157,5.183329674865408,8.083433965736883e-06,1.2431438300129828e-11,7.822976030667545,1.469182244340803e-10
MCOLN2,4.0164028390532795,0.03287299565109525,1.3713932590312838e-10,0.0012113981028446159,2.6464757604733296e-09,1.0353631498703114e-10,6.607798326568356e-11,12.844836008586855
ANO5,6.457394002646964e-12,11.92281545243715,0.05040795739669005,6.260800777237601,4.3320672901342317e-11,1.1883244945182567e-06,9.304062031449981e-11,9.894435304488568e-05
HLA-DQB2,0.0035610823546630087,18.801351358509812,1.273376428085377e-10,2.8995234643324325e-10,7.287277321161989e-11,3.280087355063559e-11,13.738345090693395,3.375869454530502
ULK4P1,7.935794094373426e-11,2.9915550619542054e-11,9.327451725198996,1.4766683490707343e-10,16.431256902968034,1.1112848623813828e-11,19.221855553918292,8.890326563361437
ULK4P2,7.927278886799339e-11,2.997087225579452e-11,9.333712233032147,1.4900269947909734e-10,16.42907799249897,1.1095096795946858e-11,19.218616135976507,8.88973225790216
