S9,S8,S4,S6,S11,S5,S3,S7,S2
KIF13B,3.67974120976306e-06,378.663807013755,0.637706358993163,190.518356378055,4.2399810256298e-08,790.588002625589,780.5701033358,3830.52524100455,1981.97967697485
ERAP2,7.68943300358827e-05,603.820827799158,5.21680811836471e-17,1.22316106921452e-08,254.491871078501,0.12471055230054,376.547373022401,5.4025148341225e-07,143.05406439932
LSP1,982.180619757086,601.126180498892,1426.2796545102,0.462744830189846,547.543225313556,549.232102936179,16.9716683887338,1.05810713684982e-11,335.095674176693
DNALI1,687.863397514946,457.024201303612,208.708778549321,1580.84395072116,4.14134941117783e-12,1.01610025954271e-10,401.002865667708,2160.84826478292,611.426700929204
C8orf4,381.000529523688,82.4378608534849,9.18099072565266e-12,763.591465777008,190.528721224426,386.139021753638,8.46693980325337,1700.42661985256,727.360072061246
CECR1,73.679203612641,75.4635182876756,578.47107801237,440.602009049681,576.931687239865,155.546135792976,415.700531007398,0.00628901409963439,546.153937244133
ARHGAP28,1448.83416931939,224.372255006791,1502.06895463206,347.542631943455,2684.187401421,1504.53080658427,655.632425855759,4.74179822688677e-19,1.17702604957953e-11
NR2F1,79.7358199733946,0.146953038966829,416.093298698112,435.781989054249,954.017953899293,192.164331758444,1015.52636922848,1235.62240460876,1.11318755012092
GREB1,339.541089614833,116.958988665964,366.566251858983,947.051910718092,5.93133653713801e-09,411.050871022202,1041.36251757994,678.980518072723,112.70221360419
FABP5,50.4958901394712,409.770354632981,51.0452214753736,50.2821372605734,730.639159081864,191.437153754107,471.183396753656,975.570565223161,799.657529748162
DTX4,6.08862110081164e-07,7.04592888052623e-07,868.408923062427,1665.25251756224,4.24532464879042,785.204909774031,760.600998815456,1579.20776436194,303.354473247386
HLA-DOA,770.619468518076,170.795242451802,301.278849579193,781.92510832172,64.5810025174226,142.753895544688,4.46766515013172e-09,0.000456559184896253,4.46170627349548e-10
TMC4,1.07691427896763e-15,0.0421439936144509,7.96057245671703e-26,1368.74861408805,1.90820124503312e-11,5.78136655866103e-27,9.04583553157488e-05,2334.31021683705,1574.75638154438
CHCHD10,0.0435058429816306,2183.992710031,241.071531233371,0.00901620245470476,190.330844547956,1188.77420143752,653.767553673132,246.711875379399,456.091726452951
PRRX2,618.715615735357,2688.85452887442,2.07498079622356e-14,7.96128683370172,2716.95339494544,7.4269584419744e-24,317.95940954912,1.80672146943686e-06,285.997701381499
HOXB2,313.08398691655,412.73577775956,5.21643008370059e-14,1687.14818396714,0.0446378146401978,4.15117622461553e-17,612.310039769633,1755.31309362316,345.87531290277
CCDC85B,436.987857753202,3864.81130730836,1.31923007463186,0.193542902971728,837.242817578315,19.8968295428297,350.22838165195,1.48122470622021,497.137312405496
FBXO32,2.94213796264591e-14,189.887657343891,808.577495283425,5.09664718392128e-13,388.997112764807,1883.33262874415,3.1854101216284e-05,1614.30973029008,218.895840817636
SERPINB1,231.482826478,1.05129982005575,955.325496859438,68.9052092763623,268.82927428091,218.821754208234,174.453062279873,2980.2482860309,53.8403313237025
GADD45A,2612.69687184786,1230.28303765247,588.889735042717,7.35263343539085e-05,269.301223717162,1592.60744360249,444.386959923544,629.69374590888,465.116294519585
NQO1,88.0090987933282,1370.15260414297,70.6181338645428,0.00144397913344451,599.164496779554,4.34237796791965e-08,1131.10478676103,1061.83505076242,1422.49918087216
ADAM19,312.479773559704,222.197409993427,1551.51056361564,2.08585869141991,1195.81769512965,2082.76645262487,631.300267088143,1543.42043647551,1.26700031222755
ZNF117,432.554508672548,0.229432662797902,75.0278837790322,1236.42137687526,0.246034312010751,711.052716159215,531.347981561755,2057.39817590311,972.470827490813
CD82,2.90155561422121e-10,2.31711302296344e-06,1652.96830539747,1.1005076493174,1407.47145239517,1466.18221080769,586.360169614185,1121.90178395857,2083.19533240147
ATG4D,286.803584552303,739.39955898574,424.445031298323,481.577539218644,297.556386445578,232.140681022965,652.955979983039,1580.95481940042,2533.76426104766
COL5A3,160.881126790325,0.000184199184453277,1844.7869681238,0.148907673099453,995.272165774544,1832.83855508043,706.204935844635,803.611896100672,306.338564323278
CACNA2D2,0.0251129728964778,2.00522096865002,2608.77857796998,936.038930459325,986.810075341186,155.208689218166,600.777601684854,0.169081381785282,0.0210568906034576
PLA2G16,478.593699805232,385.822491283281,1006.87281751267,120.870245993391,7.88707817785423e-06,526.647842201277,8.60713972378229e-08,9.22721375283792e-07,374.960801082159
NRXN2,1015.72108252284,964.30119260787,984.669804124364,807.833131812006,3022.51957553826,425.553322742093,444.416465421825,5.49013773022262e-20,3.00181880747628
BAHCC1,745.110345636155,298.608897129264,306.667529513514,2208.22753075423,0.441690509820636,676.864078368197,1114.9947081435,30.4411586696863,6.11184454885277e-10
WWC1,4.48729182165151e-07,0.153404177665429,4.18929849313325e-07,1533.84037523856,3.80598763011236e-08,4.98689067371746e-07,756.230292168672,2549.71069777755,1820.19874231657
HIST2H2BE,851.951919652144,1259.81123053573,720.124877373768,1235.74188517609,1102.23170798677,402.972932441391,336.881910557943,760.896469581309,13.4307403207092
SHMT1,207.178696902677,476.441268109917,4.8675443418763,855.153502843106,1.27528665309504,222.998046879915,1034.34815519022,1556.68450503784,1075.15333326771
XAF1,0.000148565530717857,9.98649076712408e-05,0.148302179133498,0.00162387078399355,1005.65116847549,134.223982798629,0.654987928736316,439.079865322624,3476.8738371309
PTPRG,300.692707130212,3.31742782164409e-08,0.120961236968084,804.348970139072,988.21951370851,2066.82679680521,952.479557550176,1895.32041679457,156.636320724218
RFTN1,1343.65103992855,302.631633747021,1681.72847862126,375.326317490605,581.528308588671,1751.10641647033,1.2695079531677,1.07590970742365e-13,0.085831270975985
ETV1,3784.55332216129,4.94937381757088e-06,0.116257559093918,604.570545051023,1117.61123588632,375.250767470647,1.37004521847722e-11,2140.88108750339,6.29935030580789e-19
LFNG,2066.68320802055,591.852406178114,3161.30004518517,500.007307186971,923.648111330512,1535.78014387664,342.202427648711,83.3332163916507,352.641407380317
AKR1C3,4.08782451413481e-05,0.000132071952866881,529.623399602396,122.644310781627,487.217123992039,415.726118376409,1006.64647435337,1.35111332237883,1124.60512483661
B3GNT5,163.789434705427,20.6531472738382,691.989066787838,683.624957464023,2120.0889165577,428.125832335154,703.948899794376,898.616979089105,1078.18630423147
SEMA3B,1287.09995426826,767.871548617964,2168.76321303065,1243.23567157884,1549.26023257932,47.0682976412975,3.94949033262086,673.177866414532,57.97251360491
C1RL,582.764089174605,46.682109602142,1.35944302910614,1729.05330753069,0.531789920404737,1.11403926583362e-06,2.73953049859184,2658.4120749659,1091.10637741935
GAMT,1015.71326390316,1416.67789669616,866.91046817034,2.1326834081325e-13,0.427033805789996,3363.97632604133,495.528181511637,417.985298610699,952.702016987124
APOL2,687.635967300125,784.353337857885,47.5992214554959,0.76787569881271,1327.16168733225,1354.75083903731,106.501576919792,1412.11202398209,342.553346791532
MLXIP,44.9110508945274,6.17794619265496e-08,972.276890667606,621.031896126956,16.715879514998,1112.16333240152,1723.1242901296,1437.33352071768,434.058667588462
FGFR1OP2,2361.43446390966,49.0293149464438,739.362937654197,567.822045851637,141.299761178867,431.472833765764,619.141715973629,1443.38787777889,372.318717438114
POLB,31.4501883906583,2215.60897818056,560.943198590621,390.376791033232,1985.13142171627,1973.99575255005,312.233093934659,601.113224241578,361.509984174195
LRRC32,8.98537294528921e-10,72.5933250065065,568.296158110204,1316.51060619064,1012.25353871899,729.875041202817,196.727995790182,0.00902630098083115,162.854200973075
IFI35,316.523215211391,110.699154927229,54.5585229816186,27.4272369721683,1600.03189065665,0.00665263198481499,0.407962021021615,0.000586061407136679,3656.20345404097
ESM1,179.127648932031,0.160362826459375,648.141119344079,97.6702244073958,795.168019299345,815.509630807,1242.05750179295,1786.68886124148,632.01847041112
TEAD4,387.517270572761,1094.43153174411,2916.73335451467,554.752401440766,1.24974450718727e-07,2648.19797471128,455.407910442738,282.04179172148,499.518686549113
SEMA6B,415.720565574261,707.295879111602,2682.61839003761,219.153134649814,1967.36147901655,1294.72398437711,388.538030292421,455.812880234463,129.311861209439
TCF19,1057.45129338625,605.515909013097,44.1400034685144,94.0409126507254,1549.22476770028,95.8265428075495,2062.46001448361,0.396022509366987,1078.34133315951
ST3GAL5,1570.75937674506,172.613787404672,2019.53495889217,298.089566851182,820.154724478167,3226.47091193845,0.0633110887425881,1145.53831466861,478.87143433285
FAT4,736.673260270824,1.63913095191364e-09,431.978466371639,509.095446646631,2007.23442902179,27.9938246655626,1304.27934767684,1.6143461787834e-21,5.08618807161028e-10
TNFRSF14,378.139468731535,445.728256852644,0.00232736827525998,519.445484402465,10.0841477533557,0.0704606117316359,1.96325180070925e-07,68.1067727271508,886.239264449385
MFRP,67.6114055693574,1307.74658793663,689.11216062817,349.100897782309,827.500129646611,1113.86105903702,0.321817911796796,0.000303854612747417,1927.45772787066
LOC100270710,3353.34279486607,2212.80747210942,331.110852533049,478.156795448144,1671.86148865658,108.719576030433,46.3622969446313,0.365662021928098,2.2511782076587e-05
