S9,S5,S1,S8,S4,S3,ITTH
TCGA.UT.A97Y.01,0.211336340665199,0.224493384320928,0.224054717545744,0.318579603465327,0.0193961782635797,0.00213977573922327,0.810964482870104
TCGA.ZN.A9VS.01,0.169296586671748,0.574506102912156,0.107762061779265,3.30141585093445e-05,0.0659554442705646,0.0824467902077568,0.694620975926372
TCGA.MQ.A6BR.01,0.543664716364641,0.211900920680988,0.185917589151502,0.000119565397577411,0.0180226986931807,0.0403745097121111,0.656314455686167
TCGA.MQ.A4LC.01,0.404769501056589,0.000536925916600655,0.126799033551981,0.038354327079358,0.0264485752887303,0.403091637106741,0.680549735566717
TCGA.TS.A8AY.01,0.146712612536381,0.696593130943783,0.0788231609175574,0.0769443953142918,0.000344163485039718,0.000582536802947872,0.523570788664553
TCGA.SC.A6LP.01,0.34904809062356,0.265185883494109,0.000776899130255584,0.0849346009490849,0.226555183104467,0.0734993426985229,0.816307953268249
TCGA.YS.AA4M.01,5.24981598521658e-05,1.72204671447787e-05,0.435331932390577,0.54000537021311,2.56553569172983e-05,0.0245673234123987,0.439128683578132
TCGA.MQ.A4LP.01,0.13184112230166,0.380525164406357,0.0204898849391292,0.398614847758974,0.0543095503299579,0.0142194302639224,0.725415663714676
TCGA.SC.A6LM.01,0.187040505296664,0.184909848970772,0.121027844661993,0.454403713904939,0.0188269498859235,0.0337911372797093,0.797497898222769
TCGA.3U.A98J.01,0.134444053334405,0.651360410203495,0.0477677263853883,6.500835888391e-06,0.0115576139090822,0.154863695331741,0.57751789468226
TCGA.LK.A4O7.01,0.146185389851956,0.215637303404487,0.496246628830761,0.104815901609142,0.00305544681084201,0.0340593294928117,0.741644970280568
TCGA.YS.A95C.01,0.405279402243271,0.374565887294276,0.175448096308683,0.0135311670777017,0.0268968045265984,0.0042786425494703,0.679790092763465
TCGA.MQ.A4LM.01,0.474914691829411,1.79572817944738e-05,6.67103208348157e-06,0.346449040925532,0.053200197373459,0.12541144155772,0.634904529773467
TCGA.3H.AB3T.01,0.149020562545375,0.0227520387545464,0.209577420764457,0.355171176011597,0.000885977597100165,0.262592824326924,0.793783421061391
TCGA.UT.A88D.01,0.0923103164114586,0.0415415546809075,0.488508398769115,0.362592770366828,0.0150446840092258,2.27576246538322e-06,0.632373267016778
TCGA.MQ.A4KX.01,0.196302067567729,1.32126029487913e-05,0.251677721211937,0.105433696236879,0.0316417187457837,0.414931583634723,0.769307577390438
TCGA.3U.A98I.01,0.0809128525409282,0.526285538980485,0.156593663393536,0.236158308197742,2.23083605155409e-05,2.73285267937511e-05,0.654651069604139
TCGA.TS.A7OU.01,0.34052552776005,0.18285970422192,8.18889464476705e-05,0.053574374597995,0.0348457859015333,0.388112718572054,0.73636641532
TCGA.LK.A4O6.01,0.804328006912934,0.0666035467448805,7.1780033829008e-05,0.00018118120893322,0.0429184950849559,0.0858969900144675,0.39279037842571
TCGA.ZN.A9VW.01,0.11101099954141,0.126821337167382,0.375495877399562,0.386504383937544,4.91067305157583e-05,0.000118295223585394,0.693548963395522
