S9,S6,S2,S5,S3,S7
SLC2A3,361.853061724339,1250.02047561478,6.36791013038395e-06,421.941867101932,0.740420865111203,16.1698776671907
CORO1A,0.0814611705022086,135.269888169218,10.2239037815918,5.52353129187695e-05,0.373805745590309,8.78998807524013e-06
LAMP3,0.0347709312535324,334.614051488824,1656.74213278862,0.000742858724336913,248.662947136853,2366.93927812964
HIST1H1C,18.7434410407774,1878.38941923342,100.597629945814,549.066528938202,3035.6560094929,488.672399006246
ADAM12,4.10709432470852e-05,0.294123512680155,1705.76277630173,4.04850542319329e-13,0.140610033959928,1702.28225048967
BASP1,9.19398396477265e-13,1.84578097048386,972.441227071478,2.57600348357325e-10,1606.23922284381,2216.73247212572
DAPK1,1978.65531111449,599.508458335074,0.550476926888358,3016.54483614178,0.0129090190852107,0.0417399053147871
S100A4,3565.36000205674,0.00419219707412722,295.318178177027,427.98121942876,427.281246600314,0.0228446135989881
MXRA8,105.418315261825,803.743029001538,472.180897621296,0.357672228747656,309.667273186813,199.813653788576
COL14A1,0.923675075942924,1.66998077696701,0.000133936170166776,480.868727998337,1.76587592724419e-08,3.97867282924313e-08
COL5A3,15.6058638439587,22.379029171089,38.3342736429912,25.817549826321,2479.2859839462,2726.8371192305
POP4,715.094560045159,474.495623144399,771.947470210502,1468.83357473052,673.745985329958,270.550362180339
RARRES3,1299.16376199507,0.00012405934408346,282.989407552241,630.770593370013,0.00121581315621984,0.00476939546201806
TRIM31,1664.23136153121,0.00436171465650367,2.39274437720841e-14,2850.03864098138,1.30410498268806e-12,3.23526961772316e-10
GRHL3,2.08637579094769,133.61309636199,2727.51521917597,5.02962546520722,4811.50579146281,492.691019403727
KCNQ1,3534.94070094986,16.5324504046523,27.9256960607488,2819.76421644803,3.72719964144306e-06,20.9527229380396
SOX15,2.49316123873060e-12,122.36827749304,3514.41423256931,8.41955206195961e-15,4302.32439632228,2241.89105011762
C15orf48,838.049033072521,0.458341765177565,1.56507614136782e-05,2850.19462890226,2.44847322615087,0.000612840168718525
LTB4R,2.37845362854424,483.287588173272,3132.93095014329,0.111560389796539,3810.09576480039,2143.70298847679
FOXA1,1347.78108067723,1753.46788992687,2880.58937454781,2219.46693971558,0.048982328322731,9.637692226925e-07
POLD4,4084.96504218402,14.0628227947195,718.948343546183,1247.96196657873,2105.98485442597,346.650036427593
GCNT1,242.378168183754,215.767889850399,2.31909327039175e-05,3868.00168514609,0.0847881236368058,3.06205163159496
CDH13,0.362888970005306,513.973618526508,1664.4467018255,13.0558439437118,1080.94880073967,3042.81276028284
RGS2,42.1928934244012,457.441058680979,0.114383213353485,680.381740151393,1380.61731007602,243.252828567563
