S10,S12,S6,S11,S4,S9,S2,S8
PRR15,1798.26729651218,1811.21051849555,482.344426386598,4.85046439793509e-06,1162.73475703033,1321.69840913828,926.963387534995,9.36283985836991e-14
CHCHD8,766.45830139344,282.064698725346,409.525662152087,2001.99124035661,3354.16685602994,516.194007771541,1872.26401806685,385.158443810801
FBXL16,1136.58507082773,1828.77129057804,1271.09591589097,151.38523203805,1802.85227909735,312.878081223038,124.495243711664,11.6426556039176
C14orf132,469.751083711993,1046.21181817072,1192.39047540692,972.705512105336,140.535512776555,58.3897689710714,0.298288311088806,0.730691315948773
KIAA1543,1543.16936522115,648.998387805114,204.318286263894,117.551119611713,2296.25483707667,1211.63458498005,1680.22878649309,991.751394913604
IRF7,353.795584968002,33.9443815457554,54.1577112917178,0.00593602481234707,2609.85338790897,510.919498222979,13586.3479483452,47.6498111479634
CPXM2,31.173056200375,1489.60970666512,35.7849430885092,46.5598189043097,100.563264430789,5.30369501643809e-05,738.853627797999,951.897508999986
H2AFY2,204.032321750493,29.6357421689151,185.017169157063,320.822266043032,1322.07814014474,1570.23958343628,467.573407260558,1902.67859442591
PC,669.697321525018,2357.85075568824,432.827399228539,561.355570229723,990.9847740822,1621.11123829386,1406.32071956891,1256.04936293689
DNALI1,1869.88618303705,1278.45682854437,1529.94142356174,1.66931603174621e-06,1771.91513695299,1.14480415983634,1005.70067048307,2.4292725025397e-12
SLC4A8,1615.36771709194,82.7606677235212,698.223578700777,34.15077378421,1.20776746810989,1187.53499366707,0.163981954735264,1.35268405771936e-12
CHML,380.961640087377,21.9069886101958,1269.18448425074,2513.70668762799,0.0111101095183228,1386.67366461357,2.55522306217009,2064.8718606707
INTS6,935.906392735624,905.082610582433,1445.77421887141,1162.42077018713,12.1762597805225,824.978215317661,6.67883647824226,605.913362153937
TNFAIP3,84.293534044483,0.0147936270386293,81.5958140710598,69.8217151654862,0.0020071136673635,0.142382270725327,584.314814676775,660.669810890433
AP3M2,1916.60464484981,423.64169307856,508.82596763851,2347.60976854071,204.471025629028,0.103764910621816,195.620201574348,444.381947906183
BCL7C,55.9546118736183,15.5568653810006,65.8929116267324,45.4002736280915,5493.31673781732,197.049408444901,2921.64899254943,930.725904877935
TRIL,793.595776807684,408.279704287144,903.021609947562,854.995558740231,592.406811179846,2907.83298057713,268.39049596684,0.00853972450589972
C16orf45,456.630350585828,9.13361776435478,1915.94370073577,0.00327790106336625,1099.7850316346,157.877451811431,47.0145127461128,7.09932394523557e-09
FGD6,1241.35432657903,623.614991876982,1510.75953853087,1.9526818796411,0.0010536049463034,441.447944903311,381.766628711055,338.924973240803
ABLIM3,1221.16715281413,3071.74251858663,1175.25936210121,1.0110092930048e-06,552.871650163715,592.511025421654,183.507359385946,1.53637564211291e-07
LMO7,346.76015366123,1555.19585079201,629.925215861435,826.801720130199,0.534933765613888,2029.2689763622,0.646029816042124,1554.93408176074
NLRC5,84.3667684997167,15.4937792229222,36.9279080128289,5.97456729662884,3.5648377150712,12.5911179098957,5024.40982969365,427.404897421131
GPATCH2,1208.81503449403,563.768128997379,968.196179285726,442.378622610387,36.5305959409458,573.654746644214,267.241577953776,416.262416989855
MRPL41,108.022106468553,266.541940284513,0.0269949963719965,1.64218173573089,5057.71162273896,1654.64899121271,1801.92948056526,8.80138518361046
BCAR3,1446.94910733111,412.676158251754,690.718005106088,705.367546045594,338.200175416693,619.744942474489,8.88621374382606,336.089535425489
IQGAP3,973.153259821527,1.49726038637114,271.585303194288,1846.30353397004,235.650290970589,1184.94476128172,564.778304503678,2872.24206263928
RASSF4,0.114195420428142,11.8831744225755,0.916218733637856,0.515575649350848,856.087570634665,0.235133009370855,811.674770290025,1605.20262901612
RBM38,379.201760282453,0.0302968011606374,1.33064043862152,1230.0483705262,1494.34877497383,338.494308906136,2303.22874467664,2336.15029112929
PQLC3,1024.84141565709,0.229851390811905,971.205631439247,762.899346698527,615.98384160011,439.883115872152,1904.08382222655,198.824290828261
SIGIRR,1512.80123858207,940.347042047836,283.249723728538,7.03873861201422,4205.93966887768,283.808779573633,3012.9267276759,0.9115206731645
COBLL1,146.22901815885,386.087723282589,1783.22404603912,1121.53119693935,0.0548235111724056,973.216737562865,21.5091682393184,182.30625478248
ENPP4,900.712459205311,2529.73711791446,1239.26217989038,25.1232306543752,0.00124338397217748,17.3218882539814,54.2710298660244,639.652556475471
