S1,S10,S5,S6,S11,S4,S7,S9,S3,ITTH
TCGA.75.6206.01,0.278649832326513,0.000931139495669404,0.040332696059483,0.144403156741581,0.183373503944926,0.340028308208079,0.0118827560794592,2.84085136430339e-05,0.000370198630645524,0.68505796053322
TCGA.50.5932.01,0.0366248202537725,0.0200852085728,0.158224552631869,0.196272828143861,0.154163693462633,0.349869557613497,0.0498297203177832,0.0163587000444975,0.0185709189592862,0.799803322439079
TCGA.50.6594.01,0.0263587011504032,1.24949165683961e-05,1.69438264131697e-05,0.136762432035948,1.20893535753822e-07,1.20169690168221e-05,0.61718359746892,4.15178962355656e-05,0.21961217484296,0.454922865919255
TCGA.49.AARQ.01,0.00705137017060887,0.0256407375545501,0.105466256600867,0.427146648341573,0.033376024361045,2.70271132576044e-05,0.401211271922669,5.87364634174725e-05,2.19274720115553e-05,0.550889699550826
TCGA.55.7574.01,0.00742412376126201,0.0531227788819644,0.130886979269334,0.113899157824747,0.0391308311067544,0.629064290132315,2.07578679635821e-05,9.87522481614744e-05,0.0263523289074977,0.555824128411122
TCGA.50.5066.01,0.008934581886847,0.59188552255652,4.5356612296876e-05,0.165791139146126,2.66565973732571e-05,5.65526206013242e-06,0.157603512436059,2.37659227267896e-05,0.075683809579991,0.517972704476224
TCGA.86.A4P7.01,0.00517981001267395,0.00336860368575449,0.0493875713462268,0.204585498486992,0.122979715763248,0.503070613548563,0.100642926121484,0.00908072275214644,0.00170453828291082,0.640643894722928
TCGA.64.5779.01,0.000114508524307788,0.034245219748018,0.224308888192031,0.527284798102112,0.027068862841513,0.18670146120415,2.82718163405371e-05,0.000140514731831799,0.000107474839697129,0.547462443902007
TCGA.55.8096.01,2.52199199878321e-07,0.0139626927264861,0.0733369237114618,0.275859141937032,0.261110194368435,0.0204551883584532,0.27183581649923,0.00644411828882373,0.0769956719108785,0.737616687174325
TCGA.97.8175.01,0.000990428161972208,0.0322910985097024,0.049682711961097,0.20381775746473,0.0936793382552509,0.106892199398951,0.305675212579618,0.0275199323343537,0.179451321334324,0.828910510140157
TCGA.44.A4SS.01,0.103326789453625,5.52815580210742e-07,7.19830502302043e-07,0.43806884002295,1.00027863566755e-06,8.48817322689103e-07,0.118198409038742,0.0796232992627475,0.260779540479894,0.637415463316442
TCGA.91.7771.01,0.0452446705251132,0.0549892252220106,0.291560213295378,0.103481120615015,0.141977125997006,0.344974354911367,0.000865575416743932,0.016491812916142,0.0004159011012246,0.735014116536505
TCGA.86.8278.01,0.000186197600740356,3.43279220838143e-05,0.0379809558970048,0.200708403461234,0.358327400376267,0.0847728325410099,0.1855388882846,0.00596064637890132,0.126490347538159,0.741868123343514
TCGA.55.8087.01,3.24578206272235e-06,0.0049900012143873,0.0386149408169802,0.304874690917733,0.369176130431309,0.176517932594248,0.10317600339427,0.00248324451138767,0.000163810337622166,0.65490818422649
TCGA.MP.A4T8.01,6.16510493783641e-05,0.0371111159981274,0.242041486869885,0.348697014641234,9.08498238089511e-05,0.181881380288792,0.122219953298195,9.081020031274e-05,0.0678057378302672,0.721199555059646
TCGA.L9.A5IP.01,0.134598153706036,0.0110769773337814,0.155661302191187,0.017577855174387,2.60940947360792e-05,0.00327705453732248,1.38484881995245e-05,2.31428894338653e-05,0.677745571584916,0.438481242849653
TCGA.55.6979.01,8.36770376625761e-09,0.0122824943413,0.0652575222459672,0.387928764456832,0.0848865595902595,0.0527903980144379,0.345330989978788,4.75874598498328e-09,0.0515232582459657,0.675451999003164
