S1,S3
TIA1,1446.99933489911,1505.44087785243
GLT25D1,854.913450324368,1026.95671971083
AKAP9,1957.93187084812,4.52933731619263
MRPS34,1175.1118174887,3958.09391233501
PGCP,1651.47544770858,547.57055511379
ABLIM3,1211.35805419622,1107.46459630469
ProSAPiP1,1502.584193845,499.943061265914
PPP1R12B,1165.21961205401,204.658725996654
NR2C2,1881.8891482743,0.0199218509198693
PLEKHM3,1819.2726048824,0.383098488281796
SLC35C2,824.781879731633,2945.71099459623
AUTS2,1621.01003208697,170.555530666985
RAB27A,1592.6928187418,0.28729003408927
ISOC2,1267.46559039938,3768.62036308989
MRPS25,1506.47025315687,3069.57980891427
DBNDD2,1222.93475689834,1833.23497717626
NINJ1,1059.24648840049,2851.85627813327
CAMTA1,1397.04041224043,1150.1816475953
POMGNT1,1282.1692493467,2307.6136072574
ANKRD10,973.248787189894,1819.40236164125
MRPL24,1009.64176470679,4090.73133172932
BRPF3,1999.48545829009,52.5871668430782
VWA5A,1457.88111326174,393.746603990611
HOXC6,1458.78692581392,810.364315821153
SEPT11,1274.44957031175,39.5232693225618
NLGN2,1361.19152552768,1745.36369047653
AHDC1,1363.54773744859,1023.36054431434
NDUFA7,1129.82108212002,3943.1631522851
SSFA2,1476.62629636203,29.7458648385651
SMG1,1892.17778253762,20.1570610854847
SRRM3,1109.97502785814,2499.56535723381
DPY19L1,1693.83053875692,283.862453657783
CRY2,1620.84078000788,1325.8659283536
SLC25A25,1047.91817570026,1213.40504845974
TSPAN9,954.979653110145,1544.55259762676
FZR1,1447.9405886382,2208.38160930541
SKI,1269.47658648674,480.156770780756
C15orf63,914.79486742155,4086.26510787304
PSENEN,1005.93870923712,3355.94175916685
PNPO,1701.83510039866,2062.06950893969
BUD31,1041.4073539654,3818.88531739894
ASCC2,1258.67244235575,3070.91066122244
ATM,1811.54382963973,206.892949247096
TWF2,1379.70164154894,2456.89547959003
C6orf125,1173.50402985261,3395.00590591501
UBE2H,1502.11629509591,21.132043311509
CUEDC2,1219.27158636583,3666.90591205257
RBX1,916.67445381292,3321.58740735599
PPFIA3,1548.69228484723,2117.81039772471
DAZAP1,846.024887559963,3529.45730546368
TEX264,883.747146779295,3790.70336084254
SLC35B1,1489.38285706237,1844.27967568521
IPO13,1343.72445823343,1588.181146986
TMEM49,1254.37120436066,1305.81450690591
FAM55C,1588.75479212905,227.974932163768
TEX2,1578.96603713353,558.479945913885
CDC42SE1,1161.40412975126,1550.12029307043
C2orf24,1095.15504508931,3191.75211560244
MEF2A,1562.66622736308,44.7977938879573
ADCY3,1075.57493814365,402.354311836962
COX5A,1171.88138983726,3514.67638238788
RMND5A,1737.01079429666,924.650599520278
DICER1,1660.72436066071,86.5072132974474
NDUFS1,1840.53731036388,368.461191895098
FAM3C,1570.94136794667,954.770656679792
CRAT,1618.74901434557,2121.59425789391
DLG1,1689.78128674949,287.365874123122
RFX5,1949.60536081864,433.660610277223
RBM42,1113.25455168993,4201.25375569206
LIMCH1,1702.3861656694,945.015972213522
SCRN2,1220.21515990007,2611.33432950182
OCIAD2,1146.15380951745,2434.76824323166
MPP2,1621.83570969188,587.298860160236
SF3A2,1179.16177969524,2809.40041613695
SLC25A22,1344.72914815926,1429.83182122864
TAP2,1352.99139876821,588.728297547989
DGAT1,936.751959017807,3522.81242740245
PCGF2,1329.67453923873,2432.27357750855
AKNA,1459.51219451379,522.531997943192
CHD6,1948.63181457261,0.468813732913784
FAM53B,1496.26239319251,1757.13266654007
PDCD5,1104.43891380037,2742.7459102961
UBE2L6,1401.96488820197,1699.9016677376
SYNJ1,1680.4389335146,0.247692661485643
CAMSAP1L1,1756.72404805274,744.945310011846
PBX3,1410.59521702487,1122.50510385381
SLC11A2,1684.25780159817,206.301685338208
NCLN,1105.20517153939,3775.46274354191
ACADSB,1521.16112908737,490.795652868016
YIPF2,1472.93760199467,2110.50601301124
OGFR,1368.54951095,3304.24344522708
SRF,1052.60207443092,1365.1552001824
EIF1B,1443.76094638688,1013.20176210517
WASF1,1507.80689244576,506.473616162565
CLIP4,2007.6899046765,151.938713743434
ARFGAP3,1005.87674923007,1691.2870527859
CSK,1052.69655246422,1823.29406465138
DNAJB11,1076.46833369402,1586.35224131972
PPP1R15B,1341.51309977763,566.466410718687
C14orf43,1717.41959122383,199.233245521811
SIVA1,797.102601732576,3268.86311624127
GLS,1449.11615633732,251.006185687688
MRPL49,1594.29770675003,1752.2109317529
CMPK1,1263.749726898,1337.96479270146
SLC48A1,1220.42791770776,2462.40910617243
HMGB2,1331.84502733601,1268.0948202609
SH3GL1,802.195862106939,2778.44894171889
KIF13B,1674.8769249977,661.476537657948
RAB4B,1042.6610078544,2993.88475818143
CPSF3L,1168.02387453301,2979.16097371537
EP300,1576.89598158196,9.3134474135796
CXXC5,1457.7409232941,0.876782688764027
AASDHPPT,1910.04059189046,345.309494280468
TCTA,1487.57205527712,1582.29094303722
LPCAT4,1179.20414478641,1777.76703421643
DIAPH1,1539.81842898041,650.226144915352
PLEKHA2,1317.88057582047,1089.73466910142
RAPGEF1,1218.89902308208,913.684356572564
CCM2,1177.1379821004,3646.64374580909
NECAB3,1280.72216989228,2993.96657469202
C11orf95,1427.97544750309,782.928051240908
SYNRG,1915.76374032296,239.055075840905
VPS33A,1529.43653332615,454.800681568511
FOXN3,1241.43229964944,850.477365839149
SRXN1,1682.43911812741,1718.5820481488
PES1,809.745564845342,2676.71396165517
TMEM222,1035.53478605238,2979.38196506057
TXNL4A,1103.22640069658,3464.55550557033
TTC37,1554.40390516971,0.0147534852663672
NNT,1432.42201303076,116.14546516278
C1QBP,1150.36052639204,2662.45308845146
GLT8D1,1733.18249496082,1274.01245515677
SLC2A4RG,1119.38804831488,2878.11707701194
ASNS,1154.59978748402,1776.53449058088
ATPAF1,1206.04342973466,2147.70634721541
