S5,S6,S1,S2
KDM6B,1205.15249726235,1497.258163963,1583.92510539711,384.319034013853
GIPC3,3099.32119284768,172.275071594384,313.915858313036,14.7189497378969
TDO2,1.72041472289166e-09,1.98953945770442e-05,1.13010235788603e-07,5293.21335106557
ESM1,6.48671004737063e-06,1358.31687074152,33.0464203512448,178.037986325037
GALNTL1,554.705816941245,555.892297701627,7.13753233483196,301.251402072275
BCL9,1112.87668106729,1874.9900119583,0.479260837995388,918.230716567996
EPHB3,4.9134327737531e-10,1439.73777354256,3846.27247005627,3364.00675288942
TPBG,0.734670601210791,1356.22194965904,2.02917008150608,3990.8505812823
TBX2,505.946428378654,1373.00965553132,4527.0459125703,634.040547153104
NHSL1,304.695052720015,970.661430333044,8.92480212387004e-11,129.869917475285
DCXR,2.83069027817774,0.272009912165684,10685.6345114049,0.598079499801388
MYEOV2,438.128091568356,0.012933212140319,7459.1137965345,934.139084476298
IL33,2625.72739140431,391.880239075783,5.27730453648454e-10,33.8841574744037
GIMAP5,732.410390108466,0.56654574368974,0.00624350515980348,0.000893634873415786
KAL1,4.42251325699683e-10,1359.40768808451,0.000124940413719234,2238.86374269264
GLT8D2,8.26892729877752e-05,1164.26907128171,514.568466252261,4326.3858774575
CDCP1,241.622851222701,234.154555198012,179.421836583066,1071.2850602876
RSAD2,756.781907277619,168.859701419599,0.0544806661316141,0.793760396338931
GPR56,670.210491156043,1053.04062786868,46.567514695979,0.327253644239475
BAALC,939.213219644653,374.118494492037,31.6114555557541,0.237205574477246
TNFRSF19,3.27491301897407e-07,1176.72792644435,202.052026546076,3442.46869705219
HEBP2,740.597120566416,178.022350904868,2934.80905980037,2976.36056615311
PAPPA,63.8223173948074,759.000254070972,1.32032329994191e-13,1191.26796438689
MET,3.61935084338385e-05,1031.40257231228,0.0789164509346659,0.315506830909881
SHMT1,2179.92750902082,555.995030107068,556.818687745016,1.47038750139031e-05
ULK2,2745.42189423954,1111.08410993042,257.678002355106,126.209739386922
PTPRC,374.991295305913,255.25021016662,4.65150910166937e-13,9.08080934756792
FGFRL1,0.0613564299075301,1294.62909405018,5193.59196046295,1574.40879451494
AASDHPPT,388.267952256795,1061.09696754099,255.266317564329,344.109125178187
FAM176B,0.00316201203075288,0.000169742485172449,9751.7960571333,410.681616654719
FHOD3,2637.84480433131,353.150226637014,486.284476200214,2582.68183272018
LOC645166,5.8437733197959e-07,365.495979899467,2572.92177145651,0.07290793741837
LPP,3054.39119186083,289.399427679524,8.16098771360876e-05,0.000588526526773845
CHRD,30.7391490878828,985.941448632624,5.02760026795708e-07,778.835551974941
FERMT3,0.728447784421239,0.000161493082811282,1193.57596959894,0.0130103012966434
GNAO1,3003.40653890785,361.651169875598,0.440537369056213,1.08984895204599
PTGER3,2521.20032707969,130.698162441464,5.66894531811563,1178.12935868487
IGSF3,1557.20176808211,1318.68107461303,3.11377229352113e-06,1288.38381605563
TMTC3,407.654463499553,839.732668335312,128.173040180527,1865.87669690815
RCOR1,736.290497908224,2020.56572315506,1.51002689852818,12.9799605346257
RDH10,396.126043888887,1510.81377305393,0.0157502136974811,4.41985436352624
ELK3,6.69293846542581,1315.35219938835,1.11386939362768e-05,2335.05946149088
SORCS2,2.39179299492988e-14,915.109798467531,1508.3047473468,3703.93239712191
FAM20A,7.89588797569223e-08,211.875304875761,1094.0259639822,367.231496633173
ALPK3,2504.48692698807,261.098539231557,1.41892575988616e-05,994.096193014037
CD53,145.028501025629,3.38257060011266,0.00416680367437843,16.9343632560765
PCDH12,153.923605219688,747.11547898962,671.672609265148,1111.78181937589
TINAGL1,2892.6072235399,275.878253832727,0.000390798122479294,261.833300055982
NRN1,745.600657521828,1421.79471349782,847.349255023303,542.340644061971
RUNX2,4.28553475554877e-19,418.137731613525,1212.12917159543,5835.76757534652
FRY,3436.5545509009,277.488913455669,6.07800045420258e-09,31.2411685119448
TWIST1,1.1978216011677,1088.71136920833,1994.93717150362,4840.78104180459
C5orf4,3211.62809300567,544.599707870633,1264.04931444129,16.4291184815397
HEYL,235.746036990333,963.222589018093,5.96165754863171,1985.94154819384
TRPV2,1311.00693428911,2.85271307153431,1825.01402461033,795.219318992491
SPI1,1.38953724646777,3.57137047796466e-05,732.573984293606,16.3073232428053
ADAM33,1658.82464887049,736.707951184448,1890.95486902081,66.6652270205881
MYOM1,2903.59568664138,94.8464402771243,821.037011931586,0.0712308305146485
IGSF8,415.627360570053,1049.85858521717,2628.14947256641,2396.02613519117
SEMA4B,3206.66116415706,578.314788764324,17.1890572629347,32.9644212864555
LYNX1,3397.85219407967,73.1640978214279,1635.5940047599,0.626516470070251
UHRF2,1086.24704708812,1142.64951901851,1.5348619464778,1063.85115365511
MLLT11,918.643995918858,1144.04244090216,389.345624510262,2656.81422573243
ADAMTSL1,179.753295084267,1140.6206086886,43.4423560353282,780.211540219934
LIFR,462.966199121136,1812.39513019241,2.18281681717293e-05,56.1255232182869
IFI44L,1171.61783574693,195.409729105589,0.00274575793049431,0.0170918861550068
LMO7,890.281035039778,809.855561642322,0.104221611024935,3578.72468272559
MGST1,1330.89198271204,471.657499364112,297.59276831777,2.11721611941126e-08
VEZT,1339.32539588592,1214.55657612568,131.443938939101,1720.0299991229
TNK2,722.129716303426,1097.21380156181,3014.89931368056,438.437746418416
RARRES3,1253.80310255309,0.0165149971426727,220.387643833901,6.87595005011582e-11
CDON,617.312076732712,1682.24364555418,1552.80697227951,0.972065762598956
APLNR,572.142437742076,51.7086142776808,2063.14666270958,3234.2277248621
GPR153,11.2691090895221,1361.74394660105,971.645549457319,1575.4968473414
SCARB1,343.925126797521,1197.1979777793,1981.26526521855,3.37015395539993
PPP1R3C,2734.21467670898,396.544296198023,0.0421482573219687,989.870040083187
MMP15,121.985160388988,752.531493182036,4634.583578173,582.814940012752
TPD52L1,2322.49221137834,505.961796278076,762.50175240395,2.3881942412219e-05
DSEL,292.903701730164,1202.70313562414,1.59184290532329,3592.34832306345
SLC5A3,1157.90100104502,1525.41757598928,6.50727671163392,53.6871508727474
HAPLN3,676.549686323812,372.079438720548,1115.00801699823,2323.9019957479
IL10RA,147.720933707072,5.57594451182817,1.94987288607654e-05,0.00132814176873772
KIAA0802,2069.23481727721,573.047484655058,7.36471263297004,1003.9604151706
SLC39A8,852.256464549957,436.603061223872,1156.47230600089,1860.21487521133
LAIR1,0.343767567622568,5.47401839742757e-05,33.7496182313125,0.0303528313011505
