S9,S6,S2,S5,S3,S7,ITTH
TCGA.V5.AASV.01,0.0033514971425946,0.543229070057652,0.000205313904372574,3.39205093033858e-05,0.195990947131672,0.257189251254406,0.570017440914619
TCGA.VR.AA7D.01,8.07180599450969e-07,6.36888334974405e-07,1.35003316863357e-06,3.99854080861116e-07,0.134928264676281,0.865068541367535,0.220842238465447
TCGA.L5.A4OW.01,0.373497783151027,0.175113219397012,2.36644312312926e-05,0.373519420210495,6.20722310700759e-05,0.0777838405791645,0.692211389885231
TCGA.L5.A8NI.01,0.103776513805128,0.467171257126167,5.35541145660775e-06,0.419363573480647,0.00740101296784015,0.00228228720876104,0.561093191352355
TCGA.IG.A8O2.01,0.0247631822627632,0.291978656400388,0.666309859546219,0.0167435314914998,2.07317004391707e-05,0.000184038598690955,0.441932537926415
TCGA.L5.A4OE.01,0.191385692903159,0.000157645403854298,0.000179877231909904,0.521955488631762,0.0641402972545784,0.222180998574737,0.652506002392845
TCGA.VR.A8EP.01,6.37834971269317e-07,0.54208799475409,0.15032926431682,0.0839961927590009,0.0382682664054564,0.185317643929662,0.704405867476773
TCGA.L5.A4OI.01,0.262235386477056,0.00515585605132322,0.000870587595580024,0.599290928732583,6.09782323225964e-07,0.132446631361134,0.53517248900294
TCGA.2H.A9GK.01,0.0255713018695293,7.44926858430445e-06,1.12453327341101e-05,0.803793846244887,2.53044109169153e-05,0.170590852873348,0.318950145975419
TCGA.LN.A4A9.01,8.57957587066766e-05,3.64533302434607e-05,0.000150671358025251,4.27390727267933e-05,0.332882734225708,0.66680160625459,0.356811853272691
TCGA.L5.A8NL.01,3.45404039632984e-05,0.307695445285745,1.50026703775685e-05,0.692217113089618,4.5811081537988e-06,3.33174421418816e-05,0.345035644325836
TCGA.L5.A8NN.01,4.03394505742301e-06,0.899697093053295,1.91290857992762e-10,0.100298871045491,7.96633916286616e-10,9.68231816267412e-10,0.181828490413196
TCGA.LN.A49P.01,3.62942717949452e-06,0.394324736167988,0.355020464772755,0.0374312671041892,0.0180389205583371,0.195180981969551,0.697047748222921
TCGA.R6.A6XQ.01,0.259141603767422,0.513378852829346,0.00355265167270944,0.163394184595904,0.0605269638209448,5.74331367451096e-06,0.657509165411058
TCGA.LN.A4A4.01,0.00748560855937098,0.312035849193215,0.175244180417306,8.85800960044402e-06,0.0877234371249321,0.417502066695576,0.716339120774725
TCGA.R6.A6XG.01,0.0980902141949071,0.316950560123302,0.0181551312187704,0.538405131593851,0.028304004053493,9.49588156766544e-05,0.6138316004573
TCGA.LN.A4MQ.01,0.000128224160114148,0.336164375593388,0.395833939765276,0.0634465355464183,4.81674504301285e-05,0.204378757484373,0.68893652108981
