S9,S5,S1,S8,S4,S3
FAM70A,0.00461799697713629,167.100829178317,214.514197184386,357.277988025217,0.0172940904987333,4.39675432344418
KCNE4,2.73062766369213,8.87494207662468e-15,4.47003900707225e-24,410.061903783581,204.108674353054,3.81002471932744e-20
NCAM1,4.63599510225325e-25,5.39915889236445e-20,2.21795653205434e-14,3365.56235130072,2.07549563097024e-25,1.22729336427439e-22
PGP,402.930077152896,284.402721904004,305.595115125095,86.0313552125411,6727.97328427803,922.83053515219
RTN1,2.15981794518189,254.370976833244,980.66903645961,654.683575685131,29.7494434333909,3.28410913859487e-15
CYP2S1,282.072590357768,1391.15227736068,9.76010564933001e-13,992.976564846909,95.6305062135024,1.88542735722377
CMPK2,7.15542661338918e-17,2.10110512617504e-12,8.33875147349146e-11,317.376228081105,1.59803490131892e-11,4009.55662532744
RUNX3,370.093770532115,69.7472355932565,163.417724993084,255.10028907162,6030.27675247463,290.782760472702
GABRB3,2.09874100995612e-05,898.218432328151,2.77131928075196,6.14790022472951e-10,9.42856157067695e-33,8.62221045580099e-28
ABHD14A,402.806241673082,178.970076273535,13.9406510864985,0.0445172925355834,6563.50252028257,345.34679205526
GDF5,2.73120092549143e-05,1358.49880251803,855.344990648624,3.44128050575064e-22,1.83518933641877e-05,886.189458647822
CSF3R,34.1223025365722,728.964798193429,193.826216766746,0.00201112438927561,145.694047042983,115.327143054712
MLLT11,69.8894755447152,1208.93169815956,326.632417560117,2.52722768742556,0.000474855378115602,3.88154509000175e-20
GRAMD3,197.685552946883,145.296184246599,6.1580974933608,6.70842074126698e-08,5.35835527120057e-07,278.84813364185
CDT1,377.874876221579,88.9044587884381,207.489204216004,456.583513337849,6108.79657809347,237.889738674061
PLIN4,314.387629751535,161.210817731058,18.6335555232938,0.243061934837933,2223.43561794155,3.36354046112531e-37
FOXS1,233.284947118608,4.72687518828892e-13,178.646099023828,3235.15598288913,188.601040170496,0.00342134468665344
TNFRSF8,0.00974226056876364,1699.35729213987,114.924042291828,3.51085139852825e-17,0.514592012762512,394.15222089771
CCHCR1,1041.76052839862,301.118998970988,73.4929134351082,528.179413617469,6318.83700308016,138.986063899761
GRIN2A,285.508006452751,1092.66788582897,2.07679691996658,729.942124952654,2.63490629260133e-05,161.655795915692
BOP1,515.666555732516,587.762028350167,219.438916008627,267.337792512197,5928.31410612934,0.0205842488701718
EPDR1,2.04212514618161e-21,718.270973190172,483.370337717954,7.61432157609251e-18,705.558384848453,603.018545718342
PELI1,318.586006548726,519.29755870169,57.2365351334251,822.725917658968,6.57794521883457e-11,1.97459934822742e-23
CCDC74A,2061.97506449015,967.788278837525,9.485240988175,0.803156492266866,901.300917158297,1060.98300506174
FABP5,0.0663500683086877,1516.86383867747,3.10795932811729e-07,275.128919534886,1.5582454682639e-10,1359.65496580959
TPPP,3.35683531073372,979.433477667477,1264.94759327089,514.710619116118,6.61220077929449e-23,8.5842909010956e-13
AIF1L,512.478613181845,2.01354174139654e-13,241.053682221821,579.974423466451,5370.31762328008,4.13361824837546e-20
FIBIN,239.575511458104,345.702073901214,433.208026911661,1108.29969330642,269.364113610577,0.0125913869767181
PRUNE2,3.93567145936373e-05,850.84146320753,2.4128750740024e-20,5.07961302684894e-12,8.81961997734856,2.67225733689166e-30
CCBP2,811.397735577062,4.4196108486707e-08,594.562863227579,4.29845725837028e-10,6.26258886924499e-09,484.449516759767
NYNRIN,3.14991517318883e-06,938.817299754559,0.0214653985619821,2997.61327515596,557.26854606058,250.60193049394
SEMA6D,415.724581321323,0.182410676343896,749.633334278797,546.615252250904,1.87453375540335e-11,529.302206470041
NUDT1,441.752632213412,250.105450471784,43.0898043809072,368.8847382911,6155.74346274874,634.543232752829
GAMT,879.14745534919,700.620599319326,327.899004824185,0.00216929071218062,5816.31974458282,332.836535201332
TRAPPC6A,908.6606451012,296.937512625097,321.910486494157,19.447900756207,6246.14931862048,584.373114253279
NTNG1,4.96563856721335e-09,194.766071695267,588.779944850384,0.000204909445568613,3.80364347586721e-20,9.82486122045206e-06
HERC5,4.14149749234201,2.34154345249586e-10,0.000131347388738858,317.816536801781,17.4986104288636,4025.05790461265
PAQR4,101.360077679955,393.94083487096,427.684110632325,645.685938582118,5977.1138519467,580.48395528379
E2F1,525.652864663973,407.431681502175,377.310549558872,529.913833306816,5736.67623702175,1.11600223322216
HTRA3,558.01308479613,212.045046504422,4.53146386470318e-11,597.29443190853,1794.19304288237,73.2689877157615
C22orf32,1297.90255002634,225.056841899709,70.0602780933955,0.0920377762496739,6143.43245448399,326.791493638792
CCL19,704.586799069037,1.09118430164392e-15,44.4803425686408,236.253895766695,713.414805903437,0.0132569696047559
