S6,S5,S2,S7,S9,S8,ITTH
TCGA.DD.AADV.01,0.582449724529092,0.255974498011569,0.0396402808165679,0.0328801546696215,0.0312057473020383,0.0578495946711109,0.65685734615783
TCGA.G3.A7M7.01,0.478912505430659,0.205826268233474,0.076659911028871,0.133936813295606,1.07528208653793e-05,0.104653749190524,0.770438620371638
TCGA.DD.A4NK.01,0.388486215820293,0.464558197931258,0.052668162269537,0.0566611302634267,0.0376261016574137,1.92058071915856e-07,0.64997030500939
TCGA.ED.A97K.01,0.795028577004802,0.0297540283199241,0.0993278433438206,0.0014497841147549,0.0264929479677431,0.0479468192489556,0.428426094502134
TCGA.T1.A6J8.01,0.645002877215419,0.14188714286737,0.0690932971258504,0.0895777934557382,1.10612330694981e-05,0.0544278281025531,0.624646915508268
TCGA.DD.AACV.01,0.60831569726428,0.269212126930803,0.0164975896878311,0.0735708292774308,0.00367977657262207,0.0287239802670331,0.579285065395033
TCGA.DD.A4NF.01,4.17308528812744e-05,0.0731813309493274,0.85292443479219,0.00356247803204068,0.068993037774296,0.00129698759926437,0.301735943113716
TCGA.DD.A3A8.01,0.0267584108303763,0.218826639713296,0.562024689547577,0.0974442625471711,0.0512356054835328,0.0437103918780468,0.708348548127857
TCGA.G3.A25S.01,0.617146712004679,5.76706185784437e-07,0.112705306736665,0.0823422517736305,1.06538014505831e-07,0.187805046240825,0.593596485301131
TCGA.DD.A1EL.01,0.391069788574043,0.0128891965067734,0.428209545549897,0.0265279523419954,0.0220359544978776,0.119267562529414,0.68111500128568
TCGA.DD.AACH.01,0.781305949264215,0.003114198733048,0.149408795928818,0.00129986275889629,0.0063350024862582,0.0585361908287644,0.391606287521596
TCGA.WQ.A9G7.01,0.725396963320901,0.000418021778137168,0.00228419251188645,0.0111357894222498,0.0351521312827034,0.225612901684122,0.420660066330564
TCGA.DD.A4NO.01,0.501735060245854,0.218071506529511,0.167244178594017,0.0313101770585923,0.0532373087593904,0.0284017688126356,0.749527971216777
TCGA.G3.A7M9.01,0.632979829570491,0.00279818366874447,0.0136712022392082,0.00430299015143395,0.180045921809706,0.166201872560416,0.555322521054978
TCGA.CC.5261.01,0.729984619151105,0.00722601924708037,0.00334177068870349,0.000640198864875729,0.232546738516353,0.0262606535318826,0.404028735992232
TCGA.ZS.A9CG.01,0,0.257875125235122,0.654834910540605,0.000233748943358983,0.0069542757989191,0.0801019394819956,0.483017738758459
TCGA.5R.AA1D.01,8.58274387594524e-05,0.491358111021377,0.0609707852437198,0.206287121840366,0.156380692582589,0.0849174618731889,0.751051606936334
TCGA.BC.A69H.01,0.0895262533720297,8.43394874884992e-05,8.53859509603973e-05,6.45580533301509e-05,0.384679735553778,0.525559727582414,0.515610719116668
TCGA.DD.AAVZ.01,0.322528928493658,0.115430023037758,0.0370861559433042,0.0607265361746033,0.452670838785128,0.011557517565548,0.734930026782863
