S3,S1,S8,S10,S9,S12,S4
FNBP1,6.36877042146316,355.241002456271,658.073669748656,372.427070774721,709.11060756225,678.585528389028,0.00714173645737693
IFIT2,1.05063157677119e-11,1072.37475466974,217.88360851182,3.30932586128067e-23,596.860221266434,1326.32264510793,3907.33782405703
C22orf36,5667.53951831821,983.038049939256,1.13396357047782e-11,332.983817698306,5.72351900440536e-19,6.09465557002611e-08,2747.87548343502
HLA-DQA1,314.438655089737,426.781857347519,180.921292604294,2.38908437587162e-26,4.78741838629666e-16,1133.18961363681,0.1807069392293
FAH,1264.93984908029,0.198991858730262,2839.44496932663,718.67282052189,6453.14215854574,432.263270068202,1617.03445653899
PTPRH,852.47883026564,294.57888375341,1596.60028497586,0.0818701547064588,3043.73574749256,3.76932265947484e-33,4590.85309065451
CPEB4,0.00737247821000029,1032.40000373091,7585.80565825439,0.491465859812594,4184.6314837334,1242.88233070602,1771.44556199239
HIPK2,7.14029643814591e-07,323.332305818867,7182.999142047,587.523354082306,4130.74564637058,405.015305572375,535.358958387153
FZD1,1012.59114692114,863.696441736379,1009.83382133279,392.368587833969,26.2846866250754,1293.8587266849,1710.89466547618
PALM3,6097.21220688036,1504.78895491269,885.345195775676,7.11559842880182e-19,1.94762058704165e-22,385.170638884714,2373.16320069731
HRSP12,3654.39111132729,518.12649818173,2334.59227080828,61.8961115432445,6583.17162591229,86.7534966097463,1108.02058688985
CEBPA,438.774841538968,1109.92748059754,108.679257847072,1.55451180898378e-06,5584.92599486733,6.93139110689785e-26,74.7168113299336
SRGN,4.6219103995775e-11,0.0357234646739927,225.439532141192,0.000170603835337572,2.09991511023507e-14,3543.93465203776,476.370413138032
CXCL16,750.266197904404,1040.52439557543,1631.18662892506,1473.96471233825,8334.8444768211,933.564935829978,1003.57978257864
PIK3IP1,0.793386843087602,682.152352046793,1384.6227022021,743.006846577142,163.828124783675,281.058699155735,767.787950883184
NPC1L1,1649.24073550072,1011.5102795647,2.89478908113016e-32,8.84506570599326,6.20696659310578e-10,137.035585127533,4238.87484177056
GCLC,573.316245850468,547.075264363131,957.256203429473,8305.73576976253,1644.12920932319,373.348869095,238.019481619505
CXCL1,1288.58422057925,1284.90825205585,8.10546186200269e-18,426.049111388789,5.82514333245594e-10,2214.10108037061,1062.74867466919
MMP24,3432.81205197635,63.0809221032941,2784.108923382,231.101995941124,861.760181543783,1298.02663252205,1014.20992877308
RGS1,239.340777566777,175.092210283397,24.7841781420206,1.88139400293208e-08,2.20842628967672e-08,5442.38384782733,793.124307322587
SLC20A1,3.55933081605045e-08,387.74539701792,454.467663076147,457.628768541913,2059.33761001987,2357.15514184025,902.933394718749
CSPP1,2472.16339435806,2427.3727787562,405.010736175077,6.40757911927377e-05,1.95102247593567e-22,0.000817562450404794,1.49792267200363
SFN,1921.52247970488,826.141613253437,2.49934471866437e-09,4216.75604286035,1031.67284015956,2.99307309945867e-08,3156.41473560745
ASB13,948.696218386588,638.027546980125,7977.10300281317,261.057240597632,2207.00506580079,1310.61276223073,187.34495152747
NLRC5,3.45033027951543e-17,232.315932321766,0.0339813914684176,8.97679217595957e-09,1014.33951313983,2.6073951327804,1988.25061711779
PRELP,450.672455710192,2517.16932008709,721.531176094726,9.16129213049987e-05,1.22365341768449e-11,1286.88106490559,2.07200440033705e-22
MEIS2,7.39079519604076e-16,1583.87946245057,636.836634086089,401.419903388054,801.664234211699,983.03164200372,3660.8979386612
AKAP7,3937.81822188922,478.792727323575,2.12629691646138,2.83927172448852e-24,241.170766203005,683.971664439655,2383.99414366223
