S1,S10,S5,S6,S11,S4,S7,S9,S3
NMNAT2,2.94078859532881e-15,4.80916109818713e-07,0.000903976417905221,74.7564203605153,261.081553891172,1845.43177041719,688.192555245227,274.947187671721,752.00161663831
CHI3L2,2072.99493878517,272.77910981186,41.7318395666429,0.00109789093571783,1432.26956808371,429.425112791872,2.97486111178727,33.3854293976092,499.60196780222
PSAT1,0.604461771608169,3459.6735984848,649.528219554972,1887.88862605899,5.27075419336255e-05,0.0980534564356007,95.4860396193854,1.3079500161154e-05,114.48052998568
DNAH5,236.857919395725,3.95312260160487e-07,1107.34602563538,650.87991956502,1349.66999646614,1418.74849196395,420.383278388659,178.732681153715,2.28781333110705
PCSK9,486.950066484801,482.278800950388,877.267467538347,316.238328895179,103.221986894157,0.483400032102147,7.65763378861454,1279.00080473908,1066.99513527003
IGF2BP3,1.83625347691252e-12,601.638680398271,34.1817926450119,1773.70716362412,3.71373635995411e-11,1.39654481953275e-07,102.600698152117,31.9938714843895,1481.2813296157
WDR72,0.0775737530148552,1553.42864633471,1751.06292711483,610.053375640078,1.00068473051916e-10,8.74207763986174e-08,1.52840008372098e-12,1612.7410045104,44.2709061720092
ADAM12,6.51153716063318e-06,34.8887560742195,129.676330665995,401.0661456417,4.5656928453566e-07,0.106217982587782,1.87453871431288,0.000143365759843568,1026.92222635475
PTGIS,4.20715602031869,13.616840607233,573.766182417311,220.509073323997,236.26718030071,117.954925368676,0.239714528477561,1278.39258340855,5.24157877010369e-05
GATM,8.61823928115775,1669.30034829628,101.291630647221,743.798600341201,586.742531913363,0.000407219277294317,173.633264547394,3817.88811148158,99.3994528893025
FBXO32,0.505643848354289,978.476934996604,31.2281942572029,337.183488942225,1.34499861167019e-05,258.954221351556,1016.86339429121,0.675809566533327,2908.68246466006
C20orf56,2317.74288408088,0.394714809681806,871.150406943889,0.0101164277254127,1521.17753065705,309.418186124917,79.042136128712,647.989030577098,8.20537810537339e-07
MDFI,0.0722083202453246,1067.505454029,842.697157082721,834.590327259801,0.0010633743036733,10.3800150364988,684.886878823124,796.887801775262,1433.26902421112
EDIL3,2.63679908210714e-05,1055.38366076033,0.253702161478603,2.61732893330686,876.451948120832,190.742567933103,0.0380056865313686,0.00150035140340988,1117.32752397712
FERMT1,284.48977752898,34.2691417531375,531.572277678404,613.532519591711,632.125290404095,282.658933636751,0.0791023170333909,4941.77168449463,3457.3102388965
ASRGL1,5.54096782781769e-05,141.464205878133,383.816953956472,1391.12941655254,1475.57110409744,146.902174034883,370.994872892495,299.930099390326,0.0170554632125751
C12orf75,3.6303624540722e-06,539.957511741266,925.601862099776,719.625032458421,0.576662836107384,2.76352239849114e-06,85.9193148863049,5346.27040775978,18.7297268435001
EYA2,1.4944152891945e-13,26.4743636392498,343.88582063118,1476.41112278859,0.00121935173920413,1.32664213214414e-08,0.321818220248904,956.077138998482,1.03309249179039e-07
PTPRN2,0.0466317212128976,3.42035313803894,910.880517027973,773.267768125078,1068.3522006446,0.419783593035095,0.121223964222265,5574.34555517579,0.0763266679248977
RBP1,0.0282297752705478,1397.32199157211,1.36124367913327e-08,620.770250259677,0.703443559714402,9.21374173089178e-06,253.882494673621,86.018565018276,995.826018700452
IL33,349.997501592737,559.958450118316,171.127755510554,13.994946938835,1642.64516660436,421.09518820277,0.00117007903173061,3027.85999448116,34.1375056319835
ITGB3,1.05532731802214e-14,0.00512968513670651,1.74249265942877e-12,5.6143228239919e-06,893.270319979768,471.868031746934,249.122055827355,0.00144007249186535,1035.2922573261
SLC17A9,153.758143488385,0.50396501099407,2549.10444413733,8.70806604824215,146.594895378508,122.265270177428,1416.02915383451,1391.52011630877,32.3130550768381
TNNT1,3.50339588100148e-05,2192.9593414772,1.12136979939101e-08,194.837305601867,2.80396572786476e-13,580.28408247658,941.710652468628,1.62139702545616e-10,1728.46321713245
WDFY4,0.00018242605675726,0.00107314603272424,2066.75591964892,367.569899308906,421.226478203176,357.571228050884,0.000450657984076846,9.69952538694832,3.69810938727667e-08
MARCH9,642.786411532836,120.492527181624,990.695577683515,232.148056554047,382.716366608128,756.87538357717,2167.35535193778,140.100705159686,13.1013495496272
KAL1,12.0570981125526,210.047943248856,6.69932445385098e-07,190.810002809023,1249.4114082002,1675.71321385247,179.794970663225,126.774040812287,0.00548848920287079
LMTK2,549.599305984452,0.123214516302839,32.3184632762685,1222.77358318212,514.734914807678,771.113365493779,1.35973925446871,1137.76070365068,1401.2971399656
TRIM16L,3668.70383498003,1756.74760969987,0.714502747771897,845.386510114059,2.32130032498636e-12,2.88533809988685e-13,5.75950658958327e-09,4.01991928853996,1624.73033893846
SEMA3A,5.93467664259461e-15,388.373403203272,0.000333594079291142,531.620238647164,2.75755241800928e-06,247.722226463102,457.155194872605,6.44533558608091e-07,1342.79202122395
GULP1,2229.08738095872,2263.90145137831,969.28941399417,1063.00944239838,94.0356268944927,168.989556853964,0.625653321026549,1184.00796409304,1026.61244288406
SEMA7A,0.00163686790028498,14.0846522344495,0.012239377006003,10.4050006494814,0.396971914137842,31.419179882835,238.146631388118,2702.08424374018,2035.62262390159
AASS,255.515366379688,0.3541621882631,577.174716725753,406.861336674734,1217.1338346494,1409.52909313922,62.2374883116659,207.372382701123,2.85505453564267
FMO2,447.193426890707,132.255027627599,12.5596876227402,9.45536224493232,1664.58261264862,868.638465414824,0.00146251661945224,1109.04466024772,0.00018233188915565
HBEGF,149.257883898743,24.9250529880583,1.19517700671531,0.0413270220946037,66.0940459700983,2225.30421438201,0.805813385813069,1740.38176743698,878.897853955169
TTC39C,1076.66794504699,2086.31318445594,2666.91661876045,1190.28350187732,151.265106503635,230.494782699148,2.69907520750914,4.95375313303131,24.2151751644497
ROBO1,0.84161777707243,80.4153534559114,399.173097137146,1534.75058193231,621.259016446765,54.483646397292,0.00253340900588157,185.358143195685,605.100121022574
CKS2,0.0242189267593635,6893.11048508454,591.945640090496,676.773365399022,0.00121495392397978,0.11955412961318,380.559741946911,0.34879217475161,1023.77854676905
SIGLEC1,3.01634195178604,6.92109929968615e-07,0.613291619668485,53.4653278387604,482.001361315628,644.89734934929,68.4163479629462,887.615871487692,7.1984359036189
STBD1,0.00098296512469083,1280.20476102182,33.6804138185998,369.613404357586,882.611362322987,1387.1204301682,1381.07933182046,790.83237355161,1086.03472071631
BMP2,924.611106403518,1799.35492272901,870.694756803445,0.63770117065467,689.38708606287,1458.99129793731,0.0251788779353911,1895.86336711925,402.075955368725
CPA3,1.10259994828857e-05,1254.79937200253,1.07622485430138e-06,0.000971225509987725,2746.29482133042,290.162699731962,0.00228619709744301,103.506360795411,39.8666290513227
AG2,192.602450994977,482.642444719197,1255.23033843089,0.00586408228131879,1215.42310852885,2084.20619162707,93.6533929377947,467.915883180694,80.0490296382343
HLF,4.15692735262438e-08,97.8163976460689,0.27377924278597,0.568753329989133,2709.22143573932,1316.90704583153,59.5996599009571,0.000316322944856399,2.07798550468872
TOX3,2.25796792353207e-07,40.7127098453522,1860.4633148844,1084.84040294345,1182.76949363683,725.381775112594,3.3612208695222e-07,1653.22872197041,8.01080101645513e-07
COL8A2,2.53598651333854e-06,17.5566067640975,0.00124845084555357,7.11663807933393,592.567731081466,62.3267148742602,1556.70709560303,65.7343665687462,1.94275082597882
CSPG4,1252.51017143478,0.0487671258197154,396.09744499807,63.3857943461816,344.596388862531,669.259157841482,175.111566765723,620.038578538067,997.057411011868
LILRB4,55.691727115729,9.47426506970169,174.506908364834,296.102187669796,2.97032619699153,4.3315920342357,5.35958838962461,25.7011496232481,172.74432238727
GCA,96.5835324024039,1871.70930151585,254.966471945501,680.394399559553,344.865886664125,954.325379445638,930.075234698929,153.438416746727,436.356626087515
EPPK1,347.52875892186,4.67075217689035,1222.19593253287,955.97026380019,229.552018154304,1607.12518066092,301.830650545643,549.314728498989,1224.78947769709
FGFR2,532.068794252785,87.472389559859,0.00197735659717409,852.212565662815,1861.56056907373,614.701717525751,0.032839994556096,1385.73695329277,7.4297460759352e-05
CDCA7,2.37289150465145e-06,2030.33692670337,19.5535401315848,1100.25200367942,1465.91591853036,4.67165068993404,555.856531049527,23.4775518776522,356.064822799686
EFCAB4A,3408.46122337063,0.145825067091837,2264.31139180087,293.03231775926,731.627693222113,152.074553424128,1923.31771683687,1591.4987557622,34.2931672365484
GOLGA7B,1.55023607342613e-05,531.016545342553,1875.37302461181,406.092427386902,110.684995081824,1362.04553471991,865.244984226405,2.04656278170166e-05,1.01108848784379
FYB,0.763220034566064,1.41335320321897,79.7377887974936,396.137726184177,401.418016886915,40.1261159690498,0.0224899167932218,145.558014617989,1438.67915292216
ZFAND1,1.85068140248456,4671.53917047999,1816.70486684169,571.191881047515,464.107396310219,675.683896112323,192.616429907724,366.34695297006,879.242870655951
TPD52L1,1542.70439722226,2370.14495152996,225.173673211727,992.02445546901,739.280337066154,2.19540472661601e-05,73.8998037651654,6.64006869907728,788.976978687136
POU2AF1,0.0652400973363438,6.67707351234978,1290.249438268,526.288713751438,593.62313939481,14.9018833658079,0.259121798249859,57.5911601423816,3.22828021079393e-06
ISG20,921.858286406666,2487.79836656298,2964.74085888639,129.5969033195,29.9244702534826,364.675978229311,789.875853950669,4776.78286213081,104.344981961007
STEAP1,0.0157549050749933,2424.66809969505,105.383029111419,150.32446628793,0.000565650099788272,7.01641889838129e-05,640.257714145461,242.190500678691,2691.63076229666
CACHD1,4.80162253940538e-05,1.58231418309984,0.000240723474081298,430.745847886536,2423.60006836939,608.548489130505,7.2122955172643,15.899335459525,0.00132503210132626
IGF2BP2,2.35089490808531e-13,1.882335376483,0.00198615428902418,1129.66190034632,0.00041715111701338,200.041742300004,92.369746046569,1721.3495564717,2312.65309498955
FAP,6.56811628921253e-05,1495.29620379237,52.1463372008786,0.270309443358718,374.281470679616,9.22891126351909,356.921115497651,1.77471027626166,810.197233728883
ANKRD22,4.77998384117831e-09,874.201920477163,10.0951902587092,5.73846727034362,1744.67841813472,3.61425360545516,1018.76860209014,2717.07192282452,1596.08590421832
ADAM19,0.611007372033808,0.0134330236290824,171.33720767101,289.642171518778,115.295460621868,78.9885532858175,8.43860187236372,392.292084253305,2598.59643145581
CHST3,2.50876918329022e-06,113.786138953241,6.18844351564751,215.703776782698,557.506400765435,1401.81524878596,549.742695725436,0.00112335822568973,2190.26589918205
CD37,15.6628400428051,37.3827474506337,105.17982331814,9.58932173148187,1118.5241335964,560.274057673686,362.211385379726,896.263505774131,0.495141665454673
EFNA5,264.797814792279,23.3639543185063,1134.88704837396,309.941151825132,1291.34649590628,782.294605561158,947.303224259451,1039.65291656852,2789.3325440798
