S10,S4,S8,S9,S7,S3,S2,S6
SLC22A17,210.417345942763,66.7835772177703,1994.33839141848,13.2232955136416,804.765542177357,604.101343860832,2.51588188260744,678.201988615804
CAPN13,230.165310377974,337.654567690035,267.440381453181,1075.9040631874,3144.8747662444,0.299073981666441,0.740003250021122,1039.93495839746
GRAMD2,509.524272180114,531.675823100735,17.4664901219852,1117.1690124664,1198.78245890159,0.238638238248381,983.51844518503,20.5477694778596
MAP3K10,87.7712694498505,8.15242503946665e-10,1912.74680896115,2.27605710630656,0.637713976759496,579.221960976041,105.921419207345,21.8445157843422
TIAF1,286.681916501143,434.742610798759,466.301103637819,624.012434033145,45.6144964289113,388.377458154922,1548.56256187055,191.427420372364
IL27RA,599.798580065727,5.84033910845538,0.000844591949790855,514.559660966923,4192.3178467122,667.451168634637,3.88314290885555,173.78847797531
SLC29A4,24.893865684602,2.2421546558016e-15,1616.9037514377,8.53202958260143e-06,208.629514073987,785.925091739219,0.0561163195773176,0.00186833750852882
ACPP,414.776579728375,4.49813274303834e-05,0.0116876541186108,5.61175148770431,456.768346263856,23.7058235429965,576.809206952666,196.1721366757
IL11RA,87.0041889900322,660.598466284914,1970.9983549913,104.568993703954,3.47922855725906e-08,430.667327895854,22.593298384688,148.041378406999
HBA1,1.72013411389358e-05,0.0570968617886992,23.2817196119275,0.0164409889032299,1.36251399958058,690.223751344657,0.36001541776673,6715.01682910142
MEOX1,238.673965577454,6.78590851893092,401.681440409981,0.0337183383662495,2.72943915499703e-07,640.539891407082,1046.15046409647,624.524143264156
LFNG,393.067798511468,0.0902823210454551,1134.8343450545,731.112265577577,0.0377516862415896,731.283982167204,91.170450153326,131.326794322203
RCOR2,338.203066793855,683.700313054661,2530.44307871968,6.39515376965545,1184.31316419019,0.0601080631873793,0.13865163453839,4.35151720509752
SSC5D,38.816985664839,8.75861642347005,0.018356263387995,125.786191743835,978.966483694366,9.49513641688909e-07,176.979346967971,1684.58967558026
PTX3,210.844662033548,385.099123517018,620.251992801991,306.673633616452,25.9386290935283,131.277663143763,514.233572457927,104.527191964999
NFASC,555.002159664739,2.17728969501518e-06,8.99639593089491,0.0170388527460373,70.7641640612398,0.0003459992476518,188.276763626148,348.235254674603
EGR2,99.8864208592227,0.000873662066119317,0.0561304038408522,0.886224689508019,28.1670134713252,37.34092233142,0.284284442874174,6449.86337271482
RSPO4,354.962225421752,602.667432671887,584.57747987855,11.735437295903,230.084561727125,96.0006764900648,5.32489560154212e-05,1.09640891140654
ENOSF1,297.677858758706,186.84960976182,319.600272088759,2160.31729305355,4.64227259252281,1038.15269279814,334.379496465155,1575.65423052105
EPHA4,294.270501778815,25.5905389261805,855.563621872412,854.695947537779,2.99460829235058e-09,224.84030740197,730.156378015166,8.84229771204803
ADM,465.702981667357,0.0179796848180657,0.000105096176299906,162.908881507899,73.6164058633683,571.963008808797,322.137542744945,137.324851588173
ANGPTL4,340.459124271237,1.25533487498215e-05,280.396101547069,57.0189877660419,279.658145423235,595.403046982014,261.563694574145,19.0108833876021
PCDHB5,478.826228574621,853.710754590996,543.750107343976,854.259006006144,19.0209309234895,21.4417591097969,23.4322485409814,487.527986697361
NDN,101.316118375022,567.21140368937,1228.59178007492,0.00209487102594976,421.008828363868,832.4185469117,21.8773399417239,1227.90788991238
ABCC3,1.38519554828861,685.167294191656,128.021183259467,37.5892393012895,0.0089600144630253,0.00222248251698281,621.83824004582,1191.3338226806
BIRC3,73.0895132114027,609.113498699901,2.27476658434465e-14,0.00082564688622878,0.000608956499244192,4.43221022679833,399.196002495048,2475.55352481729
ITGA7,546.290631209306,157.06778477071,1641.90738574283,1533.61742274704,109.929730073814,2.58124967429165,325.893590419514,1234.70730109251
MACROD2,75.1949302168289,1015.16734621107,1023.46951766206,234.030274614832,1512.05869161277,339.739389526705,0.0221793967472185,0.000358646310433909
AG2,48.3995716481955,2.66526826906767e-06,11.9544450274651,0.0629202693376661,273.049179327833,436.310593378485,40.7715649839422,4921.00867727373
KAL1,376.368090453196,0.00112993322978382,185.75696545467,1.16053494997956,107.995191478451,138.112709500816,136.350973429022,0.00278549132503783
GOLGA8B,655.452684688142,569.96030843827,772.414895628141,229.258515672386,2.41023475534798e-05,2.5547892121364e-11,602.356539963084,2094.05923637075
C13orf36,560.367762144119,727.555581814348,353.645898364144,70.4149213415716,460.074287712024,16.6957436612411,0.0381201424853985,6.01685372062467e-05
CRMP1,410.772676763154,258.311068583794,1430.04203496408,1.71879077819094,381.34041542766,2.29640416365769,0.00847613714424716,0.000380267025592239
EFS,206.785958035351,0.000205009806232167,2352.11363092028,36.6834947164587,881.13740862013,347.062833072023,2.38707554891387e-05,793.101191931662
EYA4,101.186810187188,632.861327682701,2048.91912548335,28.7233011997514,1.26547893205126e-12,0.0775703251281,2.02460401351202e-06,528.807294798783
EGFL7,4.20630767660634,4.1206086302743e-11,837.93178096698,3.25643990279539e-05,35.6987865124336,1203.90772186223,472.371175790012,2.43379376169556
GBP5,30.4682552573872,0.00122523932000254,1.13210119311942e-06,20.0189903175431,6.30843107691325e-08,234.612902714262,172.430838594489,0.0101261755204524
USP35,142.220604869394,0.00173833571444348,10.5790553518499,5166.91007206438,1046.49630341605,425.55341920644,15.9758052288375,1064.95978636161
LOC339535,58.9113930670651,2317.4477061239,352.188851205302,1679.90626843338,8.9705854806395e-08,243.205879641492,509.333642304074,148.847119055404
DTNA,83.1315532848188,0.00606176945637392,2196.62791850012,556.231162172486,0.521225067613384,208.04094727546,5.74500659696468e-09,411.030517507221
CDC42EP5,1.82123436791626e-05,343.447413319088,1034.86664809008,5.55847015277198e-11,9.3941633812251e-10,858.237156908745,601.405978310134,345.251303733521
RAPGEFL1,655.350476552754,133.942598564353,142.628476885496,841.022649773272,663.155227132644,0.0101339998060695,183.238259892777,0.0759025468072436
LRRN1,215.467017004146,0.0445570564486104,1701.80721106257,597.552150356584,103.71250014201,256.990557236024,0.000145674562230461,323.0929267036
SLC16A9,799.901256784672,1562.56576645835,111.370461305706,554.71116796752,375.803065938038,14.8624304509825,128.958009196312,667.183448615861
NUAK1,251.687711662115,0.0364107362753458,943.127716811549,55.8426978891843,11.7735114977747,1.3292478194839,0.0290208307032778,612.962312829634
TSPAN18,138.81445682146,135.829629513297,1718.37081833364,0.0127490272053342,1075.32905620903,36.88651803338,0.439252039602019,2.67889762386369
ALDOC,184.667577791211,880.598578984225,470.907839462579,481.846339011743,448.122289449251,211.521691526773,336.359913369134,650.382316943174
LOC121838,0.0250924417561948,218.471581545684,20.9088202386348,0.463982100745385,0.00590002976273673,0.0678618141707529,2159.21013591283,217.293287401829
GLIS3,507.79338118209,36.1503263177653,1567.22884427236,80.3192324469558,298.448252039198,1.62270217513644e-05,641.219470119587,702.108864861109
RGS16,75.3338741035319,0.337675760374679,351.465104441979,2.21343099770379,145.30187403642,535.047584010835,3.11773848139497,1991.29432653015
PEG3,497.277502066464,197.281666637107,754.345418769474,2.4652913692575e-05,1689.98639986074,8.69884438047886e-09,82.6612621068153,852.116762568072
KLF2,2.69732841258198,0.185145630803041,2.74079722112793,3.45296849639069,198.395932405083,371.061979996394,1.77442356909223,6145.70639965906
