S7,S2,S1,S10,S12,S8,S5
LGALS2,2060.64605370985,1.06290546838325e-39,59.5904528480902,3260.44623048295,2.57950582003895e-29,6.99278542331828e-45,0.0232070644117845
RASD1,0.00192551518758599,2583.09344200386,3146.01026769332,984.2873596338,4708.19395259761,977.79364302191,318.542405899354
GYG1,292.347002098044,3142.65912858104,2.09506889603559,3536.1410883154,0.544915193045166,722.401381579012,21755.3485554516
GLIPR1,514.580307013635,4.45131479640079e-09,2.03940278528518,0.00106598916056426,27.0839016723522,1.21763728363897e-09,2.42007296446466e-06
IFI44L,721.023835622595,3.92215049689931e-11,2491.55430527762,727.636381884921,0.000571179121755082,1.91618658689488e-12,5.49977695225684e-19
PTPN3,2463.99820761225,7452.90253582462,845.283445565683,0.0349407601323108,1882.8993546369,2179.61020959361,141.431553520149
XAF1,0.000424819591673235,1.66460425537934e-07,3763.93952930842,0.00238294106052771,476.007381799356,1.71495212093709e-05,4.52226976766427e-22
FAM193B,0.000943800572446279,485.484334900654,5319.21389462284,183.654459075521,1.38666659381507,1.31056452858813e-12,3.21380263865078e-19
HGD,2522.18202032944,1126.0999468757,8.10669296177571e-10,3.88949612363111,2.85769177880572,23537.3630415137,1293.87015284427
CLEC3B,278.445783419082,1557.0867685915,2753.08802011409,1761.52222847105,6.95442273639453e-15,1.51035508883827,6772.21788007148
FGFR4,1621.09036434247,2.06579185555895e-07,336.417332357847,577.273558447428,1874.25042510497,3632.20812549035,3.53115305087511e-15
CDC25B,115.424567221417,725.1679523722,1210.10798053794,3165.05151540504,2291.50758265359,1528.95082624412,1.46149960953109e-20
COL8A1,363.028735734282,1.28437049365807e-09,3.0772289727578,0.000140725179448568,535.973821968705,2.39592778757196e-37,1.21139157833204e-09
STMN1,791.894041527585,391.059163657838,320.095367383496,6639.90284228469,2780.78605255792,4764.42324583095,2168.23872169713
TBC1D4,1370.45258749517,7569.92127852626,1080.62399677281,0.172397542306605,0.382272805440361,8.22259775671943e-14,3839.62875812887
NT5DC3,822.704459570378,5.47076930660314e-19,905.724797010301,238.864250894507,4010.04477626638,9.88928278126591e-17,3.59596364980966e-23
TTC39A,1751.4278470914,924.413547960424,5.86737559113098e-11,0.0840149339293484,1107.6083575157,1.8758096842993e-05,2618.91473239055
PHLDA3,0.0168343230628663,1.46827169729333e-11,94.4976733363441,3820.36985495392,2758.57265724178,9.89297676045047e-16,4.2632019054655
PRKCDBP,0.935274518097866,1.14199449134084e-27,768.870764857661,2265.42013861764,288.352158161387,4.67537978016632e-23,8.52625609597076e-13
HAVCR1,2163.33249564844,2.24975998411576e-21,1.14808013859707e-16,9.7565105919993e-08,117.193260131608,1.98250574964529e-23,5.58627701582748e-21
ACY1,2396.68805627085,511.257401430699,2.27637561604813e-09,0.0622362220701899,12.5438774988902,5407.08253163135,8798.71568718501
PLXDC1,4.95240872891802e-13,2.69254490242066e-14,2296.36405679889,8.81733383093675,2.45380214962935e-11,6.47605899739599e-11,1.25634767288764e-18
FBLN2,6.57073676926678,1.62535935261228e-12,207.173572039838,4.16643018472978e-08,2.68328713979792e-06,170.694961735953,1.32047334440541e-08
GLB1,1310.74872727448,3504.49850654825,7.38089168354009e-05,0.128340878387145,3653.60384359216,5485.14789698068,14040.3249634168
GADD45A,1551.97328419961,4050.40666088472,1912.69598431106,3052.59288600349,99.4631221366879,1811.03428703876,1077.19831994249
SLC39A5,2144.79766662878,8.07574659663493e-35,0.0109859285204671,73.2339505311419,4.06974152849447e-13,4829.20858731158,1.37736879193539e-09
FBP1,2438.04874221348,636.52649630014,618.423062597866,5.13881374321854e-11,8.4856088120582e-17,6654.99759805898,82.4392554659982
KLHDC7A,2694.9398894593,691.775321296354,0.0158186345221696,1.73861531234273e-11,904.834072558169,4652.28900906106,0.00428036553266219
SPSB1,229.220729549661,0.0041604255426772,1249.45889411908,0.305064177256896,337.514489203122,0.0211667807828817,5.25085487918407e-13
ANO1,0.568814266873022,4.32160010914455e-12,1519.44057337682,0.592236100021524,1056.59056081117,6.6976426699564e-09,1.74465758816195e-06
IKBIP,1274.72840793872,0.112793468776055,0.269277154558063,2747.72684706679,281.44402261333,2.53787413048973e-11,0.00354336547483403
ACOT7,1664.44672415877,2.02920355413339e-08,0.000232084818888053,0.0216187089190756,251.224731542207,1337.43480276794,407.38770132761
AGPAT2,125.346541396028,1732.29503043367,1829.98866933728,3184.18448943522,2063.27571307317,0.199089780685004,10129.9286123098
NKTR,230.899634006312,1875.26713890963,6377.77521650989,53.2567961047103,2581.63143894235,1.40338807341839e-11,4.52352339312727e-19
RERG,888.153013770679,1735.40473415084,0.217078003608244,6270.37182826089,0.00857439022796325,3.54990608691656e-11,3749.01217556199
ALOX5,214.165150261051,4.73659939034904e-19,1.79695954232986e-06,3.11444545407439e-06,3941.45064049555,2.37213123530035e-12,3.46611119904629e-10
SNTA1,1031.38067857188,1789.92333056084,332.028872165436,3426.87921145435,112.836456973797,573.507201837991,8203.29542476547
FBLIM1,6.17347657463532e-15,4.35855426856105e-11,12.5517617145382,0.00166545290295473,294.227566463085,9.13907404971507e-11,0.00657869407220935
