S5,S2,S1
AURKA,420.66711520472,619.687058286552,4.14321933589781e-11
KCTD14,752.764596635269,246.345913559313,324.3048828125
GRB14,528.851883851784,212.302483772309,1.86780126292739e-15
C16orf75,319.050512691208,1113.20182114469,544.03808833477
RBKS,209.109085415178,377.340357684581,113.106253036069
TGFB1I1,711.239665078048,382.152646180001,306.611913462206
CCDC74B,312.796816345607,1115.7913189569,218.347259366394
SACS,626.180767144533,887.412215128124,420.733435644366
TSPAN15,267.883077159462,287.303873777599,0.0791969000693208
MAPK8IP2,839.279211172443,1.93864433140034,463.103052326464
FEZ1,232.211951719361,0.113227763730507,850.131169056138
FAM69B,676.894537986064,1378.37358187404,256.935267986996
CLCN2,364.839128293187,1346.51343748507,505.290097266447
PTK2B,168.650462896503,579.445923068155,182.995694954525
RNFT2,56.4524618550488,4.76694100410535e-08,207.618250585472
PLEKHA4,231.372387492509,288.894715922176,19.1900982679098
TROAP,207.564879482438,1212.41530477115,6.99264836505394e-08
CDCA5,247.125548107642,559.345750585947,1.22567163843665e-07
LSAMP,669.465115217754,1.37791816145879e-07,240.198616179131
SLC22A23,614.858351132421,0.888781454488131,855.138940257388
LRRK2,306.167261114471,5.63079037022146e-16,766.067377832478
BZRAP1,401.846433049445,808.365549669866,440.435499087094
CCNB2,375.647370149419,135.639202068035,1.28343632770995e-05
SPI1,6.54310866045512e-13,2.69628918523034,4.14164048895988e-14
TPD52,306.234809241042,3.16548177547696e-06,34.1120413317171
GPSM2,1144.73900550349,336.165251889983,1.22688348910993e-06
KIAA0040,1.76540988775201,320.887437453238,0.0249145904851758
DGKA,583.042113671164,156.689587882405,126.774578610174
SARM1,607.428567791801,253.174211519284,1.27261013218793
HDAC10,510.208075239462,882.407136803247,2.97596809555372
RNF122,135.154905766728,1982.29056335374,219.14762744027
FLVCR2,928.636896351782,6.10892947788864e-13,756.978072861421
PLK1,289.239501677947,432.015271928629,0.17259645344318
NPR1,2.50267255393755e-08,602.100125288738,114.40196862431
MYLK,378.81886433366,127.045020104335,97.0285423688983
