S8,S7,S5,S2,S6,S3,ITTH
TCGA.V4.A9E8.01,3.15620006834579e-07,0.136143064633404,0.0016424589726376,3.49884163241653e-07,0.826873519357892,0.0353402915318965,0.311058090949102
TCGA.V4.A9F3.01,0.133554168912214,6.53674464985866e-08,4.14502665263213e-06,0.305750331877755,0.414017289158544,0.146673999657387,0.713202470772356
TCGA.WC.A885.01,0.130119335862163,0.282576513101321,0.216020172063697,0.306046927204291,0.0368414069946173,0.0283956447739118,0.858717459415274
TCGA.V4.A9EK.01,0.221237924385251,6.79235164208685e-05,0.0071262598784759,0.732723699104004,2.93646342085961e-05,0.03881482848164,0.404019738236945
TCGA.V4.A9EU.01,0.311835518507535,0.000237259621626313,0.000462973069809113,0.155085607601068,0.469803393399198,0.0625752478007635,0.662077937086837
TCGA.RZ.AB0B.01,0.277153903235471,1.88234890358094e-05,1.02906535585637e-05,0.0222344251329111,0.261219778467803,0.43936277902122,0.643274637509823
TCGA.V4.A9EX.01,0.255799901895745,0.0238669144850266,0.000378511077426328,0.107504704746957,0.518881217770493,0.0935687500243523,0.693583996323724
TCGA.WC.A87W.01,0.424748411529685,0.00258672049339727,1.81255663736438e-05,0.441054460451634,6.78684775275879e-05,0.131524413481382,0.562464230024882
TCGA.WC.A87U.01,0.389397279013398,2.11503489571367e-07,0.263145553361699,0.344347682960155,2.13338053551513e-07,0.00310905982320451,0.615953613937181
TCGA.VD.A8KK.01,0.0480054938992551,0.0460590952776365,0.322310287951025,0.014420209295722,0.523216097283637,0.0459888162927252,0.6664535869513
TCGA.V4.A9EV.01,0.469971896421083,0.0644264446442713,0.0589437055274122,3.06183955990149e-07,0.25949654576181,0.147161101461468,0.742556220719154
TCGA.VD.A8KO.01,0.609071448538128,0.00789625195040296,0.0800778092280049,0.302790850413674,7.0181112683144e-05,9.34587571063892e-05,0.50547061127769
TCGA.VD.A8KN.01,0.12608558968505,0.0240764442856806,0.0360696546559203,0.320649537995144,0.471924349930118,0.0211944234480881,0.709599068787151
TCGA.V4.A9EW.01,0.603280828805378,0.207027147621635,0.00288555603324758,0.159385279637316,0.0234843078499921,0.00393688005243137,0.586241684603736
TCGA.V4.A9E5.01,0.257380305617038,0.615740116439127,0.091308719418107,0.0126190421750001,0.0228764674243717,7.53489263560358e-05,0.563004057377741
TCGA.V4.A9F7.01,0.393661388688668,1.1025144157288e-06,0.161084576019436,0.445249818651305,1.44788936615429e-06,1.66623680920083e-06,0.570068680758898
TCGA.V4.A9EA.01,0.0294275957882579,0.765997342792299,0.119454845211994,2.5507615024142e-06,4.6503192611303e-06,0.0851130151266856,0.430617169481562
TCGA.WC.A884.01,0.00318310258747866,0.250828540451336,0.240874922153583,0.453070809084627,3.9251434592577e-05,0.0520033742883826,0.681407040768019
TCGA.VD.A8KB.01,0.213797994686852,0.221037070548371,0.134994064523093,0.280473599088652,0.127054325852166,0.0226429453008665,0.914329507151986
