S8,S7,S5,S2,S6,S3
PGAM2,162.726885279624,1541.5003461788,409.189659932419,0.000190134815051472,1559.3848885573,1439.92200095812
ABCA3,495.832047051852,2907.16462686859,873.317744225676,636.262815454739,0.044615575878844,214.023104739511
NKTR,1867.88751247367,1.20396146074426e-12,0.0790563213080813,971.508068110774,9.22974233457738e-05,472.07765302988
GNAO1,13.2669124467385,1661.74349857942,682.907697006803,954.214451385302,0.532319673649255,1134.43639455059
CLEC11A,433.422633123864,1472.4090138618,954.561241179554,866.105578657198,2.23854551530132e-12,21.6759654111804
FKBP5,758.65389268873,8.09696885096081e-07,0.00134913049064994,0.223257353634707,636.002620031631,3467.06193511822
RAPGEF4,1306.1624486588,1.38074151511082e-12,0.00942750067725489,362.177476671359,810.877572348474,740.019930528282
CPM,1.58566146950453,549.408530931145,1.29529878142163,1140.02504964915,1211.42510842308,449.11675819635
AMACR,1543.02253139528,306.985778001445,0.066368937337874,0.265974145688476,195.876542410031,937.785783577595
FAM65B,1153.8521990391,139.359283815484,0.117770412805009,1614.61746325907,125.058722980152,979.251435555075
ARRDC3,1257.1070905002,1.92537450486444e-07,595.229302813271,1761.73877730762,0.00945589247168254,119.879311251179
LSP1,4.32785770861966e-09,385.029301696165,700.934934673274,7.33936168421952e-06,0.0962380754710026,585.022812490627
UBA7,225.652418465309,0.00179754780827396,1399.95986233977,591.732168499854,8.3562253621069e-11,5.12862706522746e-09
LDB3,243.185567768724,74.678107154416,22.6882822729838,848.972199191802,1519.55297057715,1114.77923653786
ZDHHC2,1027.68455389816,104.816373107955,0.0795833078412577,1835.4382550586,0.00231424939785944,0.270054659961771
UCP2,3.07160661421512e-10,299.565535557678,824.946836556861,0.238080895011921,7.9719240140863,108.602372181691
SH3D19,1608.60621568172,990.487506032622,0.03787002473799,1827.41968325602,0.0901837869066253,154.49780482799
SGTB,1210.77668382184,0.0135786934592383,7.0135897003547e-06,569.411884337086,0.504585904596997,1340.79010210004
PCOLCE,1.67100935440082e-05,374.064402098176,903.375751203497,386.769022589627,926.124167299383,590.862010850855
IL12RB2,849.261211805593,1243.44415808253,50.1867776364329,1873.54149421442,2.77398473239652e-13,2.43604375281308e-12
TIA1,1601.01106602337,6.61819458408281e-13,1.14037711749531,584.864896944071,6.44968192418724,1449.45678045581
FADS2,306.232774437706,283.77372174734,735.383140730088,5.64436524116666e-07,663.49700592148,1617.87113670331
C1QTNF1,46.3886789639217,1327.99047234246,1057.65242805492,46.7746697194016,728.984082229377,350.66538578317
PLCB2,125.342452600185,0.149141928971989,270.314957397215,1216.54723690762,1383.97544615379,124.87899067168
DHCR24,547.045836784108,1222.64534199034,763.213680175731,5.75540450009912,806.817226910796,1368.27570255403
STXBP6,1016.99634837126,0.220636460201511,32.4062231728645,1198.82732864352,1838.63657575702,0.00120824565301215
SEMA3B,221.447601489474,2567.23984729926,1027.81887724226,534.162146271066,0.0184669594532773,348.987318509863
FZD9,0.00829655432806871,2559.55428830917,458.098999209374,817.960957493082,1277.58493556222,384.499910483568
