S9,S7,S3,S1,S10,S11,S8,S12,ITTH
TCGA.IB.A5SP.01,0.13503603681072,1.52377078315907e-05,0.0337806737881791,0.735391006120688,0.0208721503366958,0.0748736011063565,1.21369531067795e-05,1.91571764219056e-05,0.426164825405781
TCGA.2J.AABF.01,0.0253396945867729,0.000808267892643119,0.0503730340631941,0.386082473237857,0.0260010528409246,0.030838380944546,0.354752873613861,0.125804222820201,0.696087434925785
TCGA.FB.A78T.01,0.0699403030570901,0.00169769343584463,1.74621679444377e-05,0.773787655699192,1.31000815527889e-05,0.0850711644128569,0.0694658230108711,6.79813464766082e-06,0.380217028148816
TCGA.XN.A8T3.01,0.000481846168055063,0.0181908798782086,0.0333188133694261,4.47839970265372e-05,5.45495356979621e-05,0.0523870188361372,0.351563005289619,0.54395910292583,0.502107613049649
TCGA.YH.A8SY.01,7.3526179277202e-07,0.00987476611691713,1.77561089076813e-07,0.520868585550846,1.20693958224812e-07,0.0928445571348076,6.94093851728682e-07,0.376410363586737,0.468309227127293
TCGA.F2.A44G.01,0.217300549296569,0.00196891293712855,6.95619460558065e-06,0.456555040872065,1.09361622099226e-05,0.0439412941486761,8.80714460223117e-07,0.280215429674286,0.575131219388851
TCGA.2L.AAQM.01,0.128062450969865,0.334703753670375,0.262884896454203,7.18682397958759e-06,0.0206532797716978,0.0373820074102653,0.0110960280999758,0.205210396799639,0.749612908270488
TCGA.HZ.A49G.01,4.51909610662054e-05,0.0110226880417579,0.00669840903306146,0.270546357436344,8.3070367215544e-05,0.00897333919022541,0.570113217469587,0.132517727500743,0.5138966785211
TCGA.FB.AAQ0.01,0.236597540652175,0.00598009986716826,1.04563894812838e-05,0.593040115370486,0.00772085456755475,0.0583607922356875,1.48218385479611e-05,0.0982753190788992,0.535311068917628
TCGA.FB.A7DR.01,0.152534040750025,6.04448400625708e-06,0.0353522682792258,0.457340605429631,0.0251168308594912,0.0839575659148653,0.0866459854726123,0.159046658810143,0.753916695361913
TCGA.F2.6880.01,0.000256704712044854,0.101307884656491,0.793663987489988,0.000333150193036113,0.0220811528518496,0.00880653140793691,0.0733527017505748,0.000197886938079593,0.355550246991321
TCGA.FB.AAPP.01,0.103850238449257,0.0233844310607844,0.0474393776570613,0.200573875466327,0.582777476296123,0.0418239284001065,6.70840097427679e-05,8.35886605974653e-05,0.595704402597323
TCGA.Q3.A5QY.01,0.000732616745124141,0.0201761393489224,0.00280770300033828,0.0440930737951456,0.000263673394800068,0.158936391567718,0.653391069057773,0.119599333090178,0.512022479453233
TCGA.HZ.A77P.01,0.18722004744573,8.77640905942502e-05,0.0331322555187354,0.0885761431712236,0.105294666611797,0.114091719131972,0.466519327132682,0.00507807689726582,0.725819742544795
TCGA.M8.A5N4.01,0.000494703938283149,1.09557799456524e-05,6.33040198238832e-06,0.546784922481662,2.57037504995603e-05,1.41991361229849e-05,0.000170323840516804,0.452492860670987,0.334122287780273
TCGA.2J.AAB1.01,0.11274791609446,0.000515059482100876,9.41341574614625e-12,0.609290602913264,0.00615816795654238,0.0265837859714493,0.227447525284946,0.0172569422878246,0.522499168011043
TCGA.IB.7649.01,0.207388419967897,3.77950059169521e-05,5.27863726582544e-06,0.0182616330460159,0.00900034271640082,0.0981832152444329,0.667109295382392,1.40199996790758e-05,0.452179051318779
TCGA.IB.7652.01,0.0546932824186624,0.000743948077041386,0.0289805459581898,0.434534000072492,0.000434085208229046,0.00355753758497665,0.446238849279758,0.0308177514006509,0.538521948991704
TCGA.FB.AAPQ.01,0.378319509546953,0.0352459554737812,1.82344849997869e-05,0.4339270011301,0.00707549590554975,0.032966460236212,0.0251431191174215,0.0873042241049829,0.625709960401168
TCGA.IB.AAUT.01,0.0834344657601608,0.046160960627124,0.0296675984974603,0.128198101333401,0.00581856685375601,0.0886914413808916,0.570945177633176,0.0470836879140305,0.685561552475086
TCGA.3A.A9IS.01,0.00519178545214926,4.26667100242847e-06,0.994388406968785,6.18198867087185e-05,0.00012626335889336,1.95591331716476e-05,3.04794311620097e-06,0.00020485058617319,0.0176413224576555
TCGA.FB.A545.01,0.0469158394722857,0.0172733075361006,0.00699043488228893,0.248176769768693,0.000459012411558613,0.00120040813892399,0.000139628106026741,0.678844599684122,0.418380130718677
TCGA.IB.AAUU.01,0.105422322730145,5.862363326896e-06,0.00865728344776053,0.730954621070848,0.0773964454209042,3.42990004779338e-06,0.0607815726256505,0.0167784624413176,0.454129672456255
TCGA.XD.AAUG.01,0.000134602381432434,0.0411453098401642,0.0443966882169036,3.79632204474312e-05,8.96694880895543e-05,0.0485402134910314,0.865464218775266,0.000191334586665559,0.262339447733117
TCGA.HV.A5A6.01,0.000268327715785418,0.00534137732928427,0.0471564196525011,0.405718247493785,0.0631515044167704,0.100814793345082,8.89851717552179e-05,0.377460344875036,0.632150825186595
TCGA.HZ.A4BH.01,0.0017818495525747,0.000629111322544986,0.0310468262070087,0.397541945151478,0.00736366568193371,0.000744281675708328,0.350568820594547,0.210323499814205,0.59022674425434
