S3,S6,S5,S2,ITTH
TCGA.92.7341.01,0.693617284563797,0.302776129080114,0.00083315496642883,0.00277343138965971,0.460025736039678
TCGA.34.A5IX.01,0.0210329773916134,0.55136448643076,0.0845442528436244,0.343058283334002,0.710793985202815
TCGA.56.8623.01,0.000427720341971516,0.602116248635864,0.148681822786336,0.248774208235829,0.67680500754899
TCGA.63.A5MI.01,0.0812246797199529,0.733118298682251,0.0400793191384464,0.14557770245935,0.606637778141815
TCGA.66.2791.01,0.613659259830818,0.284526036503065,0.0923193553402677,0.0094953483258489,0.66469227341771
TCGA.21.1071.01,0.659904801874896,0.301726875758425,0.038329165227994,3.91571386848396e-05,0.549121885793062
TCGA.60.2711.01,0.261191000714215,0.628262775925546,0.0552004721037477,0.0553457512564913,0.694475401245671
TCGA.37.4133.01,0.598234608334247,0.00488682383561647,0.368490962629313,0.0283876052008229,0.578773304986485
TCGA.34.8454.01,0.0603289387555372,0.614632425798704,0.00211686451576984,0.322921770929989,0.610699416072145
TCGA.56.7582.01,0.74521367543959,0.122691568175045,1.72742559428056e-06,0.132093028959771,0.536671477609086
TCGA.18.3406.01,2.57256572533995e-05,2.28135109951698e-05,0.430976061160478,0.568975399671273,0.493491834368377
TCGA.56.8309.01,0.0116632291555109,0.917776798916639,1.62723631066207e-06,0.0705583446915391,0.229213242733487
TCGA.21.1080.01,0.0429069588464526,0.510601201956344,0.137613873930008,0.308877965267195,0.80366318050567
TCGA.60.2721.01,0.102466874593939,0.585235507358785,0.0126055441735296,0.299692073873746,0.694828605813248
TCGA.60.2716.01,0.0108290045535242,0.5371395127512,0.0723406559629464,0.379690826732329,0.678443829886026
TCGA.66.2737.01,0.635715622809311,0.215220597314084,0.149042960067374,2.08198092299677e-05,0.651024113997275
TCGA.63.7021.01,0.152974566156889,0.200977536222168,1.09019260960369e-06,0.646046807428333,0.643406084578946
TCGA.85.8352.01,0.0935410554705038,0.845858500777242,0.0605961159704518,4.32778180208494e-06,0.384599060513698
TCGA.85.7698.01,0.632624603217097,0.300087379354107,0.0147697432485411,0.0525182741802551,0.626044291102893
TCGA.77.8139.01,0.0869320004506927,0.821158273510408,1.45343308291798e-08,0.0919097115045687,0.428139365498854
TCGA.98.8020.01,0.0581355415546075,0.591706871039542,0.0543896219416907,0.295767965464159,0.717414294891522
TCGA.85.8052.01,0.582225533143301,0.367277135646713,0.0205468682604928,0.0299504629494936,0.625914175938642
TCGA.43.3920.01,0.0439531936640601,0.522522092163987,0.345525968909434,0.0879987452625192,0.762869325386368
TCGA.77.7142.01,0.285415023327668,0.606846301027681,0.051204915080563,0.0565337605640878,0.703716071119205
TCGA.NC.A5HK.01,0.00696895115566815,0.858663789113066,0.0786050094150358,0.0557622503162305,0.379670734149808
TCGA.60.2719.01,0.153264858308322,0.678712194215908,0.04829536903481,0.11972757844096,0.685989567705384
TCGA.58.8387.01,0.0883741509014546,0.582234426465883,0.258453616617994,0.0709378060146679,0.769481061694943
TCGA.43.7658.01,0.0144961984016111,0.945873022103259,0.0396128884009344,1.78910941957951e-05,0.174638032190154
TCGA.43.6143.01,0.191334720480798,0.768125167749064,0,0.0405401117701375,0.46815409971577
TCGA.56.8305.01,0.26900676607662,0.498338520671377,0.0426653302863394,0.189989382965663,0.829842282247398
TCGA.66.2769.01,1.78664003308644e-07,0.759129785928077,0.240869483379664,5.5202825582359e-07,0.39824972855082
TCGA.22.1000.01,0.0213797089029151,0.500946736559879,0.152410338413283,0.325263216123923,0.779426636418153
TCGA.18.3412.01,0.502642523592286,3.06595932207792e-07,0.189252256975446,0.308104912836335,0.738328231611382
TCGA.66.2759.01,0.407648548448075,0.242205721415594,0.0996908618311431,0.250454868305187,0.927542932313961
TCGA.66.2794.01,0.467947658456025,0.356892583072896,0.140097641437308,0.035062117033771,0.804953894390843
TCGA.21.1083.01,0.236805664062394,0.673446162358143,0.0897235255788091,2.46480006537598e-05,0.5943573508222
TCGA.60.2695.01,0.0212163866965989,0.920587773049432,0.0581958402539694,0,0.233301123869639
TCGA.85.6560.01,0.036554509173804,0.917119285206278,0.0460582964945219,0.000267909125395917,0.248336921499864
TCGA.98.8022.01,0.021583440918372,0.80786489563114,0.0325703459655566,0.137981317484931,0.461648030508
TCGA.43.5668.01,0.00878121044182028,0.903411913359682,0.0347789271451729,0.053027949053325,0.29279426830125
TCGA.21.5786.01,0.0317053832164568,0.767656746104738,0.115610298324424,0.0850275723543814,0.556453866606384
