S6,S5,S2,S7,S9,S8
HMGA1,1122.10701388166,1.17911480388034e-16,169.237620801682,5.51565780525942e-10,1154.03810339137,13508.5476839455
PBLD,1095.57327759561,8743.94971311623,4079.00990468985,2885.65537062379,2912.37723483069,0.000484440966060819
MANF,2740.61221057234,525.203549894428,123.239014167623,6923.69872909038,308.696028555432,10988.0793081667
RPL18A,30.2367164382995,1332.02066881912,45.7209711812243,1764.30291579285,2688.22392797248,19051.6438813251
ANXA2P2,2300.56654743374,23.8485370972213,2307.67961633722,1.12311828858293,0.112623556255605,3025.07726712831
ATP5G1,2524.14897757773,222.637458023837,1697.40246377982,8565.34094654687,68.5582311085328,13181.0081226407
ACADS,1476.49384642843,7757.61735388755,410.455406225579,7638.17210100215,1636.25302832035,2161.25854359464
TSTA3,1508.93002246521,348.851138628274,1650.64790084986,6198.82537246945,848.00974647907,8236.79711641455
GCLC,2673.18227190091,4755.16844440488,7551.29391278768,0.0366151220190277,2088.66691880145,342.497373792209
LPCAT3,3617.11385403166,3300.42680856333,101.765742790932,153.407769403343,6467.20576319681,2999.0835328865
ROMO1,848.993668661644,111.760636527144,14.0436861805069,10461.1528276327,265.153118803392,16655.7756265711
NRP1,3.96702066581165,2506.64980058258,5122.99523949183,0.0136551521023976,2785.98625088827,0.881996366345035
APOL6,3090.81001248947,8832.80965793698,924.305448859599,1200.368054804,57.943639839268,0.0142180282870232
AGPAT6,1928.53425943083,1410.30205199038,5616.20147282159,2071.41689539143,1315.66591276557,3573.04988429026
MAN1A1,2177.44659182234,5266.99881199183,2395.63196026719,9.59372916933781e-14,3967.50992389399,1.41407084864774e-13
ACOX2,1620.04229778492,9282.14302169983,4915.70877431384,4375.30278661984,2680.85925210859,404.453468930322
F11,1423.34489919603,9062.94001809777,2119.63228925895,5662.40486143348,1206.0248274872,0.000654694637653579
IRS2,1181.8141398684,5432.55127258562,6380.45968740219,986.880516108329,3482.66953949812,22.48299924888
H2AFJ,557.906215763111,1622.91534514431,2228.41539335179,9050.70956240549,0.0633485993447726,12092.2723236192
ENG,3.24087485516195,7115.4329902872,39.0475355715269,8609.71467462948,1307.63072548005,68.1556264188848
