S3,S6,S5,S2
SYT11,85.0000755080444,669.67145015576,455.365766639528,9.51582042858136e-12
SECTM1,426.505376159268,251.557072036553,1041.8104896201,484.745645597984
TMEM158,1416.06346563079,0.913802429568028,0.523367130386984,0.178549240880576
DLL1,491.727584898252,604.158967343809,0.00146623556110684,0.615829844667445
FAM20A,0.0451463551823416,50.0082534926941,160.030345455397,422.765174080976
KIAA1462,193.940825938227,337.315383142455,0.217532589280521,0.794086711895843
CKMT1A,820.228555453638,208.343437663247,385.36087663116,1187.30427162354
SH3BGRL2,140.193748047926,728.295832947487,591.820382793032,468.206400463614
GCH1,119.003829663692,584.030546099887,986.674438329484,1106.66395207877
SLC11A1,19.8553988922154,168.391785380401,41.9241210550002,466.493589916315
C17orf61,372.576956479356,246.825738007316,4335.79027118166,148.139513771373
SIGLEC1,141.756930703509,190.068154166797,10.4724718641486,16.9586503910039
LOC441869,161.456565488387,773.634636447326,68.6186611781982,929.927384508827
SELPLG,97.6976556898242,305.49023537237,394.557958359088,34.7567240656593
IRF7,18.9865344413349,573.358255933711,544.563467975875,300.3182341719
LPAR1,1746.89255990482,25.0263361372909,536.065300017387,0.0721312622889301
IGHMBP2,393.105356825568,812.228273770799,160.723980552655,363.132000185049
TPSAB1,289.237234457655,34.7084502486156,338.621557297223,516.110650851256
CPA3,324.331696386594,12.2020593784049,751.947933500396,184.022041753073
MTF1,198.67369861314,747.535789888074,7.83174639273284e-05,804.917911454336
RFK,363.434647828111,494.223720074247,2783.79155035285,1.02452579043151
OVOL1,545.750768061096,2.3172902756249,292.539738497321,2159.54138385224
S1PR3,296.259447388431,385.379650001616,215.285383631077,2.38328259356181e-10
VAMP5,1.64734510388872,37.7123639717969,3768.77644858759,50.6942467367541
SOX7,121.260515843518,211.66952380097,91.1102410874077,1425.88984247834
FHDC1,715.436137864586,417.677728027207,0.029494105012688,698.089806330914
SMOX,534.012061312527,409.263210870704,449.611944308904,692.228433093013
LMTK2,694.181224634279,726.003736350947,3.79313488355713e-11,335.133441785542
TRAF1,61.0536260236591,560.826500658093,21.7972122588335,0.0993405710201528
SLC2A10,134.922477679961,621.431912800096,240.48583159991,617.560930865689
ISG20,104.859551504768,322.325390707861,1957.59347591187,464.913031760525
RPS28,376.294255696396,416.072617994847,1480.55811724948,509.864014527227
DDAH1,93.8510680415472,766.770130104448,301.470252873248,0.74921864686612
GGT7,274.206510920051,1074.00305056323,719.746410574412,2.47762399226812
SKP2,669.27426525176,1040.18907485661,285.864362866609,161.696046171715
BCAR3,24.17638792404,429.959191522053,909.527583965299,114.333768607923
FRMD4A,0.00178924840358458,910.731912533438,0.00017883304649219,1.64897467649578
CSF1,204.414370541956,295.499205643458,116.133617048553,2.2269190145299
HAUS1,437.688461931659,587.654446964937,2185.62699825565,0.272643944889137
PEX1,598.556620127121,852.138202671309,322.27739689669,480.219630106571
FGFRL1,172.123611998134,708.593729505627,296.661676731283,5.58676454953016
EGFL7,696.143870044849,434.609385086722,959.937582683056,124.829773212501
HLA-DRB6,0.0136319611680713,241.854398658237,1093.54384605484,42.3020641931256
GPSM3,0.329090691318228,420.153391837561,1083.3159518117,29.8849412712384
PLEKHG6,989.915470583901,617.654983544963,274.926473248125,676.169656251221
ZNF74,444.84117382073,931.480925704102,0.0694173050923071,161.743638949042
ZNF331,38.5560309144561,606.852534713766,172.841473844596,40.6679087054425
PFKFB4,370.986588062372,713.265321710247,52.727521212854,174.91628811879
IL16,144.794617587934,359.158546907399,167.768710773577,160.843929931419
?|57714,643.585366641088,636.761687897066,0.00435593974191831,133.761600500666
SLA,117.053780479763,237.839235956086,484.325341292205,25.1417001875532
SLC25A37,35.8149806623802,680.860515083877,498.811557985069,929.657876388361
NPDC1,665.304790625963,507.463301924415,236.827788166991,426.617758177229
CDR2L,739.829650939553,523.198163709937,28.3418069323399,545.129251756868
KIAA0802,996.220300061318,624.648101664705,1.33934503452583e-12,257.874044828606
GABBR1,397.972334164096,939.338157825659,2.84138890971913e-07,74.3811960274229
CHCHD10,995.162750922108,389.276921022484,1407.79477615782,1215.93055728071
SERTAD1,131.106030703643,178.464369987724,1909.67879465888,869.468087498362
EVI2B,74.1832256443906,205.369347395357,721.032502031377,33.8159582144458
VWA5A,471.742389822843,457.938094610195,744.18771415362,504.649601243523
APOBEC3G,75.4706045978032,523.513510046822,2209.71399821123,16.3562005577923
ACSF2,0.825967208982865,568.37177051808,1805.18483894078,9.47217782711521
TIAM1,158.129536853314,834.251293647514,7.32076084552406e-12,639.018043047895
B3GALNT1,392.782370244484,696.157845030616,2033.58328779791,155.326695352875
SNX10,344.507204232385,340.314420530238,2635.52919855079,0.658051166977909
RASSF8,244.591665580657,614.078553495303,0.278202361052998,0.119006458135452
YEATS4,590.003664097925,525.247813671862,2871.35861762191,173.608335057194
C9orf125,1489.92779644512,359.481905812428,32.3259719419759,677.889057284919
