S10,S12,S6,S11,S4,S9,S2,S8,ITTH
TCGA.EW.A6SB.01,6.78396088172432e-05,7.35193035449237e-05,4.98574749525424e-05,0.0155162786994038,0.437793830322763,4.36260858563808e-05,0.0280999011348276,0.518355147369834,0.418152333004356
TCGA.E9.A1N4.01,2.42919989060359e-06,0.0765697014326322,0.718606345415588,0.0872150658873257,0.117605716528537,1.27552867028366e-07,3.1079639436796e-07,3.03186765245546e-07,0.432195798255705
TCGA.B6.A0RH.01,3.7133308772279e-06,1.81693341162717e-06,0.214693685696701,0.14270271388754,0.161861371229715,0.0822842021009047,0.332645026458945,0.0658074703619055,0.795256328754186
TCGA.A8.A09N.01,0.398519122663553,5.36718509931432e-09,0.323146641653103,0.157202743667295,0.0778738931065003,0.029331234151921,0.0139263239299975,3.54604446653388e-08,0.665736252262659
TCGA.AO.A0JE.01,3.24525888941288e-06,0.0175393023674039,0.309922524510572,0.175135674992313,0.186644252263653,0.201911079482348,0.108819279054248,2.46420705727907e-05,0.777659101782424
TCGA.E2.A14S.01,0.372035117812033,0.0115875297754006,0.295546787632304,0.194819671286115,0.115052719324629,8.85823564246777e-05,0.0108293890188106,4.0202794283485e-05,0.672032426785434
TCGA.AC.A3TM.01,0.0744333379822832,2.12582419635348e-05,0.13100631349179,4.05890635400491e-05,0.701338356700882,0.0116236455763554,0.0230316746054038,0.0585048243377817,0.487530891488875
TCGA.AQ.A1H3.01,0.158648808563919,0.0490334479228812,0.614240848333371,0.0860762327700669,0.0311181330691707,0.0156413493447795,0.0206754953295009,0.024565684666311,0.622597673088502
TCGA.E2.A15R.01,0.704247713226553,0.0811414876802204,0.0944744970633603,0.105087217365176,0.0145698043809451,0,0,0.000479280283745232,0.469192381037355
TCGA.A8.A06R.01,0.353129623762078,1.27683495393688e-05,0.0895879884435563,0.160719748718635,0.220181871605256,0.065527925184265,0.0259102206563885,0.0849298532802824,0.814418598580486
TCGA.E9.A295.01,0.462294967460574,0.0209703695173125,0.156187781002169,0.0668381398110946,0.242047005895145,0.0333747166198442,0.000849880992526592,0.0174371387013346,0.693460747329961
TCGA.AC.A62X.01,1.35106054329818e-07,3.72250831045434e-07,0.0375833985383152,0.0558641317417587,0.0348789540082181,0.0468404686466833,0.1828395143512,0.641993025356939,0.548272798446493
TCGA.BH.A18N.01,0.184833004779571,0.0302756588194524,0.710371325457824,0.013577412178462,0.0559382864714293,0.000303195283220261,0.00144605665310072,0.00325506035694062,0.438142692415525
TCGA.BH.A1FL.01,0.27273022817709,0.000687220773562301,0.507712907629438,0.0542449827435282,0.0955455997899408,0.0177192856942527,0.000325540724829998,0.0510342344673577,0.630871275353362
TCGA.D8.A1XD.01,0.587324441494617,0.0309709262845242,0.167793209468706,0.0617898899777614,0.0573986254143174,0.00394412415221635,0.000976072594203495,0.0898027106136538,0.625543336007143
TCGA.AC.A2FB.01,0.307229878878744,1.7933871536591e-05,0.499243281622392,0.00283471418289772,0.0268962129125647,0.0402295175405841,0.123547436353767,1.02463751401851e-06,0.582411798554131
TCGA.BH.A0DQ.01,0.39643120162792,0.0685073423032043,0.209111210884501,0.0140157452728063,0.128829696775652,0.0409581615950583,0.0549404441146538,0.0872061974262044,0.819704270938695
TCGA.AC.A3W5.01,0.0414458293263245,0.0012186921464396,0.0106597575707145,0.0358478989133977,0.308232438140178,0.388085114641815,0.0369859659642414,0.177524303296889,0.705364190697713
TCGA.D8.A1JP.01,0.186270060092579,0.00898471744101802,0.32152872115377,0.241494452641086,0.154813861268927,0.0201112242182028,0.00410390767776814,0.0626930555066502,0.782374941927302
TCGA.BH.A0HW.01,0.72925937122519,5.72422722055159e-06,1.32326470796411e-05,0.190578814133297,0.0775453795917408,0.000407759596236838,0.00218266523392504,7.05334530971827e-06,0.366107528666409
TCGA.BH.A0BW.01,0.101563796899226,0.000945765978291854,0.130702526346831,0.157834135295314,0.00345580303577559,0.041195550736465,0.141366056407225,0.422936365300871,0.763531083611914
TCGA.A8.A0A4.01,0.369324136887858,0.00597396047486406,0.276354213099863,0.0102199583785184,0.132956530570428,0.0269944105181507,0.0135760803242929,0.164600709746025,0.731852549962159
TCGA.AC.A6IW.01,1.98618942834678e-05,3.03861907924497e-05,2.10761489804588e-05,0.111394673278811,0.298499087539496,2.58480512699335e-05,0.071447363219337,0.51856170367703,0.546041136813448
TCGA.XX.A899.01,0.377408491980826,7.33553396713533e-06,0.24958254282085,0.11802930782134,0.1890432705494,1.27609405884072e-05,0.0261937419364766,0.0397225484165518,0.723777894031059
TCGA.A2.A25A.01,0.149549261129122,0.000804777030647513,0.391627192541111,0.0795176969549816,0.10049811881261,0.00237689186147963,0.026173407844048,0.249452653826,0.74314453668626
TCGA.E9.A1R5.01,0.183275950384227,0.014721684386101,0.529422418287679,0.152285688036632,0.0694840985119161,0.0412894147397062,0.00938441207347258,0.000136333580266607,0.653198322297669
TCGA.5T.A9QA.01,0.425713277687804,0.0945627953584064,0.0419472878620589,0.0660560439912099,0.220213519268993,0.107393876965908,0.0273548938353643,0.0167583050302554,0.788148890352282
TCGA.GM.A3NW.01,0.805257991888054,0.0104279683735267,1.27293898965125e-07,5.45442209721601e-07,0.166438543637533,6.07061970957336e-08,0.0178742206909294,5.41967650680658e-07,0.284882220126695
TCGA.D8.A1JS.01,0.124760467349786,0.118730885262301,0.358273396179612,0.0316863734531915,0.259823898461872,0.0832923068956887,0.0173277192421162,0.00610495315543316,0.792710894658362
TCGA.AR.A1AJ.01,0.0273937373967042,1.35792916710052e-05,0.000421919173622794,0.203524217068519,1.45887076937064e-05,4.33561145822325e-06,0.153500847820687,0.615126774929644,0.487041060583134
TCGA.AN.A0AK.01,0.321663949863816,0.0195629241819032,0.219920736185283,0.131561583399415,0.172661125312583,0.0880488023874626,0.000806340661699389,0.0457745380078378,0.820338982468869
TCGA.D8.A73W.01,0.158588006203341,0.196111594341361,0.227701097998061,0.0650826843487478,0.0612983168183202,0.147573389683206,0.0726632573976625,0.0709816532093004,0.941628361656879
TCGA.BH.A0BZ.01,0.37850031729986,0.0019554167159497,4.63754447420467e-06,0.149182179411317,0.153705471434831,0.089176169440605,0.198801415958713,0.0286743921942497,0.764728847241015
TCGA.A2.A0EU.01,0.548613548244572,2.83644557313551e-05,0.271913439772345,0.0924537324463716,0.0663915565820229,0.00768325990424381,0.0129111939935901,4.90460112275578e-06,0.566304943466421
