S2,S10,S11,S6,S9,S4,S5,S3,S7,S12
MYO1B,383.820675561403,3.11105214632231,147.028295305706,0.591235137374323,3.76413526286498e-07,229.888622909186,1571.75500281283,1009.79452683763,54.6090040591157,251.043982847444
FPR3,7.57822393029263,216.822402157374,239.630393334443,6.78070122818164,447.342094436892,169.995027091949,1432.0418724257,1013.21626817051,1073.65604155422,303.959749467356
GPR132,336.402318340319,347.333427006495,435.39563893227,28.9793067489224,123.942645278598,0.0513751866311803,870.506491048095,310.488472984206,843.897350754328,1640.80576801852
LIMS2,2424.82370835856,144.393570559489,955.411891838243,262.018382387492,921.37624853065,0.00850863039581313,288.728987276074,236.666960469034,77.9147761066852,452.647008358367
ELK3,2.294069369585e-08,0.000147849538237803,13.2791593790192,3.58585939834352e-07,2.10340892526575e-06,1009.46909066643,884.328894707982,1245.37416569203,4.01871082792897e-09,0.000254921635923985
SESN1,685.767843763088,229.936842938888,899.915040351131,204.163015320755,1094.93098930813,2.65179631476938,53.1676549192224,1215.3813543725,423.191341801755,55.5224990842457
MAN2A1,0.00962162143940454,0.000496670658691824,29.4395615159645,4.19057466165602e-07,7.93933377342263e-06,615.994029911763,547.055345425664,786.369298616457,1.35196326545559e-10,162.154094849917
SATB1,177.12346246177,229.240052547967,31.2135171435066,0.000423043480809669,16.2791932968665,232.451328320656,357.177049556381,2177.68793178442,2.77396141724206e-05,602.988974902667
BCL11B,133.278229366241,3.65357483702079e-12,5.22894764594484e-09,3.7757379780215e-12,257.641948087304,171.054521579233,7.66336159416407e-07,889.748686058491,1.66189259935545e-05,1457.832669267
TP73,210.82517733195,251.00099747597,395.435614955377,6.36514085246823,1078.8590012012,635.251106074838,1376.95914860481,2.16950093123417,95.3113817566371,0.0115911272420601
LY9,1472.62700383663,215.448229338674,1559.55336114013,63.3300928756176,1104.75473869992,1.8620384709943e-06,15.9742285058896,1241.38350986815,68.2492655785274,597.560016182886
LEF1,0.00558670604046302,107.9835869397,0.00950008115761346,147.009277094413,1167.19006946198,780.383860842339,3.59381739507681e-06,1002.58602693325,221.633132473643,637.754244761758
ARHGAP24,663.614077271555,3.40746041945719,621.231957699867,0.943978027009576,783.737579691994,1655.566440826,439.768893662908,816.906074625958,74.1210972491017,0.130080681640742
FAM176B,689.739852376238,556.010879871477,255.645674551085,489.726431236183,1259.95677318772,3.41942081463277e-06,119.46132096972,52.2354482047157,1895.44751542071,1914.66604711893
RAPGEF2,17.0120754977459,4.52732691409093e-09,8.52246889771235,1.58271580192376e-08,0.0227130395203855,633.153604054677,612.752771183859,1184.54131504214,0.00373968075011777,762.004915642352
WDR90,78.8267533291672,14.039889265531,865.932397069454,435.523012559023,651.930353801147,1250.05738308287,278.90518283369,951.178651599243,249.71586586679,32.7810605702017
C16orf54,114.896561351029,2.19363770868817e-07,180.397395427218,3.9937163900943e-11,748.889045923807,0.000213475259970604,212.021470906851,1165.90723534498,0.000287266961784332,841.799243761849
