S5,S6,S1,S2,ITTH
TCGA.3B.A9HR.01,0.717704786721252,0.233587456373133,0.048608897213117,9.8859692497373e-05,0.523442618523449
TCGA.3B.A9HQ.01,0.945489483281534,1.26904367366094e-06,0.0545087518495278,4.95825264300211e-07,0.152643574290277
TCGA.3B.A9HL.01,0.016331880448725,0.957295974527677,0.0263721450235982,0,0.147770366291186
TCGA.DX.A7EM.01,0.883574520447871,0.102607719853497,3.8840015557284e-05,0.013778919683075,0.290286075617581
TCGA.DX.A1KZ.01,0,0.704554243999868,0.00103124535065399,0.294414510649478,0.442777471469618
TCGA.WK.A8XT.01,0.000331557847596801,0.856241191795304,0.143202706244685,0.00022454411241374,0.299898651488598
TCGA.UE.A6QU.01,0.0977559252244859,0.838828044345195,0.0634060891831241,9.94124719497292e-06,0.396549678455892
TCGA.DX.AB2F.01,0.000159131091466295,0.892085268843367,0.0656143294787626,0.0421412705864042,0.299678729045772
TCGA.DX.A6B9.01,0.80758544648551,0.083845859057922,0.0838047993431431,0.0247638951134251,0.49035872813681
TCGA.IE.A4EJ.01,0.0876167039374535,0.836890437563936,3.95802813911869e-05,0.0754532782172193,0.402322154145573
TCGA.Z4.AAPF.01,0.123193996660749,0.53095847999487,0.177031949149152,0.168815574195228,0.866290776822734
TCGA.SG.A6Z4.01,0.0401611261837966,0.651460683851861,0.0196714632315236,0.288706726732819,0.608991957041462
TCGA.3B.A9I3.01,0.581554458469373,0.352551990142528,0.0490653480058975,0.016828203382202,0.648807543909969
TCGA.DX.A3LU.01,0,0,0.910698876946393,0.0893011230536071,0.217066372466284
TCGA.DX.A6BB.01,0.824169683335642,0.0394362558096335,0.100633575083067,0.0357604857716567,0.459551719748533
TCGA.DX.A6BF.01,0.0302922702216945,0.381256768673156,0.587030642577386,0.00142031852776416,0.573888459176457
TCGA.DX.A7EO.01,0.00241529843596955,0.724238736696019,0.265064044611852,0.0082819202561595,0.461566640418048
TCGA.K1.A3PO.01,0.422288704119353,0.404573021880481,0.0903562272676129,0.082782046732553,0.832160403889286
TCGA.3B.A9HY.01,0.773278389028906,0.21716292994623,9.1388958545319e-06,0.00954954212900942,0.414758189599352
TCGA.DX.A7EQ.01,3.69112517025521e-06,0.105780742424656,0.894149021643836,6.65448063385642e-05,0.244068338329634
TCGA.HS.A5N8.01,0.0209207825675437,0.846933676148468,0.0821143372220395,0.0500312040619488,0.416008213838015
TCGA.KD.A5QS.01,0.160476898088264,0.641705529891987,0.0520019158546424,0.145815656165107,0.730569268902966
TCGA.MJ.A68H.01,0.704165479222179,0.247060399864811,0.0286477869245763,0.0201263339884336,0.557446807530747
