S1,S3
PLBD2,584.395492932381,373.400467063646
LY9,87.7006429371456,216.701998013829
ARHGEF10L,546.552924113841,4.21549431435153
CMTM8,450.495325150005,2.3930842102166
FAM26F,268.635178941195,904.650893769268
SLC29A2,238.759714592355,772.75587146957
C10orf118,478.258847418894,4.18690830918728e-17
CALHM2,420.493956799777,652.348117126718
GPR44,3.3676941595785e-12,19.510591683884
CDKN3,4.85805320866198e-06,133.192225265339
C20orf177,416.841580736629,4.04246245325302e-16
LDLR,327.195723849991,7.06168382930111
ZP3,84.4818481793685,1336.85985748548
PALMD,206.938135928354,279.750823938044
ZNF516,503.526457717032,4.80368374532667e-07
GPR172B,347.981404994194,739.283801287904
PLA2G16,353.337043831455,668.326690061063
FHIT,82.7125161960742,734.213306217619
PTPRB,526.942872974366,0.000216821617962216
GAS2,271.605648868004,6.62376666677902e-05
TNFRSF25,245.040075790832,920.192120629299
SBNO1,419.226259748331,2.0889962835123e-18
SLC19A2,387.423074459002,1.09891374707471e-05
ORC1L,1.9326787767094,254.161933166173
SNX20,53.4796575585095,0.000343782230669374
PLCD3,438.26682262815,130.754370403069
MND1,7.12299418330595e-08,180.707200057713
SNTB1,365.577347758934,185.437695636847
SH2D3A,372.573952723791,646.857473575587
SH3RF1,473.409087153123,1.1789309766241e-09
ATP1A3,19.3647126509122,236.713886839874
RASA4P,106.904054509965,1263.50106705127
TRIP13,189.329726074249,214.803195416698
SLC2A4,445.934088821644,49.2591651362897
ACOX2,347.829424772698,8.96779852489001
CPEB4,479.209431754446,1.38942442047593e-12
PLEKHM3,561.425477385148,4.22602331782729e-15
SMARCD3,327.728192883829,575.676751604859
RIC3,554.100574393961,0.00468518147343111
CPNE2,416.217808069544,424.568831739925
ATF2,441.694970811785,1.13055665430918e-17
SNX7,502.761698838693,11.7586625329381
IPCEF1,139.900482775733,4.31604715282505
LOC220930,151.022006258618,1.17586531917364e-05
ANGPTL2,325.07641097775,425.328229795546
C21orf63,381.580204372525,903.39516495943
C20orf117,399.675030746362,709.118476040913
SLC2A8,288.731412281432,1266.87071279807
ASRGL1,26.346984957771,573.198219810192
CPEB2,446.771464660139,0.000495894573308693
LRRC37A4,315.849875494287,9.16705998051502e-09
ABLIM2,325.356350333419,789.275789327408
ARHGEF5,523.268772821505,172.989909812703
GPC2,25.5977899780866,0.00362751784506438
C16orf59,3.54477109718451,1010.25998547781
CBWD3,332.868969941295,509.286858462186
AOAH,289.395731488239,586.357175011438
SRD5A3,245.835051519429,1086.04871163539
ANKS6,346.505688264629,329.59676977704
AKAP10,521.424731648613,4.4376532869373e-16
SMURF2,493.821665351321,2.11270414125343e-07
HEXIM2,180.945685995761,1388.30519594592
LOC653501,450.776158445571,1.22787311212047e-09
KIAA1467,406.596932631362,170.637849470724
STK32C,20.9524807628514,563.647620399127
LOC100270710,300.966586689034,847.542943971603
LPPR2,496.03266381551,308.800442710745
LRRC23,214.029458577562,1367.26262914588
CASP8AP2,405.899584303454,1.89513578658938e-16
ACVR2A,528.650786989603,91.8004608345083
FBXW9,181.984349356598,1305.45727870212
DBF4,127.64273277894,0.0676009368652013
B3GALNT1,504.246788438537,0.420046637485658
psiTPTE22,406.003028855834,71.497323970841
IFI27L1,111.475610673833,944.020300861436
PDCD1,63.0135522544276,477.700156791313
ZNF268,537.435771964664,1.03375601656729e-09
RAB40B,540.037993718377,88.2123459726007
LOC115110,358.67636985772,674.410115051868
RAPH1,524.696868008888,0.000111140408294541
FBXO6,387.763371388905,760.204919177944
ZNF323,358.087824359981,166.890420223904
METTL1,230.99619225285,1087.95505783315
EXO1,32.4580329436571,75.4290679402197
TRAF3,394.599263391905,525.435695915715
ZNF367,105.974542953865,0.000119193827405319
TMOD2,338.956607684736,0.00301434685701072
WDR67,132.955942012913,7.85844584168953
